snapshot_id,snapshot_source,variable_count,unparsed_count,family_counts,S,P,H,G,W_SP,reconstructed_S_times_P,reconstructed_H_over_VS,G_gap,SP_gap,top_fractional_z,top_fractional_x,top_fractional_p,top_fractional_d,top_r_i,top_Y_i,top_e_i,top_h_i_j,top_q_i
dominant_k4_high_imbalance_seed3201_hard_all_new_structural_cuts_300s:root_lp_relaxation,root_lp_relaxation,2158,214,G=1;T_SP_i=20;W_GS=1;Y_i=20;bit=112;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=214;x_k_i_j=1260;z_k_i=60,32.272821182799994,8.44738686667,221.09180123660002,0.475,nan,272.621005809974,0.3425355967243922,-0.13246440327560777,not_available,z_1_18:-136.358|z_0_11:-4.32569|z_0_4:0.866667|z_0_16:3.86667|z_1_1:-0.0769231|z_1_3:0.947368|z_1_11:1.95903|z_2_5:0.961538,x_0_0_7:-2.54097|x_1_18_3:-182.358|x_0_0_11:7.67431|x_0_11_7:-6.32569|x_1_0_18:-138.317|x_1_0_3:183.305|x_0_19_7:-0.866667|x_0_19_4:-0.133333,p_0_17:21.5|p_0_20:1.5|p_0_8:32.7332|p_2_8:-6.7332|p_1_11:58.7708|p_0_11:-129.771,d_0_17:-3.5|d_1_18:-4090.73|d_2_9:4134.23,r_18:-110.56|r_9:106.237|r_14:9|r_11:8.58333|r_20:3.95|r_6:3.21429|r_4:2|r_10:0.3,Y_9:4143.23|Y_18:-4090.73|Y_11:103|Y_6:45|Y_20:39.5|Y_4:18|Y_14:18|Y_15:9,e_14:6.50651|e_20:2.95|e_6:2.21429|e_5:1|e_2:1|e_1:1|e_4:1|e_8:0.833333,h_2_6:-249.418|h_14_18:119.56|h_11_18:119.144|h_18_20:114.51|h_6_18:113.775|h_4_18:112.56|h_4_9:-104.237|h_6_9:-103.022,
dominant_k4_low_gini_1_all_new_structural_cuts_300s:root_lp_relaxation,root_lp_relaxation,2160,215,G=1;T_SP_i=20;W_GS=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.10805670989718,0.20773116312340417,4.568471333234339,0.0122881381662,nan,4.177070008498313,0.011359803185222117,-0.0009283349809778834,not_available,z_1_10:0.486105|z_0_8:0.473657|z_2_17:0.427474|z_2_16:0.362173|z_0_5:0.64|z_0_2:0.64|z_0_14:0.358965|z_2_3:0.34619,x_0_2_5:0.496117|x_0_5_8:0.473657|x_2_18_17:0.427474|x_2_11_18:0.58547|x_1_9_19:0.406046|x_0_8_14:0.358965|x_1_19_9:0.349889|x_2_3_16:0.34619,p_2_15:4.59588|p_0_20:0.606425|p_1_16:1.37539|p_0_7:1.36861|p_1_20:1.66794|p_1_10:10.6943|p_0_12:1.27437|p_0_14:7.1793,d_2_17:5.55716|d_1_1:4.4395|d_1_18:7.57654|d_2_3:6.57761|d_0_13:9.38869|d_0_11:1.36783|d_0_5:0.64|d_1_5:3.67528,r_4:1|r_2:1|r_9:1|r_10:0.936721|r_6:0.915764|r_3:0.915764|r_17:0.915764|r_16:0.915764,Y_13:28.3887|Y_7:27.4729|Y_17:26.5572|Y_12:24.7256|Y_20:24.7256|Y_6:22.8941|Y_8:22.8941|Y_11:19.231,e_20:0.0842358|e_19:0.0842358|e_8:0.0842358|e_7:0.0842358|e_5:0.0842358|e_18:0.0842358|e_14:0.0842358|e_13:0.0842358,h_2_20:0.0842358|h_4_20:0.0842358|h_4_19:0.0842358|h_2_19:0.0842358|h_4_8:0.0842358|h_4_7:0.0842358|h_4_5:0.0842358|h_4_18:0.0842358,
dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s:root_lp_relaxation,root_lp_relaxation,2160,215,G=1;T_SP_i=20;W_GS=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.10805670989718,0.20773116312340417,4.568471333234339,0.0122881381662,nan,4.177070008498313,0.011359803185222117,-0.0009283349809778834,not_available,z_1_10:0.486105|z_0_8:0.473657|z_2_17:0.427474|z_2_16:0.362173|z_0_5:0.64|z_0_2:0.64|z_0_14:0.358965|z_2_3:0.34619,x_0_2_5:0.496117|x_0_5_8:0.473657|x_2_18_17:0.427474|x_2_11_18:0.58547|x_1_9_19:0.406046|x_0_8_14:0.358965|x_1_19_9:0.349889|x_2_3_16:0.34619,p_2_15:4.59588|p_0_20:0.606425|p_1_16:1.37539|p_0_7:1.36861|p_1_20:1.66794|p_1_10:10.6943|p_0_12:1.27437|p_0_14:7.1793,d_2_17:5.55716|d_1_1:4.4395|d_1_18:7.57654|d_2_3:6.57761|d_0_13:9.38869|d_0_11:1.36783|d_0_5:0.64|d_1_5:3.67528,r_4:1|r_2:1|r_9:1|r_10:0.936721|r_6:0.915764|r_3:0.915764|r_17:0.915764|r_16:0.915764,Y_13:28.3887|Y_7:27.4729|Y_17:26.5572|Y_12:24.7256|Y_20:24.7256|Y_6:22.8941|Y_8:22.8941|Y_11:19.231,e_20:0.0842358|e_19:0.0842358|e_8:0.0842358|e_7:0.0842358|e_5:0.0842358|e_18:0.0842358|e_14:0.0842358|e_13:0.0842358,h_2_20:0.0842358|h_4_20:0.0842358|h_4_19:0.0842358|h_2_19:0.0842358|h_4_8:0.0842358|h_4_7:0.0842358|h_4_5:0.0842358|h_4_18:0.0842358,
dominant_k4_low_gini_1_disaggregated_sp_estimator_300s:root_lp_relaxation,root_lp_relaxation,2159,215,G=1;T_SP_i=20;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.191064303484158,0.16707394042431206,8.03622788486378,0.015516153171052205,nan,3.373400674543766,0.0199004563703882,0.004384303199335995,not_available,z_0_15:0.523142|z_2_15:0.476858|z_1_5:0.628278|z_1_10:0.628278|z_0_5:0.371722|z_0_10:0.371722|z_1_14:0.322527|z_0_14:0.677473,x_2_7_6:0.485685|x_2_6_8:0.476858|x_2_11_8:0.523142|x_2_11_2:0.476858|x_0_9_3:0.476858|x_0_15_3:0.523142|x_0_12_15:0.523142|x_2_6_15:0.476858,p_2_6:0.507156|p_1_14:6.45054|p_1_16:11.4503|p_2_12:0.436622|p_0_7:1.64647|p_0_14:0.677473|p_2_2:15.6942|p_0_2:0.305751,d_2_6:0.492844|d_2_15:0.476858|d_2_18:1.4679|d_1_1:5.5497|d_0_5:0.371722|d_1_17:5.6634|d_2_11:2.30798|d_2_13:0.696348,r_4:1|r_2:1|r_10:1|r_3:1|r_9:1|r_8:0.919428|r_6:0.919428|r_5:0.919428,Y_13:28.5023|Y_17:26.6634|Y_7:26.4103|Y_20:23.7693|Y_12:23.7693|Y_8:22.9857|Y_6:22.9857|Y_11:19.308,e_7:0.119657|e_20:0.119657|e_12:0.119657|e_8:0.0805725|e_6:0.0805725|e_5:0.0805725|e_19:0.0805725|e_18:0.0805725,h_7_10:0.119657|h_4_7:0.119657|h_4_20:0.119657|h_4_12:0.119657|h_2_7:0.119657|h_2_20:0.119657|h_2_12:0.119657|h_10_20:0.119657,
dominant_k4_low_gini_1_gs_plus_disagg_sp_300s:root_lp_relaxation,root_lp_relaxation,2160,215,G=1;T_SP_i=20;W_GS=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.108056709897166,0.20773116312340767,4.568471333234329,0.0122881381662,nan,4.17707000849838,0.0113598031852221,-0.0009283349809779008,not_available,z_0_10:0.489061|z_0_3:0.512445|z_0_19:0.446711|z_2_16:0.411294|z_2_8:0.347709|z_1_14:0.674774|z_2_13:0.323748|z_2_19:0.309224,x_0_9_3:0.512445|x_0_3_9:0.512445|x_0_10_19:0.446711|x_0_19_10:0.446711|x_1_0_14:0.406318|x_1_14_1:0.674774|x_2_1_19:0.298917|x_1_1_17:0.701083,p_2_16:11.5162|p_2_15:4.52209|p_0_14:2.56834|p_1_14:0.674774|p_2_7:0.298911|p_1_2:6.71139|p_2_20:2.27437|p_0_10:10.7593,d_1_17:5.55716|d_2_19:3.40147|d_2_13:9.38869|d_1_5:1.37184|d_1_1:0.701083|d_0_3:9.73646|d_2_11:2.23105|d_2_1:4.78267,r_4:1|r_2:1|r_9:1|r_10:0.936721|r_8:0.915764|r_7:0.915764|r_6:0.915764|r_5:0.915764,Y_13:28.3887|Y_7:27.4729|Y_17:26.5572|Y_20:24.7256|Y_12:24.7256|Y_8:22.8941|Y_6:22.8941|Y_11:19.231,e_8:0.0842358|e_7:0.0842358|e_6:0.0842358|e_5:0.0842358|e_3:0.0842358|e_20:0.0842358|e_19:0.0842358|e_18:0.0842358,h_2_6:0.0842358|h_4_8:0.0842358|h_4_7:0.0842358|h_4_6:0.0842358|h_4_5:0.0842358|h_4_20:0.0842358|h_4_19:0.0842358|h_4_18:0.0842358,
dominant_k4_low_gini_1_gs_product_coupling_300s:root_lp_relaxation,root_lp_relaxation,2141,215,G=1;W_GS=1;W_SP=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.108056709897497,0.2077311631232553,4.568471333244169,0.012288138166220942,3.4473944234656813,4.177070008495385,0.01135980318524638,-0.0009283349809745614,0.7296755850297041,z_0_10:0.489061|z_0_3:0.512445|z_2_17:0.427474|z_1_8:0.417988|z_1_16:0.411294|z_0_2:0.64|z_1_14:0.358965|z_2_1:0.342735,x_1_8_0:0.417988|x_1_16_8:0.411294|x_2_9_0:0.404103|x_0_2_0:0.361226|x_0_0_2:0.361226|x_1_19_14:0.358965|x_1_14_0:0.358965|x_2_1_0:0.342735,p_1_16:11.5162|p_2_15:4.43982|p_2_7:1.27796|p_1_12:1.27437|p_1_20:2.27437|p_0_7:0.249115|p_0_10:10.7593|p_1_14:7.1793,d_2_1:5.48376|d_2_17:5.55716|d_1_8:9.61371|d_2_13:3.63858|d_1_5:4.31528|d_1_19:8.31528|d_0_8:1.28039|d_0_3:9.73646,r_4:1|r_2:1|r_9:1|r_10:0.936721|r_7:0.915764|r_5:0.915764|r_20:0.915764|r_8:0.915764,Y_13:28.3887|Y_7:27.4729|Y_17:26.5572|Y_20:24.7256|Y_12:24.7256|Y_8:22.8941|Y_6:22.8941|Y_11:19.231,e_8:0.0842358|e_6:0.0842358|e_3:0.0842358|e_19:0.0842358|e_18:0.0842358|e_17:0.0842358|e_16:0.0842358|e_15:0.0842358,h_4_7:0.0842358|h_2_7:0.0842358|h_4_8:0.0842358|h_4_6:0.0842358|h_4_19:0.0842358|h_4_18:0.0842358|h_4_17:0.0842358|h_4_16:0.0842358,
dominant_k4_low_gini_1_plain_fixed_interval_mip_300s:root_lp_relaxation,root_lp_relaxation,2117,193,G=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=193;x_k_i_j=1260;z_k_i=60,18.866666666664777,0.05793333333344579,21.266666666698796,0.0122881381662,nan,1.093008888890901,0.05636042402835935,0.04407228586215935,not_available,z_2_13:0.511082|z_1_11:0.475857|z_2_10:0.562189|z_0_8:0.565217|z_1_17:0.615385|z_0_2:0.639673|z_2_16:0.357143|z_1_18:0.344828,x_2_10_13:0.511082|x_1_17_20:0.475857|x_1_11_20:0.475857|x_0_8_2:0.454775|x_0_2_8:0.565217|x_1_20_17:0.615385|x_2_16_19:0.357143|x_2_13_10:0.355498,p_0_14:3.41995|p_2_14:2.58005|p_1_9:0.660121|p_0_9:9.33988|p_0_2:15.9918|p_1_2:0.00817974,d_1_3:0.542658|d_0_3:10.4573|d_2_5:1.74736|d_0_5:4.25264|d_2_1:4.88633|d_1_1:2.11367|d_0_13:0.0416667|d_2_13:11.9583,r_9:1|r_8:1|r_6:1|r_5:1|r_4:1|r_3:1|r_2:1|r_19:1,Y_13:31|Y_17:29|Y_12:27|Y_7:26|Y_8:25|Y_6:25|Y_11:21|Y_5:20,e_20:1|e_7:0.133333|e_9:0|e_8:0|e_6:0|e_5:0|e_4:0|e_3:0,h_9_20:1|h_8_20:1|h_6_20:1|h_5_20:1|h_4_20:1|h_3_20:1|h_2_20:1|h_1_20:1,
dominant_k4_low_gini_1_static_tailored_compact_bc_300s:root_lp_relaxation,root_lp_relaxation,2140,215,G=1;W_SP=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.19106430348409,0.16707394042433668,8.036227884863253,0.015516153171051544,2.7726690683547552,3.3734006745442517,0.019900456370386958,0.004384303199335414,0.6007316061894965,z_1_10:0.454545|z_1_17:0.435646|z_0_7:0.434932|z_1_3:0.578947|z_2_16:0.408939|z_2_8:0.40347|z_0_18:0.604119|z_0_2:0.64,x_0_2_0:0.466667|x_0_0_2:0.466667|x_1_3_10:0.454545|x_1_10_0:0.454545|x_2_0_1:0.435814|x_1_0_17:0.435646|x_0_7_19:0.434932|x_0_19_7:0.434932,p_2_15:4.53088|p_2_16:11.4503|p_0_7:0.434932|p_1_20:3.23073|p_1_12:2.23073|p_2_1:3.2099|p_2_7:2.15477|p_1_14:7.12801,d_0_13:9.50225|d_1_8:1.53752|d_1_5:4.38855|d_0_19:8.38855|d_0_18:8.38855|d_1_17:5.6634|d_2_11:2.30645|d_2_8:9.2798,r_3:1|r_4:1|r_2:1|r_10:1|r_9:1|r_8:0.919428|r_6:0.919428|r_5:0.919428,Y_13:28.5023|Y_17:26.6634|Y_7:26.4103|Y_20:23.7693|Y_12:23.7693|Y_8:22.9857|Y_6:22.9857|Y_11:19.308,e_7:0.119657|e_20:0.119657|e_12:0.119657|e_8:0.0805725|e_6:0.0805725|e_5:0.0805725|e_19:0.0805725|e_18:0.0805725,h_3_7:0.119657|h_4_7:0.119657|h_2_7:0.119657|h_3_20:0.119657|h_3_12:0.119657|h_7_10:0.119657|h_4_20:0.119657|h_4_12:0.119657,
dominant_k4_low_gini_1_vector_route_structural_300s:root_lp_relaxation,root_lp_relaxation,2140,215,G=1;W_SP=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,20.191064303483884,0.16707394042430795,8.036227884863443,0.015516153171051842,2.7726690683542787,3.3734006745436376,0.01990045637038763,0.004384303199335788,0.6007316061893588,z_1_9:0.480779|z_0_8:0.477639|z_0_10:0.454545|z_1_3:0.578947|z_2_17:0.419756|z_1_16:0.408939|z_2_19:0.638323|z_0_2:0.64,x_0_2_8:0.477639|x_0_8_10:0.449184|x_1_9_3:0.394981|x_0_13_2:0.322302|x_0_10_13:0.322302|x_2_14_20:0.320823|x_1_3_18:0.28926|x_2_19_9:0.252874,p_2_15:4.53088|p_1_16:11.4503|p_1_7:2.5897|p_2_20:0.356401|p_2_9:3.74988|p_1_9:6.25012|p_1_20:2.76642|p_1_12:2.23073,d_0_13:9.50225|d_2_17:5.45683|d_1_5:2.54803|d_1_18:8.38855|d_0_19:1.36699|d_0_11:2.30798|d_2_1:2.30109|d_1_1:3.2486,r_4:1|r_3:1|r_2:1|r_10:1|r_9:1|r_8:0.919428|r_6:0.919428|r_5:0.919428,Y_13:28.5023|Y_17:26.6634|Y_7:26.4103|Y_12:23.7693|Y_20:23.7693|Y_8:22.9857|Y_6:22.9857|Y_11:19.308,e_20:0.119657|e_12:0.119657|e_7:0.119657|e_8:0.0805725|e_6:0.0805725|e_5:0.0805725|e_19:0.0805725|e_18:0.0805725,h_4_20:0.119657|h_4_12:0.119657|h_3_20:0.119657|h_3_12:0.119657|h_2_20:0.119657|h_2_12:0.119657|h_10_20:0.119657|h_10_12:0.119657,
dominant_k4_low_gini_2_all_new_structural_cuts_300s:root_lp_relaxation,root_lp_relaxation,2160,215,G=1;T_SP_i=20;W_GS=1;Y_i=20;bit=113;d_k_i=60;e_i=20;h_i_j=190;load=60;p_k_i=60;r_i=20;service_mode=60;unparsed=215;x_k_i_j=1260;z_k_i=60,19.972010390733658,0.15591139420735814,9.190329357267835,0.0245762763324,nan,3.1138639851431282,0.023008022671397767,-0.0015682536610022342,not_available,z_0_14:0.486024|z_0_8:0.486024|z_0_10:0.45554|z_2_9:0.454879|z_2_17:0.454879|z_2_2:0.5487|z_1_3:0.578947|z_1_16:0.403397,x_0_14_8:0.484986|x_1_3_19:0.523536|x_1_19_16:0.403397|x_0_10_14:0.337595|x_0_13_10:0.33688|x_1_19_0:0.319464|x_2_2_18:0.295196|x_2_18_0:0.295196,p_0_7:3.3903|p_1_15:4.36706|p_1_16:11.2951|p_2_2:13.7175|p_0_2:2.2825|p_2_9:5.85538|p_1_9:4.14462|p_2_12:2.95127,d_2_11:2.48904|d_2_18:8.56069|d_1_19:8.56099|d_2_5:4.56099|d_0_1:5.70489|d_0_13:9.76953|d_1_6:0.201235|d_0_8:11.1785,r_4:1|r_3:1|r_2:1|r_10:1|r_9:1|r_8:0.928049|r_6:0.928049|r_5:0.928049,Y_13:28.7695|Y_17:26.9134|Y_7:25.6097|Y_8:23.2012|Y_6:23.2012|Y_20:23.0487|Y_12:23.0487|Y_11:19.489,e_7:0.146343|e_20:0.146343|e_12:0.146343|e_8:0.0719506|e_6:0.0719506|e_5:0.0719506|e_19:0.0719506|e_18:0.0719506,h_7_10:0.146343|h_4_7:0.146343|h_4_20:0.146343|h_4_12:0.146343|h_3_7:0.146343|h_3_20:0.146343|h_3_12:0.146343|h_2_7:0.146343,
