row,classification,best_bound_available,compact_bc_bound_valid,best_bound_fail_reason,native_time_limit_param_id,native_time_limit_seconds,native_time_limit_set_rc,callback_abort_requests,terminate_triggered,checkpoint_best_bound_available,checkpoint_best_bound,finalization_source,audit_passed
test_certificate_basis,solver_final_no_bound_available,False,False,,0,0,0,0,False,False,0,solver_final_json,True
test_option_consistency,solver_final_no_bound_available,False,False,,0,0,0,0,False,False,0,solver_final_json,True
test_callback_smoke,solver_final_no_bound_available,False,False,,0,0,0,0,False,False,0,solver_final_json,True
test_branch_callback_smoke,solver_final_no_bound_available,False,False,,0,0,0,0,False,False,0,solver_final_json,True
moderate_low_gini1_plain_10s,wrapper_timeout_no_valid_bound,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,10,0,0,True,False,0.0,wrapper_error_json,True
moderate_low_gini1_callback_auto_10s,wrapper_timeout_with_checkpoint_bound,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,1039,10,0,0,True,True,0.0464098904991,wrapper_best_cplex_native_checkpoint,True
moderate_low_gini2_plain_10s,wrapper_timeout_no_valid_bound,False,False,native_cplex_callback_did_not_return_before_parent_timeout,1039,10,0,0,True,False,0.0,wrapper_error_json,True
moderate_low_gini2_callback_auto_10s,wrapper_timeout_with_checkpoint_bound,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,1039,10,0,0,True,True,0.0489209015481,wrapper_best_cplex_native_checkpoint,True
