row,variant,status,classification,finalization_source,paper_certificate_contamination
test_certificate_basis,test,diagnostic_passed,solver_final_no_bound_available,solver_final_json,False
test_option_consistency,test,diagnostic_complete,solver_final_no_bound_available,solver_final_json,False
test_callback_smoke,test,diagnostic_passed,solver_final_no_bound_available,solver_final_json,False
test_branch_callback_smoke,test,diagnostic_passed,solver_final_no_bound_available,solver_final_json,False
moderate_low_gini1_plain_10s,plain_fixed_interval,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,wrapper_error_json,False
moderate_low_gini1_callback_auto_10s,callback_auto,wrapper_timeout_valid_checkpoint_bound,wrapper_timeout_with_checkpoint_bound,wrapper_best_cplex_native_checkpoint,False
moderate_low_gini2_plain_10s,plain_fixed_interval,wrapper_timeout_noncertified,wrapper_timeout_no_valid_bound,wrapper_error_json,False
moderate_low_gini2_callback_auto_10s,callback_auto,wrapper_timeout_valid_checkpoint_bound,wrapper_timeout_with_checkpoint_bound,wrapper_best_cplex_native_checkpoint,False
