run_id,instance,arm,flow_variant,checkpoint_seconds,status,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source,not_observed_reason
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,30,observed,3.3669864,0.3787917706868861,0.7185040707549709,0.33971230006808484,0,1,3574,global_progress,global_bound_trajectory,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,60,observed,3.3669864,0.3787917706868861,0.7185040707549709,0.33971230006808484,0,1,3574,global_progress,global_bound_trajectory,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,120,observed,3.3669864,0.3787917706868861,0.7185040707549709,0.33971230006808484,0,1,3574,global_progress,global_bound_trajectory,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,300,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,600,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,900,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,1200,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,1800,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,2400,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,3000,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
stage4__V12_M2__f0__3600s,V12_M2,F0,round20-current,3600,observed,276.5836506,0.7185040707549651,0.7185040707549709,5.773159728050814e-15,24962,0,2198846,solver_final,full_precision_final_json,
