stage,instance,arm,budget_seconds,repetition,conditional,serial_order,frozen_before_official_results
1,V12_M1,C5-CANDIDATE,300,0,False,1,True
1,V12_M1,C6-CANDIDATE,300,0,False,2,True
1,V12_M2,C5-CANDIDATE,300,0,False,3,True
1,V12_M2,C6-CANDIDATE,300,0,False,4,True
1,high_imbalance_seed3202,C5-CANDIDATE,300,0,False,5,True
1,high_imbalance_seed3202,C6-CANDIDATE,300,0,False,6,True
1,moderate_seed3302,C5-CANDIDATE,300,0,False,7,True
1,moderate_seed3302,C6-CANDIDATE,300,0,False,8,True
1,tight_T_seed3101,C5-CANDIDATE,300,0,False,9,True
1,tight_T_seed3101,C6-CANDIDATE,300,0,False,10,True
1,tight_T_seed4101,C5-CANDIDATE,300,0,False,11,True
1,tight_T_seed4101,C6-CANDIDATE,300,0,False,12,True
1,tight_T_seed5102,C5-CANDIDATE,300,0,False,13,True
1,tight_T_seed5102,C6-CANDIDATE,300,0,False,14,True
1,high_imbalance_seed6202,C5-CANDIDATE,300,0,False,15,True
1,high_imbalance_seed6202,C6-CANDIDATE,300,0,False,16,True
1,moderate_seed6301,C5-CANDIDATE,300,0,False,17,True
1,moderate_seed6301,C6-CANDIDATE,300,0,False,18,True
2,V12_M1,P-GRB,300,0,False,19,True
2,V12_M1,C6-CANDIDATE,300,0,False,20,True
2,V12_M2,P-GRB,300,0,False,21,True
2,V12_M2,C6-CANDIDATE,300,0,False,22,True
2,high_imbalance_seed3202,P-GRB,300,0,False,23,True
2,high_imbalance_seed3202,C6-CANDIDATE,300,0,False,24,True
2,moderate_seed3302,P-GRB,300,0,False,25,True
2,moderate_seed3302,C6-CANDIDATE,300,0,False,26,True
2,tight_T_seed3101,P-GRB,300,0,False,27,True
2,tight_T_seed3101,C6-CANDIDATE,300,0,False,28,True
2,high_imbalance_seed4201,P-GRB,300,0,False,29,True
2,high_imbalance_seed4201,C6-CANDIDATE,300,0,False,30,True
2,moderate_seed4302,P-GRB,300,0,False,31,True
2,moderate_seed4302,C6-CANDIDATE,300,0,False,32,True
2,tight_T_seed4101,P-GRB,300,0,False,33,True
2,tight_T_seed4101,C6-CANDIDATE,300,0,False,34,True
2,high_imbalance_seed5202,P-GRB,300,0,False,35,True
2,high_imbalance_seed5202,C6-CANDIDATE,300,0,False,36,True
2,high_imbalance_seed5203,P-GRB,300,0,False,37,True
2,high_imbalance_seed5203,C6-CANDIDATE,300,0,False,38,True
2,moderate_seed5301,P-GRB,300,0,False,39,True
2,moderate_seed5301,C6-CANDIDATE,300,0,False,40,True
2,moderate_seed5302,P-GRB,300,0,False,41,True
2,moderate_seed5302,C6-CANDIDATE,300,0,False,42,True
2,tight_T_seed5102,P-GRB,300,0,False,43,True
2,tight_T_seed5102,C6-CANDIDATE,300,0,False,44,True
2,tight_T_seed5103,P-GRB,300,0,False,45,True
2,tight_T_seed5103,C6-CANDIDATE,300,0,False,46,True
2,high_imbalance_seed6202,P-GRB,300,0,False,47,True
2,high_imbalance_seed6202,C6-CANDIDATE,300,0,False,48,True
2,moderate_seed6301,P-GRB,300,0,False,49,True
2,moderate_seed6301,C6-CANDIDATE,300,0,False,50,True
2,tight_T_seed6102,P-GRB,300,0,False,51,True
2,tight_T_seed6102,C6-CANDIDATE,300,0,False,52,True
3,round31_sealed_high_imbalance_V20_seed1968399862,P-GRB,300,0,False,53,True
3,round31_sealed_high_imbalance_V20_seed1968399862,C5-CANDIDATE,300,0,False,54,True
3,round31_sealed_high_imbalance_V20_seed1968399862,C6-CANDIDATE,300,0,False,55,True
3,round31_sealed_high_imbalance_V50_seed802548647,P-GRB,300,0,False,56,True
3,round31_sealed_high_imbalance_V50_seed802548647,C5-CANDIDATE,300,0,False,57,True
3,round31_sealed_high_imbalance_V50_seed802548647,C6-CANDIDATE,300,0,False,58,True
3,round31_sealed_moderate_V20_seed311185674,P-GRB,300,0,False,59,True
3,round31_sealed_moderate_V20_seed311185674,C5-CANDIDATE,300,0,False,60,True
3,round31_sealed_moderate_V20_seed311185674,C6-CANDIDATE,300,0,False,61,True
3,round31_sealed_moderate_V50_seed1112848618,P-GRB,300,0,False,62,True
3,round31_sealed_moderate_V50_seed1112848618,C5-CANDIDATE,300,0,False,63,True
3,round31_sealed_moderate_V50_seed1112848618,C6-CANDIDATE,300,0,False,64,True
3,round31_sealed_tight_T_V20_seed2113109204,P-GRB,300,0,False,65,True
3,round31_sealed_tight_T_V20_seed2113109204,C5-CANDIDATE,300,0,False,66,True
