instance,budget_seconds,executable_sha256,return_code,emergency_timeout,status,exact_phase_started,excluded_pre_exact_hga_deadline,valid_final_lb,verified_ub,strict_certificate,coverage_valid,bounds_monotone,lifecycle_complete,parent_lp_requeues,next_leaf_target_phases,next_leaf_targets_reached,child_target_phases,native_requeues,child_lookaheads_avoided,forced_splits_avoided,splits,terminal_mip_calls,terminal_mip_work,lp_cutoff_prunes,failure_reason
high_imbalance_seed3202,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,1.690987153911601,1.7493134520506337,False,True,True,True,2,2,1,0,1,4,0,0,1,88.75199863422318,0,overall_global_deadline
high_imbalance_seed6202,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,7.5557176110501905,9.820664665302525,False,True,True,True,2,2,1,0,1,4,0,0,0,0,0,overall_global_deadline
moderate_seed3302,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0.14946819954967203,0.19563620654901237,False,True,True,True,3,2,2,0,2,5,0,0,1,59.32952223095815,0,overall_global_deadline
moderate_seed6301,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0,0.6075292832179728,False,True,True,True,0,0,0,0,0,0,0,0,0,0,0,overall_global_deadline
tight_T_seed3101,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0.05204104184234321,0.10725273413394144,False,True,True,True,0,2,0,0,0,2,0,0,0,0,0,overall_global_deadline
tight_T_seed4101,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0.4866734152414082,0.5780172114196505,False,True,True,True,3,2,1,0,1,5,0,0,1,96.20788242276362,0,overall_global_deadline
tight_T_seed5102,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0.28917631309429254,0.3623546627845846,False,True,True,True,2,1,1,0,1,3,0,0,1,71.21008931300112,0,overall_global_deadline
tight_T_seed5103,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0.23943234309208522,0.2849628509699851,False,True,True,True,2,2,2,0,2,4,0,0,2,50.120074342180814,0,overall_global_deadline
tight_T_seed6102,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,paper_hga_global_deadline,False,True,0,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,overall_global_deadline_reached_during_generation_hga
V12_M1,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,optimal,True,False,0.3572005832084145,0.3572005832084155,True,True,True,True,3,3,1,0,1,6,0,0,1,1.5804979237797714,0,none
V12_M2,71,13eb79eb0215a9a56288f0bde465efb71861afc4b0080200a3b4bf1493937043,0,False,round31_c6_external_gini_tree_time_limit,True,False,0.660548194319022,0.7185040707549709,False,True,True,True,1,3,3,0,3,4,0,2,1,89.0847977550492,0,overall_global_deadline
