stage,instance,family,V,M,sealed_heldout,arm,repetition,budget_seconds,return_code,emergency_timeout,status,valid_final_lb,verified_ub,common_verified_ub,common_ub_gap,strict_certificate,runtime_seconds,graceful_deadline_finalization,failure_reason,run_id,run_path
6,high_imbalance_seed3202,high_imbalance,20,3,False,C5-CANDIDATE,0,1200,0,False,optimal,1.749313452050631,1.7493134520506337,1.7493134520506337,1.5231891437048475e-15,True,212.1705452,False,none,stage6__high_imbalance_seed3202__c5_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__high_imbalance_seed3202__c5_candidate__1200s
6,high_imbalance_seed3202,high_imbalance,20,3,False,C6-CANDIDATE,0,1200,0,False,optimal,1.7493134520506324,1.7493134520506337,1.7493134520506337,7.615945718524238e-16,True,232.0926291,False,none,stage6__high_imbalance_seed3202__c6_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__high_imbalance_seed3202__c6_candidate__1200s
6,high_imbalance_seed3202,high_imbalance,20,3,False,P-GRB,0,1200,0,False,time_limit,1.1565872040347085,1.7630423841732887,1.7493134520506337,0.33883364203316535,False,1195.0515491,False,,stage6__high_imbalance_seed3202__p_grb__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__high_imbalance_seed3202__p_grb__1200s
6,high_imbalance_seed6202,high_imbalance,50,3,False,C5-CANDIDATE,0,1200,0,False,round30_c5_external_gini_tree_time_limit,7.461555638889693,9.729609677413569,9.729609677413569,0.2331084302167808,False,1195.11268,True,overall_global_deadline,stage6__high_imbalance_seed6202__c5_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__high_imbalance_seed6202__c5_candidate__1200s
6,high_imbalance_seed6202,high_imbalance,50,3,False,C6-CANDIDATE,0,1200,0,False,round31_c6_external_gini_tree_time_limit,8.191699928419316,9.729609677413569,9.729609677413569,0.15806489674137436,False,1195.1199658,True,overall_global_deadline,stage6__high_imbalance_seed6202__c6_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__high_imbalance_seed6202__c6_candidate__1200s
6,high_imbalance_seed6202,high_imbalance,50,3,False,P-GRB,0,1200,0,False,time_limit,7.87885968129165,9.909325627823083,9.729609677413569,0.19021831887236665,False,1195.0530864,False,,stage6__high_imbalance_seed6202__p_grb__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__high_imbalance_seed6202__p_grb__1200s
6,moderate_seed3302,moderate,20,3,False,C5-CANDIDATE,0,1200,0,False,round30_c5_external_gini_tree_time_limit,0.14014625853587934,0.19563620654901237,0.19563620654901237,0.283638437853431,False,1195.0611894,True,overall_global_deadline,stage6__moderate_seed3302__c5_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__moderate_seed3302__c5_candidate__1200s
6,moderate_seed3302,moderate,20,3,False,C6-CANDIDATE,0,1200,0,False,round31_c6_external_gini_tree_time_limit,0.14946819954967203,0.19563620654901237,0.19563620654901237,0.23598907284973325,False,1195.0419475,True,overall_global_deadline,stage6__moderate_seed3302__c6_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__moderate_seed3302__c6_candidate__1200s
6,moderate_seed3302,moderate,20,3,False,P-GRB,0,1200,0,False,time_limit,0.1294036660192964,0.2127292755347344,0.19563620654901237,0.3385495031724757,False,1195.051364,False,,stage6__moderate_seed3302__p_grb__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__moderate_seed3302__p_grb__1200s
6,moderate_seed6301,moderate,50,3,False,C5-CANDIDATE,0,1200,0,False,round30_c5_external_gini_tree_time_limit,0.5050682961541278,0.5864998229863859,0.5864998229863859,0.13884322490946138,False,1195.0933155,True,overall_global_deadline,stage6__moderate_seed6301__c5_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__moderate_seed6301__c5_candidate__1200s
6,moderate_seed6301,moderate,50,3,False,C6-CANDIDATE,0,1200,0,False,round31_c6_external_gini_tree_time_limit,0.5345915879853432,0.6031640941593124,0.5864998229863859,0.08850511622788265,False,1195.1060439,True,overall_global_deadline,stage6__moderate_seed6301__c6_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__moderate_seed6301__c6_candidate__1200s
6,moderate_seed6301,moderate,50,3,False,P-GRB,0,1200,0,False,time_limit,0.4354059930623031,1.0208680178685339,0.5864998229863859,0.25761956611466885,False,1195.0530799,False,,stage6__moderate_seed6301__p_grb__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__moderate_seed6301__p_grb__1200s
6,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,3,True,C5-CANDIDATE,0,1200,0,False,optimal,2.0874707763680846,2.0874707775727215,2.0874707775727215,5.770796159978932e-10,True,73.0103697,False,none,stage6__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__1200s
6,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,3,True,C6-CANDIDATE,0,1200,0,False,optimal,2.0874707771215264,2.0874707775727215,2.0874707775727215,2.1614438206484313e-10,True,148.2919608,False,none,stage6__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__1200s
6,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,3,True,P-GRB,0,1200,0,False,time_limit,1.1599607034066866,2.0874707775727215,2.0874707775727215,0.444322423159633,False,1195.0639087,False,,stage6__round31_sealed_high_imbalance_V20_seed1968399862__p_grb__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__round31_sealed_high_imbalance_V20_seed1968399862__p_grb__1200s
6,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,3,True,C5-CANDIDATE,0,1200,0,False,round30_c5_external_gini_tree_time_limit,8.165095096933097,8.772093021269535,8.771979091147195,0.0691843867738551,False,1195.124704,True,overall_global_deadline,stage6__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__1200s,results/gf_nonblocking_gurobi_c6_round31/runs/stage6__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__1200s
