instance,run_id,arm,leaf_id,depth,status,ledger_work,ledger_runtime,log_available,log_path,model_rows,model_columns,model_nonzeros,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,lp_iterations,lp_seconds,lp_work,matrix_range_min,matrix_range_max,objective_range_min,objective_range_max,bounds_range_min,bounds_range_max,rhs_range_min,rhs_range_max,reported_cut_families,reported_cut_count,cut_summary,primal_dual_vector_export_available,binding_row_family_counts_available,fractional_pattern_export_available,lp_objective
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L0,0,INFEASIBLE,0.171999,0.053,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L0_lp.gurobi.log,6225,648,59207,360,41,5865,611,58391,428,0.05,0.17,2e-03,1e+05,2e-03,1e+00,9e-02,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1,0,OPTIMAL,0.175558,0.056,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,687,0.06,0.18,2e-03,1e+05,2e-03,1e+00,9e-02,8e+01,3e-02,1e+06,0,0,,False,False,False,0.2772609694
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.0,1,INFEASIBLE,0.136526,0.043,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.0_lp.gurobi.log,6225,648,59365,234,38,5991,611,58726,333,0.04,0.14,2e-03,1e+05,2e-03,1e+00,9e-02,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1,1,OPTIMAL,0.196544,0.063,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,678,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.2929612573
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2,0,OPTIMAL,0.206229,0.0639999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2_lp.gurobi.log,6225,648,59365,272,38,5953,611,58320,757,0.06,0.21,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.2942432243
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0,1,OPTIMAL,0.194399,0.0619998,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0_lp.gurobi.log,6225,648,59365,257,38,5968,611,58500,697,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.2957288395
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.1,1,OPTIMAL,0.207389,0.0669999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.1_lp.gurobi.log,6225,648,59365,272,38,5953,611,58320,840,0.07,0.21,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3230498138
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L3,0,OPTIMAL,0.175397,0.0550001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L3_lp.gurobi.log,6225,648,59365,310,38,5915,611,57864,698,0.06,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3540353772
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L3.0,1,OPTIMAL,0.181095,0.053,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L3.0_lp.gurobi.log,6225,648,59365,298,38,5927,611,58008,771,0.05,0.18,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3540353772
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L3.1,1,INFEASIBLE,0.168343,0.0509999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L3.1_lp.gurobi.log,6226,648,59367,328,38,5898,611,57685,584,0.05,0.17,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.0,2,INFEASIBLE,0.160471,0.0469999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.0_lp.gurobi.log,6225,648,59365,244,38,5981,611,58656,487,0.05,0.16,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1,2,OPTIMAL,0.170389,0.0549998,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,653,0.05,0.17,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.300833292
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0,2,OPTIMAL,0.206293,0.063,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0_lp.gurobi.log,6225,648,59365,252,38,5973,611,58560,729,0.06,0.21,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.2976827098
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.1,2,OPTIMAL,0.161268,0.05,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.1_lp.gurobi.log,6225,648,59365,257,38,5968,611,58500,634,0.05,0.16,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3084825288
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0,3,OPTIMAL,0.187965,0.0579998,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,616,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.2998185034
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1,3,OPTIMAL,0.174852,0.0550001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1_lp.gurobi.log,6225,648,59365,252,38,5973,611,58560,634,0.06,0.17,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3032901771
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0,4,OPTIMAL,0.196066,0.0609999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,790,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3014387818
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1,4,OPTIMAL,0.191554,0.0579998,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,679,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3023644197
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.0,3,INFEASIBLE,0.133872,0.0420001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,388,0.04,0.13,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1,3,OPTIMAL,0.191608,0.0580001,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,753,0.06,0.19,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.304771851
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.0,5,OPTIMAL,0.208203,0.062,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.0_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,806,0.06,0.21,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3032000926
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.1,5,OPTIMAL,0.19664,0.0599999,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.1_lp.gurobi.log,6225,648,59365,245,38,5980,611,58644,763,0.06,0.2,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,False,False,False,0.3026491805
