stage,instance,family,V,M,sealed_heldout,arm,repetition,budget_seconds,return_code,emergency_timeout,status,valid_final_lb,verified_ub,common_verified_ub,common_ub_gap,strict_certificate,runtime_seconds,graceful_deadline_finalization,failure_reason,run_id,run_path
3,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,3,True,C5-CANDIDATE,0,300,0,False,optimal,2.0874707763680846,2.0874707775727215,2.0874707775727215,5.770796159978932e-10,True,72.8152117,False,none,stage3__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__300s
3,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,3,True,C6-CANDIDATE,0,300,0,False,optimal,2.0874707771215264,2.0874707775727215,2.0874707775727215,2.1614438206484313e-10,True,147.9739372,False,none,stage3__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__300s
3,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,3,True,P-GRB,0,300,0,False,time_limit,1.112157854459902,2.0874707775727215,2.0874707775727215,0.46722231208759635,False,295.0190528,False,,stage3__round31_sealed_high_imbalance_V20_seed1968399862__p_grb__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_high_imbalance_V20_seed1968399862__p_grb__300s
3,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,3,True,C5-CANDIDATE,0,300,0,False,round30_c5_external_gini_tree_time_limit,8.117791020152913,8.833146456637262,8.771979091147195,0.07457702123965364,False,295.0871946,True,overall_global_deadline,stage3__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__300s
3,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,3,True,C6-CANDIDATE,0,300,0,False,round31_c6_external_gini_tree_time_limit,8.52471811211857,8.773670824236047,8.771979091147195,0.028187593296724052,False,295.0995171,True,overall_global_deadline,stage3__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__300s
3,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,3,True,P-GRB,0,300,0,False,time_limit,8.07009017957948,9.354339451992967,8.771979091147195,0.08001488652384844,False,295.0247801,False,,stage3__round31_sealed_high_imbalance_V50_seed802548647__p_grb__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_high_imbalance_V50_seed802548647__p_grb__300s
3,round31_sealed_moderate_V20_seed311185674,moderate,20,3,True,C5-CANDIDATE,0,300,0,False,round30_c5_external_gini_tree_time_limit,0.061612899089411255,0.07675263690685412,0.07675263690685412,0.1972536505269028,False,295.0277082,True,overall_global_deadline,stage3__round31_sealed_moderate_V20_seed311185674__c5_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_moderate_V20_seed311185674__c5_candidate__300s
3,round31_sealed_moderate_V20_seed311185674,moderate,20,3,True,C6-CANDIDATE,0,300,0,False,round31_c6_external_gini_tree_time_limit,0.059812848189515565,0.07675263690685412,0.07675263690685412,0.22070627668332013,False,295.0263226,True,overall_global_deadline,stage3__round31_sealed_moderate_V20_seed311185674__c6_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_moderate_V20_seed311185674__c6_candidate__300s
3,round31_sealed_moderate_V20_seed311185674,moderate,20,3,True,P-GRB,0,300,0,False,time_limit,0.05976927145139454,0.08514717665231653,0.07675263690685412,0.2212740322664138,False,295.0205407,False,,stage3__round31_sealed_moderate_V20_seed311185674__p_grb__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_moderate_V20_seed311185674__p_grb__300s
3,round31_sealed_moderate_V50_seed1112848618,moderate,50,3,True,C5-CANDIDATE,0,300,0,False,round30_c5_external_gini_tree_time_limit,0.5156128798027653,0.6874838397370203,0.6874838397370203,0.24999999999999997,False,295.0902901,True,overall_global_deadline,stage3__round31_sealed_moderate_V50_seed1112848618__c5_candidate__300s,results/gf_nonblocking_gurobi_c6_round31/runs/stage3__round31_sealed_moderate_V50_seed1112848618__c5_candidate__300s
