instance,arm,run_id,model_rows,model_columns,model_nonzeros,presolve_removed_rows,presolve_removed_columns,root_relaxation_objective,root_work,reported_cut_count,native_tree_concentration,model_rebuild_pattern,safe_vector_pattern_evidence,root_relaxation_objective_min,root_work_total,reported_cut_count_total
V12_M1,P-GRB,stage2__V12_M1__p_grb__300s,992,489,3867,49,13,0.1969403,0.02,565,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
V12_M1,C5-CANDIDATE,stage1__V12_M1__c5_candidate__300s,6226,648,59367,360,41,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.3208749,2.14,2290
V12_M1,C0-DIAG,stage1__V12_M1__c0_diag__300s,6225,648,59207,,,,,,time_quantized_repeated_leaf_native_search,fresh_or_same_leaf_restart_no_tree_claim,not_exported,,,
V12_M2,P-GRB,stage2__V12_M2__p_grb__300s,1551,719,6504,88,28,0.3003901,0.03,932,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
V12_M2,C5-CANDIDATE,stage1__V12_M2__c5_candidate__300s,11351,1034,113600,581,61,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.6515438,22.71,9118
V12_M2,C0-DIAG,stage1__V12_M2__c0_diag__300s,11351,1035,113441,,,,,,time_quantized_repeated_leaf_native_search,fresh_or_same_leaf_restart_no_tree_claim,not_exported,,,
high_imbalance_seed6202,P-GRB,stage2__high_imbalance_seed6202__p_grb__300s,27650,10534,135597,417,102,7.114386,1.04,1418,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
high_imbalance_seed6202,C5-CANDIDATE,stage2__high_imbalance_seed6202__c5_candidate__300s,93009,18187,665803,15522,267,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,7.557206,19.48,1706
moderate_seed3302,P-GRB,stage2__moderate_seed3302__p_grb__300s,5063,2111,23340,147,24,0.09570934,0.19,2196,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
moderate_seed3302,C5-CANDIDATE,stage1__moderate_seed3302__c5_candidate__300s,11903,3374,67328,897,104,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.13904,24.67,7307
moderate_seed3302,C0-DIAG,stage1__moderate_seed3302__c0_diag__300s,11903,3374,67088,,,,,,time_quantized_repeated_leaf_native_search,fresh_or_same_leaf_restart_no_tree_claim,not_exported,,,
moderate_seed5302,P-GRB,stage2__moderate_seed5302__p_grb__300s,5075,2119,23376,140,20,0.00610982,0.09,1049,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
moderate_seed5302,C5-CANDIDATE,stage2__moderate_seed5302__c5_candidate__300s,11932,3382,67410,685,104,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.01483266,2.01,1230
moderate_seed6301,P-GRB,stage2__moderate_seed6301__p_grb__300s,27656,10538,135648,366,63,0.3079995,1.19,1397,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
moderate_seed6301,C5-CANDIDATE,stage1__moderate_seed6301__c5_candidate__300s,93027,18191,665810,6710,259,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.4806177,34.48,2756
moderate_seed6301,C0-DIAG,stage1__moderate_seed6301__c0_diag__300s,93026,18191,665192,,,,,,time_quantized_repeated_leaf_native_search,fresh_or_same_leaf_restart_no_tree_claim,not_exported,,,
tight_T_seed4101,P-GRB,stage2__tight_T_seed4101__p_grb__300s,5060,2109,23331,153,27,0.2039033,0.07,1517,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
tight_T_seed4101,C5-CANDIDATE,stage2__tight_T_seed4101__c5_candidate__300s,11897,3372,67355,1395,115,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.3944731,0.43,1243
tight_T_seed5102,P-GRB,stage2__tight_T_seed5102__p_grb__300s,5069,2115,23340,160,37,0.1279955,0.12,1300,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
tight_T_seed5102,C5-CANDIDATE,stage1__tight_T_seed5102__c5_candidate__300s,11918,3378,67388,1101,111,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.2913372,0.33,533
tight_T_seed5102,C0-DIAG,stage1__tight_T_seed5102__c0_diag__300s,11916,3378,67132,,,,,,time_quantized_repeated_leaf_native_search,fresh_or_same_leaf_restart_no_tree_claim,not_exported,,,
tight_T_seed5103,P-GRB,stage2__tight_T_seed5103__p_grb__300s,5066,2113,23328,168,47,0.07011122,0.1,1871,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
tight_T_seed5103,C5-CANDIDATE,stage2__tight_T_seed5103__c5_candidate__300s,11911,3376,67363,1395,116,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.1407282,0.99,595
tight_T_seed6102,P-GRB,stage2__tight_T_seed6102__p_grb__300s,27653,10536,135612,408,99,0.3453381,0.86,1757,one_continuous_complete_original_mip,single_model_single_optimize,not_exported,,,
tight_T_seed6102,C5-CANDIDATE,stage2__tight_T_seed6102__c5_candidate__300s,93019,18189,665846,8824,271,,,,many_leaf_local_native_searches,canonical_leaf_models_same_leaf_lp_to_mip_object_reuse,not_exported,0.5525095,47.0,2418
