instance,run_id,arm,leaf_id,solve_kind,log_available,log_path,model_rows,model_columns,model_nonzeros,continuous_variables,integer_variables,binary_variables,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_relaxation_objective,root_iterations,root_seconds,root_work,explored_nodes,total_simplex_iterations,native_seconds,native_work,matrix_range_min,matrix_range_max,objective_range_min,objective_range_max,bounds_range_min,bounds_range_max,rhs_range_min,rhs_range_max,reported_cut_families,reported_cut_count,cut_summary,depth,native_status,ledger_work,ledger_runtime,ledger_nodes
V12_M1,stage2__V12_M1__p_grb__300s,P-GRB,complete_original_model,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage2__V12_M1__p_grb__300s/native.log,992,489,3867,188,301,253,49,13,943,476,5846,0.1969403,591,0.01,0.02,26343,690601,34.81,53.57,2e-02,5e+02,2e-03,1e+00,1e+00,8e+01,1e+00,4e+03,15,565,BQP=53;Clique=21;Cover=59;Flow cover=140;GUB cover=1;Gomory=67;Implied bound=83;Inf proof=5;Learned=6;MIR=89;Projected implied bound=22;RLT=8;Relax-and-lift=1;StrongCG=8;Zero half=2,,,,,
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.1_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,736,27,5489,621,58752,,,,,1,850,0.2,0.4,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,5,INFEASIBLE,0.398407,0.204,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.0_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,736,27,5489,621,58793,0.3245316,892,0.05,0.15,1,892,0.22,0.44,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,5,INTERRUPTED,0.436314,0.22,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.0.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.0.0_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,736,27,5489,621,58741,,,,,1,730,0.21,0.41,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,5,INFEASIBLE,0.407099,0.206,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.1_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,740,27,5485,621,58770,0.3226902,912,0.05,0.14,1,912,0.21,0.42,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,5,INTERRUPTED,0.424498,0.207,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,742,27,5483,621,58745,0.3213155,1055,0.06,0.18,1,1055,0.22,0.46,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,4,INTERRUPTED,0.46074,0.217,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,743,27,5482,621,58757,0.3217048,803,0.05,0.13,1,803,0.21,0.42,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,4,INTERRUPTED,0.415996,0.208,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L1.1.1.1.1.1.1.1,PARTIAL_MIP_TARGET,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L1.1.1.1.1.1.1.1_partial_target_mip.gurobi.log,6225,648,59365,347,301,253,736,27,5489,621,58742,,,,,1,670,0.2,0.4,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,0,0,,7,INFEASIBLE,0.402557,0.202,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.1_terminal_mip.gurobi.log,6225,648,59365,347,301,253,749,27,5476,621,58700,0.3208749,872,0.04,0.12,911,21684,4.95,7.43,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,16,325,BQP=14;Clique=26;Cover=43;Flow cover=33;GUB cover=2;Gomory=3;Implied bound=65;Inf proof=1;Learned=2;MIR=101;Network=3;PSD=2;RLT=10;Relax-and-lift=10;StrongCG=4;Zero half=6,2,OPTIMAL,7.43183,4.948,911.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.0_terminal_mip.gurobi.log,6225,648,59365,347,301,253,742,27,5483,621,58748,0.3218097,791,0.06,0.19,1,1432,0.77,1.06,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,14,190,BQP=6;Clique=19;Cover=10;Flow cover=16;GUB cover=1;Gomory=4;Implied bound=35;Learned=3;MIR=69;Network=1;RLT=11;Relax-and-lift=6;StrongCG=7;Zero half=2,5,INFEASIBLE,1.0644,0.774,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.0.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.0.1_terminal_mip.gurobi.log,6225,648,59365,347,301,253,742,27,5483,621,58745,0.3219675,1104,0.06,0.19,1,2443,2.35,2.4,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,13,194,BQP=4;Clique=19;Cover=20;Flow cover=30;GUB cover=1;Gomory=2;Implied bound=42;Learned=3;MIR=46;RLT=13;Relax-and-lift=8;StrongCG=3;Zero half=3,5,INFEASIBLE,2.40108,2.354,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.0_terminal_mip.gurobi.log,6225,648,59365,347,301,253,742,27,5483,621,58745,0.3221729,854,0.04,0.13,3,2822,3.76,4.4,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,15,191,BQP=4;Clique=20;Cover=14;Flow cover=28;GUB cover=1;Gomory=1;Implied bound=37;Learned=3;MIR=58;Network=4;PSD=1;RLT=5;Relax-and-lift=11;StrongCG=3;Zero half=1,5,INFEASIBLE,4.39789,3.765,3.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.1.1.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.1.1.1_terminal_mip.gurobi.log,6225,648,59365,347,301,253,743,27,5482,621,58757,0.3224055,827,0.05,0.15,13,3473,3.61,4.47,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,15,201,BQP=4;Clique=31;Cover=19;Flow cover=13;GUB cover=2;Gomory=1;Implied bound=35;Learned=2;MIR=61;Network=1;PSD=5;RLT=7;Relax-and-lift=13;StrongCG=3;Zero half=4,5,INFEASIBLE,4.46835,3.607,13.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.1.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.1.0_terminal_mip.gurobi.log,6225,648,59365,347,301,253,738,27,5487,621,58767,0.3235151,751,0.04,0.12,1,1020,0.52,0.72,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,15,305,BQP=5;Clique=29;Cover=20;Flow cover=56;GUB cover=7;Gomory=15;Implied bound=53;Learned=1;MIR=78;Network=1;PSD=2;RLT=17;Relax-and-lift=8;StrongCG=8;Zero half=5,6,INFEASIBLE,0.720675,0.525,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.1.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.1.1_terminal_mip.gurobi.log,6225,648,59365,347,301,253,740,27,5485,621,58770,0.3227746,972,0.05,0.15,1,1341,0.7,0.92,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,14,236,BQP=6;Clique=20;Cover=14;Flow cover=22;GUB cover=3;Gomory=4;Implied bound=40;Learned=2;MIR=95;Network=3;RLT=8;Relax-and-lift=9;StrongCG=7;Zero half=3,6,INFEASIBLE,0.915192,0.697,1.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.1,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.1_terminal_mip.gurobi.log,6225,648,59365,347,301,253,764,27,5461,621,58506,0.331627,831,0.05,0.15,1303,56032,16.25,29.25,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,11,114,Clique=6;Cover=15;Flow cover=14;GUB cover=2;Gomory=3;Implied bound=25;Learned=3;MIR=37;RLT=1;Relax-and-lift=7;StrongCG=1,1,INFEASIBLE,29.2455,16.252,1303.0
V12_M1,stage1__V12_M1__c5_candidate__300s,C5-CANDIDATE,L2.0.0.0.1.0.0,MIP,True,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s/external/native_logs/L2.0.0.0.1.0.0_terminal_mip.gurobi.log,6225,648,59365,347,301,253,736,27,5489,621,58783,0.3276063,828,0.06,0.2,1,856,0.4,0.7,2e-03,1e+05,2e-03,1e+00,1e-01,8e+01,3e-02,1e+06,13,246,BQP=2;Clique=18;Cover=14;Flow cover=18;Gomory=19;Implied bound=40;MIR=103;Network=2;PSD=1;RLT=9;Relax-and-lift=10;StrongCG=4;Zero half=6,6,INFEASIBLE,0.697395,0.406,1.0
