run_id,instance,arm,leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L2.0,MIP,OPTIMAL,0,275.311,171.894,339.07,2096,775699,0,0.136217,084ef48da13aff276049662c22c84ddefcb39839db7cdb7853b06063060a601f,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L2.0_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L2.1,MIP,INFEASIBLE,0,98.0275,2.153,4.24638,1,12989,0,0.136217,90dab83c203443df5c270b48dc952f50a18f19e396fae8cfbbb6b3b1ebf52112,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L2.1_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.1.1,MIP,INFEASIBLE,0,95.0788,0.653,1.42918,1,4789,0,0.136217,c503a0f009693ddd92faa24b75e3f3dda4985b3cba382b84a241b851f5cc68ab,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.1.1_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.1.0.0,MIP,INFEASIBLE,0,93.1653,0.555,1.20203,1,4516,0,0.136217,6d802e15fb4c05a048cc28fdd4084166b0c742986fee909a0b46355ca63a1785,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.1.0.0_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.1.0.1,MIP,INFEASIBLE,0,92.5986,0.664,1.46559,1,5247,0,0.136217,dc3ba812cc3a00fefd6849f0f2fdf8358d7d3f40cba170a2c4cc5bf16aa4322b,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.1.0.1_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.0.1.0,MIP,INFEASIBLE,0,89.8212,0.601,1.28138,1,4493,0,0.136217,2dcf6b06221478933ece11d1e1dd27a10132bf338669e018cd55946a1e5c971d,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.0.1.0_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.0.1.1,MIP,INFEASIBLE,0,89.2081,0.601,1.33526,1,4580,0,0.136217,b7063946c083d2f0d510beb48acef6deec9505e13a1a1c14a2a088818ffc5c64,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.0.1.1_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.0.0.0,MIP,INFEASIBLE,0,87.372,0.576,1.25144,1,4390,0,0.136217,934f9c7e0ca90e160fad82bb3c61d7bcabd0f5a62f4bc4d91d9e212eb8304eac,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.0.0.0_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.1.0.0.1,MIP,INFEASIBLE,0,86.7841,0.631,1.41469,1,5020,0,0.136217,3efd31c0eaa39291a45e81252cad33fe70225c79b672997999d52b61cac0a622,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.1.0.0.1_terminal_mip.gurobi.log
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,L1.1.1.1.1.0.1.1.1,MIP,INFEASIBLE,0,83.9798,0.433,0.915899,1,3811,0,0.136217,594c6e14a57bdb4727d2da626dc355ed8bd5e9ad44296b7b30329e0b1f3692fc,1,0,not_requested,E:\codes\ExactEBRP\results\gf_nonblocking_gurobi_c6_round31\runs\stage1__high_imbalance_seed3202__c5_candidate__300s\external\native_logs\L1.1.1.1.1.0.1.1.1_terminal_mip.gurobi.log
