family,V,instances,right_final_lb_wins,left_final_lb_wins,final_lb_ties,auc_available,right_auc_wins,left_auc_wins,auc_ties
high_imbalance,20,1,1,0,0,1,1,0,0
high_imbalance,50,1,1,0,0,1,0,1,0
moderate,20,1,1,0,0,1,0,1,0
moderate,50,1,1,0,0,1,1,0,0
tight_T,20,1,1,0,0,1,1,0,0
tight_T,50,1,1,0,0,1,1,0,0
