run_id,instance,arm,models,model_frees,environments,environment_frees,optimize_calls,lp_calls,partial_target_calls,terminal_calls,model_reuses,integer_domain_restores,fresh_restarts,child_restarts,reset_calls,lifecycle_complete,basis_reuse_claimed,native_tree_continuation_claimed
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,40,40,1,1,56,40,5,11,16,40,0,0,0,True,False,False
stage1__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage1__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,C5-CANDIDATE,8,8,1,1,9,8,0,1,1,8,0,0,0,True,False,False
stage1__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,107,107,1,1,137,107,22,8,30,107,0,0,0,True,False,False
stage1__moderate_seed3302__c6_candidate__300s,moderate_seed3302,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,18,18,1,1,21,18,1,2,3,18,0,0,0,True,False,False
stage1__moderate_seed6301__c6_candidate__300s,moderate_seed6301,C6-CANDIDATE,6,6,1,1,8,6,1,1,2,6,0,0,0,True,False,False
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,10,10,1,1,14,10,1,3,4,10,0,0,0,True,False,False
stage1__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,C6-CANDIDATE,5,5,1,1,8,5,2,1,3,5,0,0,0,True,False,False
stage1__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,C5-CANDIDATE,6,6,1,1,7,6,0,1,1,6,0,0,0,True,False,False
stage1__tight_T_seed4101__c6_candidate__300s,tight_T_seed4101,C6-CANDIDATE,6,6,1,1,9,6,2,1,3,6,0,0,0,True,False,False
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,7,7,1,1,8,7,0,1,1,7,0,0,0,True,False,False
