instance,run_id,leaf_id,attempt,first_processing,selected_while_controlling,leaf_bound_before,leaf_bound_after,leaf_bound_gain,global_lb_before,global_lb_after,global_lb_gain,solver_runtime,work,nodes,native_status,historical_time_quantum,transferable_conclusion
V12_M1,stage1__V12_M1__c0_diag__300s,L0,0,True,True,0.0,1e+100,1e+100,0.0,0.08930014580210388,0.08930014580210388,0.24300003051757812,0.45650315755326426,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M1,stage1__V12_M1__c0_diag__300s,L1,0,True,True,0.08930014580210388,1e+100,1e+100,0.08930014580210388,0.17860029160420776,0.08930014580210388,0.2239999771118164,0.428986438878362,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M1,stage1__V12_M1__c0_diag__300s,L2,0,True,True,0.17860029160420776,0.3572005832084145,0.17860029160420676,0.17860029160420776,0.26790043740631164,0.08930014580210388,21.936000108718872,33.438233046930414,3196.0,OPTIMAL,30.0,valid_partial_bound_event_not_time_quantum
V12_M1,stage1__V12_M1__c0_diag__300s,L3,0,True,True,0.26790043740631164,1e+100,1e+100,0.26790043740631164,0.3572005832084145,0.08930014580210288,0.2330000400543213,0.4576535330468066,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L0,0,True,True,0.0,1e+100,1e+100,0.0,0.17962601768874273,0.17962601768874273,0.3059999942779541,0.4901279407209964,0.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L1,0,True,True,0.17962601768874273,1e+100,1e+100,0.17962601768874273,0.35925203537748546,0.17962601768874273,0.4049999713897705,0.801655365912265,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L2,0,True,True,0.35925203537748546,0.6489129032126036,0.2896608678351182,0.35925203537748546,0.5388780530662282,0.1796260176887427,30.009999990463257,53.69132254216074,630.0,TIME_LIMIT,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L3,0,True,True,0.5388780530662282,1e+100,1e+100,0.5388780530662282,0.6489129032126036,0.11003485014637548,0.43900012969970703,0.9434560573810025,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L2,1,False,True,0.6489129032126036,0.6978701980689099,0.04895729485630629,0.6489129032126036,0.6978701980689099,0.04895729485630629,60.001999855041504,140.6289032436268,1830.0,TIME_LIMIT,60.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L2.0,0,True,True,0.6978701980689099,1e+100,1e+100,0.6978701980689099,0.6978701980689099,0.0,13.678999900817871,25.064434216782708,235.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L2.1,0,True,True,0.6978701980689099,0.6978701980689099,0.0,0.6978701980689099,0.6978701980689099,0.0,30.005000114440918,55.213917080904416,777.0,TIME_LIMIT,30.0,valid_partial_bound_event_not_time_quantum
V12_M2,stage1__V12_M2__c0_diag__300s,L2.1,1,False,True,0.6978701980689099,0.7185040707549689,0.020633872686058985,0.6978701980689099,0.7185040707549689,0.020633872686058985,42.11899995803833,86.77573473681758,1921.0,OPTIMAL,60.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L0,0,True,True,0.0,0.15561476199603727,0.15561476199603727,0.0,0.04890905163725309,0.04890905163725309,30.003999948501587,54.40115422567758,13.0,TIME_LIMIT,30.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L1,0,True,True,0.04890905163725309,0.15949765678682276,0.11058860514956967,0.04890905163725309,0.09781810327450619,0.04890905163725309,30.001999855041504,62.758387090484746,9.0,TIME_LIMIT,30.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L2,0,True,True,0.09781810327450619,0.1852600572046464,0.0874419539301402,0.09781810327450619,0.14672715491175928,0.04890905163725309,30.002000093460083,62.283115396274795,34.0,TIME_LIMIT,30.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L3,0,True,True,0.14672715491175928,1e+100,1e+100,0.14672715491175928,0.15561476199603727,0.008887607084277993,0.5739998817443848,1.2421528338301768,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L0,1,False,True,0.15561476199603727,0.15986358119059038,0.004248819194553111,0.15561476199603727,0.15949765678682276,0.0038828947907854905,60.00800013542175,103.72064132112796,539.0,TIME_LIMIT,60.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L1,1,False,True,0.15949765678682276,0.15990927736074856,0.0004116205739257972,0.15949765678682276,0.15986358119059038,0.00036592440376762014,60.026999950408936,114.36405328075581,543.0,TIME_LIMIT,60.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L0.0,0,True,True,0.15986358119059038,1e+100,1e+100,0.15986358119059038,0.15986358119059038,0.0,1.9220001697540283,3.7567066918385947,1.0,INFEASIBLE,30.0,valid_partial_bound_event_not_time_quantum
moderate_seed3302,stage1__moderate_seed3302__c0_diag__300s,L0.1,0,True,True,0.15986358119059038,0.15986358119059038,0.0,0.15986358119059038,0.15986358119059038,0.0,30.003000020980835,57.74647784413189,17.0,TIME_LIMIT,30.0,valid_partial_bound_event_not_time_quantum
