instance,critical_instance,run_id,parent_id,depth,original_normalized_child_gain,frozen_child_target,parent_bound_at_target,child_disjunction_bound_at_delayed_split,current_raw_gain_at_delayed_split,current_gain_exceeds_certificate_tolerance,current_gain_reaches_rho,target_event_seen,delayed_split_seen,global_lb_before_delayed_split,global_lb_after_delayed_split,immediate_global_lb_gain,forced_split_avoidable_under_current_value_rule,audit_conclusion
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.0.1,5,0.00898115,0.303139,nan,0.303139,nan,False,False,False,False,nan,nan,nan,False,current_gain_remains_positive_or_unavailable
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.0,5,0.00682284,0.303457,0.3245316089753111,0.303457,-0.021074608975311104,False,False,True,True,0.3245316089753111,0.3245316089753111,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.0.0,5,0.00983929,0.303731,nan,0.303731,nan,False,False,False,False,nan,nan,nan,False,current_gain_remains_positive_or_unavailable
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.1,5,0.0066891,0.303993,0.3226902292362217,0.303993,-0.01869722923622169,False,False,True,True,0.3226902292362217,0.3226902292362217,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.0,4,0.0069764,0.304204,0.32131546474261,0.304204,-0.01711146474261005,False,False,True,True,0.32131546474261,0.32131546474261,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.1,4,0.00506475,0.306358,0.3217047837403488,0.306358,-0.015346783740348757,False,False,True,True,0.3217047837403488,0.3217047837403488,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L1.1.1.1.1.1.1.1,7,0.00252679,0.308588,nan,0.308588,nan,False,False,False,False,nan,nan,nan,False,current_gain_remains_positive_or_unavailable
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.0.1.1.0,7,0.00627534,0.647545,nan,0.647545,nan,False,False,False,False,nan,nan,nan,False,current_gain_remains_positive_or_unavailable
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.0.1.1.1,7,0.00606443,0.647586,0.6515437584854645,0.647586,-0.003957758485464535,False,False,True,True,0.6515437584854645,0.6515437584854645,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.0.0,7,0.00605929,0.647649,0.6515728557578638,0.647649,-0.003923855757863803,False,False,True,True,0.6515728557578638,0.6515728557578638,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.0.1,7,0.00605448,0.647714,0.6515921626042711,0.647714,-0.003878162604271096,False,False,True,True,0.6515921626042711,0.6515921626042711,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.1.0,7,0.00605,0.647782,0.6516294328391459,0.647782,-0.0038474328391459034,False,False,True,True,0.6516294328391459,0.6516294328391459,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.1.1,7,0.00604083,0.647853,0.6516718023297533,0.647853,-0.0038188023297532903,False,False,True,True,0.6516718023297533,0.6516718023297533,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.0.0,7,0.00601544,0.647927,0.6517173776069424,0.647927,-0.003790377606942341,False,False,True,True,0.6517173776069424,0.6517173776069424,0.0,True,parent_caught_child_bound_no_current_rho_value
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.1.0.1,7,0.00599441,0.648005,0.6517739210807515,0.648005,-0.0037689210807514417,False,False,True,True,0.6517739210807515,0.6517739210807515,0.0,True,parent_caught_child_bound_no_current_rho_value
