run_id,instance,family,V,arm,terminal_mip_calls,terminal_mip_work_ledger,terminal_mip_work_result,partial_target_work_ledger,total_external_work,terminal_work_share,final_stagnation_seconds,lp_cutoff_prunes
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,high_imbalance,20,C5-CANDIDATE,11,355.065559,355.06568576953225,0.0,384.14279335048934,0.9243061828730977,0.0018445000000042455,0
stage1__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,1,401.455,401.454739117622,4.10281,408.74551643281535,0.9821636785243767,0.0017317999999875155,0
stage1__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,high_imbalance,50,C5-CANDIDATE,1,597.543,597.5431739746341,0.0,675.0227635905784,0.8852190359056215,273.4218228,0
stage1__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,1,584.362,584.3619066865848,64.1477,716.7063184596674,0.8153437258037581,273.0245011,0
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,moderate,20,C5-CANDIDATE,8,396.3268,396.3266985874129,0.0,541.4634937339271,0.7319547939731526,93.15894550000002,0
stage1__moderate_seed3302__c6_candidate__300s,moderate_seed3302,moderate,20,C6-CANDIDATE,1,433.525,433.5252757782084,13.4268,454.56397977256074,0.9537161308225797,274.7726388,0
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,moderate,50,C5-CANDIDATE,2,281.28499999999997,281.28421597178715,0.0,622.0840385266181,0.452165595931721,71.5397719,0
stage1__moderate_seed6301__c6_candidate__300s,moderate_seed6301,moderate,50,C6-CANDIDATE,1,471.477,471.47739698490705,58.5648,686.9650407206618,0.686318767408304,243.0607276,0
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,tight_T,20,C5-CANDIDATE,3,532.4766960000001,532.4769749653162,0.0,541.555762854118,0.983235213293144,274.3467394,0
stage1__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,tight_T,20,C6-CANDIDATE,1,272.387,272.38691798570323,259.35107000000005,535.9996175492281,0.5081850640965859,279.994664,0
stage1__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,tight_T,20,C5-CANDIDATE,1,588.033,588.0329060468397,0.0,591.1756797777361,0.9946840171454319,285.0504273,0
stage1__tight_T_seed4101__c6_candidate__300s,tight_T_seed4101,tight_T,20,C6-CANDIDATE,1,556.327,556.3272241422844,5.76148,565.0623845034884,0.9845408493945955,285.1515358,0
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,tight_T,20,C5-CANDIDATE,1,466.013,466.01301131690593,0.0,470.3509326790084,0.9907772423150081,277.1205445,0
stage1__tight_T_seed5102__c6_candidate__300s,tight_T_seed5102,tight_T,20,C6-CANDIDATE,1,538.162,538.1615087523827,2.59606,544.9583720325675,0.9875286400184686,277.2549965,0
stage1__V12_M1__c5_candidate__300s,V12_M1,v12,12,C5-CANDIDATE,11,52.439825000000006,52.43983484872625,0.0,69.36952658211288,0.7559490108084687,0.0020158000000023435,0
stage1__V12_M1__c6_candidate__300s,V12_M1,v12,12,C6-CANDIDATE,1,1.5805,1.5804979237797714,32.75174,35.46318543974309,0.044567344427800776,0.001604000000000383,0
stage1__V12_M2__c5_candidate__300s,V12_M2,v12,12,C5-CANDIDATE,33,336.0127530000001,336.01289071946064,0.0,381.21074053776647,0.8814356923049794,0.0020118999999851894,0
stage1__V12_M2__c6_candidate__300s,V12_M2,v12,12,C6-CANDIDATE,2,207.0923,207.09264442368894,8.7226,219.71345731112058,0.9425562846009534,0.0016446000000058802,0
stage2__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,1,401.455,401.454739117622,4.10281,408.74551643281535,0.9821636785243767,0.0017098000000146385,0
stage2__high_imbalance_seed4201__c6_candidate__300s,high_imbalance_seed4201,high_imbalance,20,C6-CANDIDATE,1,517.247,517.2468062804742,18.630139000000003,539.9597806905917,0.9579361620942529,278.3924319,0
stage2__high_imbalance_seed5202__c6_candidate__300s,high_imbalance_seed5202,high_imbalance,20,C6-CANDIDATE,0,0.0,0.0,571.645,573.320335366864,0.0,281.2300134,0
stage2__high_imbalance_seed5203__c6_candidate__300s,high_imbalance_seed5203,high_imbalance,20,C6-CANDIDATE,3,230.461757,230.46183907072432,5.297277,247.00505883848243,0.9330244412147843,0.0019594000000040523,0
stage2__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,1,595.756,595.7562199885484,64.1477,728.100631761631,0.8182330491302765,273.5175009,0
stage2__moderate_seed3302__c6_candidate__300s,moderate_seed3302,moderate,20,C6-CANDIDATE,1,434.583,434.5833858838669,13.4268,455.62208987821924,0.953823376114528,274.6066268,0
stage2__moderate_seed4302__c6_candidate__300s,moderate_seed4302,moderate,20,C6-CANDIDATE,2,257.38256,257.38214605795844,274.06080000000003,533.2015730491349,0.48271155414667544,140.1961538,0
stage2__moderate_seed5301__c6_candidate__300s,moderate_seed5301,moderate,20,C6-CANDIDATE,1,488.65,488.64989610280446,5.131776,498.83095160952746,0.9795903771073594,274.0142772,0
stage2__moderate_seed5302__c6_candidate__300s,moderate_seed5302,moderate,20,C6-CANDIDATE,1,511.935,511.9351759256257,2.1612,516.8695271386746,0.9904530507612017,274.1977539,0
stage2__moderate_seed6301__c6_candidate__300s,moderate_seed6301,moderate,50,C6-CANDIDATE,1,471.802,471.8022157301177,58.5648,687.2898594658725,0.6864672794192848,243.3476352,0
stage2__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,tight_T,20,C6-CANDIDATE,1,270.47,270.47036977045286,259.35107000000005,534.0830693339776,0.5064193484681824,279.9793887,0
stage2__tight_T_seed4101__c6_candidate__300s,tight_T_seed4101,tight_T,20,C6-CANDIDATE,1,557.641,557.640874900227,5.76148,566.376035261431,0.9845773219246484,285.0740472,0
stage2__tight_T_seed5102__c6_candidate__300s,tight_T_seed5102,tight_T,20,C6-CANDIDATE,1,538.73,538.7299715876734,2.59606,545.5268348678582,0.9875407873024166,277.3884669,0
stage2__tight_T_seed5103__c6_candidate__300s,tight_T_seed5103,tight_T,20,C6-CANDIDATE,2,517.2292,517.2293488659568,3.14722,525.6121498884746,0.984051072848576,244.35799110000002,0
stage2__tight_T_seed6102__c6_candidate__300s,tight_T_seed6102,tight_T,50,C6-CANDIDATE,0,0.0,0.0,451.4553,534.1778349269193,0.0,201.8022001,0
stage2__V12_M1__c6_candidate__300s,V12_M1,v12,12,C6-CANDIDATE,1,1.5805,1.5804979237797714,32.75174,35.46318543974309,0.044567344427800776,0.0018650999999998419,0
stage2__V12_M2__c6_candidate__300s,V12_M2,v12,12,C6-CANDIDATE,2,207.0923,207.09264442368894,8.7226,219.71345731112058,0.9425562846009534,0.0016042000000027201,0
stage3__round31_sealed_high_imbalance_V20_seed1968399862__c5_candidate__300s,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C5-CANDIDATE,2,103.1977,103.19770893636425,0.0,109.583510721926,0.9417265364117569,0.0015977999999989834,0
stage3__round31_sealed_high_imbalance_V20_seed1968399862__c6_candidate__300s,round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C6-CANDIDATE,1,255.033,255.03314689187516,1.07952,258.74278964595294,0.9856622491740574,0.002294700000021521,0
stage3__round31_sealed_high_imbalance_V50_seed802548647__c5_candidate__300s,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C5-CANDIDATE,1,480.115,480.11538479680974,0.0,570.7490739687416,0.841201540041911,237.7059646,0
stage3__round31_sealed_high_imbalance_V50_seed802548647__c6_candidate__300s,round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C6-CANDIDATE,1,457.312,457.31181970443976,53.924800000000005,593.4422589135706,0.7706090915015259,235.386591,0
stage3__round31_sealed_moderate_V20_seed311185674__c5_candidate__300s,round31_sealed_moderate_V20_seed311185674,moderate,20,C5-CANDIDATE,1,546.944,546.9443603292602,0.0,558.1788650591759,0.9798722850998938,278.9363495,0
stage3__round31_sealed_moderate_V20_seed311185674__c6_candidate__300s,round31_sealed_moderate_V20_seed311185674,moderate,20,C6-CANDIDATE,1,566.35,566.3496518677349,1.04202,569.580984965724,0.9943274353410544,278.6701119,0
stage3__round31_sealed_moderate_V50_seed1112848618__c5_candidate__300s,round31_sealed_moderate_V50_seed1112848618,moderate,50,C5-CANDIDATE,1,240.609,240.60889281666695,0.0,366.23109609152357,0.6569868112451878,139.9090019,0
stage3__round31_sealed_moderate_V50_seed1112848618__c6_candidate__300s,round31_sealed_moderate_V50_seed1112848618,moderate,50,C6-CANDIDATE,1,216.623,216.6232733182302,84.6635,376.64321261697694,0.5751411222702486,140.3579466,0
stage3__round31_sealed_tight_T_V20_seed2113109204__c5_candidate__300s,round31_sealed_tight_T_V20_seed2113109204,tight_T,20,C5-CANDIDATE,1,509.667,509.66744618359957,0.0,516.5999771112129,0.9865796023647125,277.5427953,0
stage3__round31_sealed_tight_T_V20_seed2113109204__c6_candidate__300s,round31_sealed_tight_T_V20_seed2113109204,tight_T,20,C6-CANDIDATE,2,450.48620000000005,450.4866108094995,78.50439999999999,534.9406427664659,0.8421237123997413,214.43433020000003,0
stage3__round31_sealed_tight_T_V50_seed1973327304__c5_candidate__300s,round31_sealed_tight_T_V50_seed1973327304,tight_T,50,C5-CANDIDATE,1,551.623,551.6234806362708,0.0,620.8754000281347,0.888460067792996,255.1003731,0
stage3__round31_sealed_tight_T_V50_seed1973327304__c6_candidate__300s,round31_sealed_tight_T_V50_seed1973327304,tight_T,50,C6-CANDIDATE,1,365.407,365.4070994676379,169.2003,608.2905462732703,0.6007112920604941,255.1213183,0
stage4__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,high_imbalance,20,C5-CANDIDATE,11,355.065559,355.06568576953225,0.0,384.14279335048934,0.9243061828730977,0.0018267000000093958,0
stage4__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,1,401.455,401.454739117622,4.10281,408.74551643281535,0.9821636785243767,0.0019331000000022414,0
stage4__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,high_imbalance,50,C5-CANDIDATE,1,600.845,600.8450560423964,0.0,678.3246456583407,0.8857779292640272,273.6695934,0
