instance,family,V,left_arm,right_arm,common_verified_ub,left_final_lb,right_final_lb,final_lb_delta_right_minus_left,left_common_gap,right_common_gap,normalized_gap_delta_right_minus_left,left_strict_certificate,right_strict_certificate,auc_status,auc_reason,common_window_start_process_seconds,common_window_end_process_seconds,common_window_duration_seconds,left_mean_valid_lower_bound,right_mean_valid_lower_bound,left_normalized_proof_auc,right_normalized_proof_auc,normalized_proof_auc_delta_right_minus_left
V12_M1,v12,12,C5-CANDIDATE,C6-CANDIDATE,0.3572005832084155,0.3572005832084146,0.3572005832084145,-5.551115123125783e-17,2.641903779817653e-15,2.797309884512809e-15,1.5540610469515607e-16,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,6.2493158,29.3292682,23.079952400000003,0.30637873396380566,0.3330865745291968,0.8577218189619942,0.9324916872681891,0.07476986830619492
V12_M2,v12,12,C5-CANDIDATE,C6-CANDIDATE,0.7185040707549709,0.7185040707549704,0.7185040707549673,-3.1086244689504383e-15,7.725934130467664e-16,5.099116526108658e-15,4.326523113061891e-15,True,True,auc_unavailable,left=complete_observed_trace;right=global_bound_nonmonotone_at_row_411,,,,,,,,
high_imbalance_seed3202,high_imbalance,20,C5-CANDIDATE,C6-CANDIDATE,1.7493134520506337,1.749313452050631,1.7493134520506324,1.3322676295501878e-15,1.5231891437048475e-15,7.615945718524238e-16,-7.615945718524238e-16,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,16.1634456,212.1418434,195.9783978,1.6512949038407658,1.683980160475501,0.9439674187064815,0.9626520384333959,0.018684619726914434
high_imbalance_seed6202,high_imbalance,50,C5-CANDIDATE,C6-CANDIDATE,9.729609677413569,7.461555638889693,8.191699928419316,0.7301442895296235,0.2331084302167808,0.15806489674137436,-0.07504353347540643,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,22.0792136,295.0850237,273.0058101,6.690111956249109,7.461757587497813,0.6876033240860233,0.7669123258684902,0.07930900178246689
moderate_seed3302,moderate,20,C5-CANDIDATE,C6-CANDIDATE,0.19563620654901237,0.13984710960974936,0.14946819954967203,0.009621089939922667,0.2851675460456563,0.23598907284973325,-0.049178473195923035,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,20.3857535,295.0230951,274.63734159999996,0.1382943431863349,0.14842723425245835,0.706895444487615,0.7586900036076556,0.051794559120040634
moderate_seed6301,moderate,50,C5-CANDIDATE,C6-CANDIDATE,0.5864998229863859,0.4949981501640891,0.5251195810410858,0.030121430876996702,0.15601312947782559,0.10465517556810056,-0.051357953909725036,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,52.0295275,295.0803683,243.05084079999997,0.39582407040597023,0.42116570502623185,0.6748920543410942,0.7181003105537306,0.04320825621263637
tight_T_seed3101,tight_T,20,C5-CANDIDATE,C6-CANDIDATE,0.10725273413394144,0.05362636706697072,0.05474819668481515,0.0011218296178444262,0.5,0.4895403168329169,-0.010459683167083098,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,15.0553518,295.0270677,279.9717159,0.05187631708110821,0.05284406461472838,0.483682933586784,0.49270599058793774,0.009023057001153734
tight_T_seed4101,tight_T,20,C5-CANDIDATE,C6-CANDIDATE,0.562981400559009,0.3022442685314236,0.5355409882200493,0.23329671968862564,0.4631363163484407,0.04874124138330854,-0.41439507496513217,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,9.9832038,295.0240785,285.04087469999996,0.3012880441465368,0.5062902793406012,0.5351651828059943,0.8993019642174372,0.3641367814114429
tight_T_seed5102,tight_T,20,C5-CANDIDATE,C6-CANDIDATE,0.3623546627845846,0.20843292656852036,0.28917631309429254,0.08074338652577218,0.4247819940641107,0.20195227826775808,-0.2228297157963526,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,17.912329,295.0209799,277.1086509,0.20787780766213532,0.2881764297913557,0.5736860292197105,0.7952883166365462,0.22160228741683577
round31_sealed_high_imbalance_V20_seed1968399862,high_imbalance,20,C5-CANDIDATE,C6-CANDIDATE,2.0874707775727215,2.0874707763680846,2.0874707771215264,7.534417534316162e-10,5.770796159978932e-10,2.1614438206484313e-10,-3.609352339330501e-10,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,14.1202181,72.8132595,58.6930414,1.961589628962033,2.0154665417522324,0.9396968091898065,0.9655064700334587,0.0258096608436523
round31_sealed_high_imbalance_V50_seed802548647,high_imbalance,50,C5-CANDIDATE,C6-CANDIDATE,8.771979091147195,8.117791020152913,8.52471811211857,0.4069270919656578,0.07457702123965364,0.028187593296724052,-0.04638942794292959,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,59.7211547,295.0826659,235.3615112,7.039138704951245,7.548744412978208,0.8024573054506297,0.8605520298830294,0.05809472443239972
round31_sealed_moderate_V20_seed311185674,moderate,20,C5-CANDIDATE,C6-CANDIDATE,0.07675263690685412,0.061612899089411255,0.059812848189515565,-0.0018000508998956902,0.1972536505269028,0.22070627668332013,0.023452626156417345,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,16.3635028,295.0228719,278.6593691,0.061447199022500766,0.059676139382056355,0.8005874651195656,0.7775125622651694,-0.023074902854396274
round31_sealed_moderate_V50_seed1112848618,moderate,50,C5-CANDIDATE,C6-CANDIDATE,0.6874838397370203,0.5156128798027653,0.5341394178400135,0.01852653803724824,0.24999999999999997,0.2230516748665174,-0.02694832513348256,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,155.189028,295.0862859,139.8972579,0.4304759915494083,0.4630226472572971,0.6261616152520417,0.6735033181789621,0.047341702926920415
round31_sealed_tight_T_V20_seed2113109204,tight_T,20,C5-CANDIDATE,C6-CANDIDATE,0.40134426587847294,0.24541187162902964,0.37519529995482237,0.12978342832579273,0.3885252824233937,0.06515345589008235,-0.3233718265333113,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,18.7399892,295.0217356,276.2817464,0.2451474703511784,0.34558772581727076,0.6108159283516682,0.8610755284140892,0.25025960006242104
round31_sealed_tight_T_V50_seed1973327304,tight_T,50,C5-CANDIDATE,C6-CANDIDATE,0.895923434379984,0.447961717189992,0.6366759842819115,0.18871426709191952,0.5,0.28936339886843393,-0.2106366011315661,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,39.9961203,295.0849809,255.0888606,0.42428510159313393,0.6004976971267808,0.47357294754406853,0.6702555978372753,0.19668265029320675
