run_id,instance,arm,phase_index,leaf_id,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,status,native_status,native_bound,target_reached,exact_closure,requeued,solver_runtime,work,nodes,event_source
stage1__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,1,L2,next_leaf,1.58233,1.63629,1.63629,1.74931,target_reached_requeue,INTERRUPTED,1.6576,1,0,1,1.365,2.82355,1,c6_next_strict_frontier_bound_reached_requeue
stage1__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,1,L1,next_leaf,1.63629,1.6576,1.6576,1.74931,exact_closure,INFEASIBLE,1e+100,0,1,0,0.581,1.27926,1,c6_next_strict_frontier_bound_reached_requeue
stage1__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,C6-CANDIDATE,1,L2,next_leaf,7.40701,7.55572,7.55572,9.82066,target_reached_requeue,INTERRUPTED,7.78506,1,0,1,15.285,35.5978,1,c6_next_strict_frontier_bound_reached_requeue
stage1__high_imbalance_seed6202__c6_candidate__300s,high_imbalance_seed6202,C6-CANDIDATE,1,L3,next_leaf,7.55572,7.78506,7.78506,9.82066,target_reached_requeue,INTERRUPTED,8.1917,1,0,1,11.997,28.5499,1,c6_next_strict_frontier_bound_reached_requeue
stage1__moderate_seed3302__c6_candidate__300s,moderate_seed3302,C6-CANDIDATE,1,L0,next_leaf,0.113908,0.136021,0.136021,0.195636,target_reached_requeue,INTERRUPTED,0.148255,1,0,1,4.124,8.57502,1,c6_next_strict_frontier_bound_reached_requeue
stage1__moderate_seed3302__c6_candidate__300s,moderate_seed3302,C6-CANDIDATE,1,L1,next_leaf,0.136021,0.146727,0.146727,0.195636,target_reached_requeue,INTERRUPTED,0.149468,1,0,1,2.26,4.85178,1,c6_next_strict_frontier_bound_reached_requeue
stage1__moderate_seed6301__c6_candidate__300s,moderate_seed6301,C6-CANDIDATE,1,L1,next_leaf,0.437294,0.455647,0.455647,0.607529,target_reached_requeue,INTERRUPTED,0.492412,1,0,1,23.047,58.5648,1,c6_next_strict_frontier_bound_reached_requeue
stage1__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,C6-CANDIDATE,1,L0,next_leaf,0.00169257,0.0268132,0.0268132,0.107253,exact_closure,INFEASIBLE,1e+100,0,1,0,1.573,3.00607,1,c6_next_strict_frontier_bound_reached_requeue
stage1__tight_T_seed3101__c6_candidate__300s,tight_T_seed3101,C6-CANDIDATE,1,L1,next_leaf,0.027935,0.0536264,0.0536264,0.107253,target_reached_requeue,INTERRUPTED,0.0536498,1,0,1,139.232,256.345,605,c6_next_strict_frontier_bound_reached_requeue
stage1__tight_T_seed4101__c6_candidate__300s,tight_T_seed4101,C6-CANDIDATE,1,L0,next_leaf,0.329258,0.387125,0.387125,0.604489,exact_closure,INFEASIBLE,1e+100,0,1,0,0.722,1.68727,1,c6_next_strict_frontier_bound_reached_requeue
stage1__tight_T_seed4101__c6_candidate__300s,tight_T_seed4101,C6-CANDIDATE,1,L1,next_leaf,0.387125,0.453366,0.453366,0.604489,target_reached_requeue,INTERRUPTED,0.462652,1,0,1,2.085,4.07421,1,c6_next_strict_frontier_bound_reached_requeue
stage1__tight_T_seed5102__c6_candidate__300s,tight_T_seed5102,C6-CANDIDATE,1,L1,next_leaf,0.206824,0.271766,0.271766,0.362355,target_reached_requeue,INTERRUPTED,0.287707,1,0,1,1.483,2.59606,1,c6_next_strict_frontier_bound_reached_requeue
stage1__V12_M1__c6_candidate__300s,V12_M1,C6-CANDIDATE,1,L1,next_leaf,0.277261,0.294243,0.294243,0.357201,exact_closure,INFEASIBLE,1e+100,0,1,0,0.216,0.428986,1,c6_next_strict_frontier_bound_reached_requeue
stage1__V12_M1__c6_candidate__300s,V12_M1,C6-CANDIDATE,1,L2,next_leaf,0.294243,0.354035,0.354035,0.357201,target_reached_requeue,INTERRUPTED,0.35404,1,0,1,20.889,31.8651,2659,c6_next_strict_frontier_bound_reached_requeue
stage1__V12_M1__c6_candidate__300s,V12_M1,C6-CANDIDATE,1,L3,next_leaf,0.354035,0.35404,0.35404,0.357201,exact_closure,INFEASIBLE,1e+100,0,1,0,0.237,0.457654,1,c6_next_strict_frontier_bound_reached_requeue
stage1__V12_M2__c6_candidate__300s,V12_M2,C6-CANDIDATE,1,L2.0,next_leaf,0.595217,0.657203,0.657203,0.718504,target_reached_requeue,INTERRUPTED,0.657214,1,0,1,2.841,4.33321,1,c6_next_strict_frontier_bound_reached_requeue
stage1__V12_M2__c6_candidate__300s,V12_M2,C6-CANDIDATE,1,L2.1,next_leaf,0.657203,0.657214,0.657214,0.718504,target_reached_requeue,INTERRUPTED,0.660352,1,0,1,0.489,1.04303,1,c6_next_strict_frontier_bound_reached_requeue
stage1__V12_M2__c6_candidate__300s,V12_M2,C6-CANDIDATE,1,L2.0.1,next_leaf,0.657214,0.660352,0.660352,0.718504,target_reached_requeue,INTERRUPTED,0.660548,1,0,1,2.061,3.34636,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,1,L2,next_leaf,1.58233,1.63629,1.63629,1.74931,target_reached_requeue,INTERRUPTED,1.6576,1,0,1,1.357,2.82355,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed3202__c6_candidate__300s,high_imbalance_seed3202,C6-CANDIDATE,1,L1,next_leaf,1.63629,1.6576,1.6576,1.74931,exact_closure,INFEASIBLE,1e+100,0,1,0,0.581,1.27926,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed4201__c6_candidate__300s,high_imbalance_seed4201,C6-CANDIDATE,1,L1,next_leaf,2.65536,2.66222,2.66222,2.78411,target_reached_requeue,INTERRUPTED,2.73494,1,0,1,0.462,0.983509,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed4201__c6_candidate__300s,high_imbalance_seed4201,C6-CANDIDATE,1,L2,next_leaf,2.66222,2.73494,2.73494,2.78411,target_reached_requeue,INTERRUPTED,2.73507,1,0,1,7.657,16.585,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed4201__c6_candidate__300s,high_imbalance_seed4201,C6-CANDIDATE,1,L1.1,next_leaf,2.73494,2.73507,2.73507,2.78411,target_reached_requeue,INTERRUPTED,2.73528,1,0,1,0.49,1.06163,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed5202__c6_candidate__300s,high_imbalance_seed5202,C6-CANDIDATE,1,L1,next_leaf,0.937301,1.09678,1.09678,1.15434,deadline_open,TIME_LIMIT,1.05622,0,0,0,280.008,571.645,1495,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed5203__c6_candidate__300s,high_imbalance_seed5203,C6-CANDIDATE,1,L2,next_leaf,1.98143,2.19766,2.19766,2.35241,target_reached_requeue,INTERRUPTED,2.21339,1,0,1,1.831,3.33559,1,c6_next_strict_frontier_bound_reached_requeue
stage2__high_imbalance_seed5203__c6_candidate__300s,high_imbalance_seed5203,C6-CANDIDATE,1,L3,next_leaf,2.19766,2.21339,2.21339,2.35241,target_reached_requeue,INTERRUPTED,2.30704,1,0,1,0.464,0.96231,1,c6_next_strict_frontier_bound_reached_requeue
