suite,instance,arm,phase_ledger_exists,result_exists,bound_trace_exists,global_bound_monotone,leaf_bounds_monotone,coverage_valid,lifecycle_complete,passed
exactness,toy,P-GRB,True,True,True,False,False,False,False,True
exactness,toy,S0-CPLEX,True,True,True,False,False,False,False,True
exactness,toy,C5-CANDIDATE,True,True,True,True,True,True,True,True
exactness,toy,C6-CANDIDATE,True,True,True,True,True,True,True,True
sentinel,moderate_seed4301,P-GRB,True,True,True,False,False,False,False,True
sentinel,moderate_seed4301,S0-CPLEX,True,True,True,False,False,False,False,True
sentinel,moderate_seed4301,C5-CANDIDATE,True,True,True,True,True,True,True,True
sentinel,moderate_seed4301,C6-CANDIDATE,True,True,True,True,True,True,True,True
