instance,critical_instance,run_id,parent_id,depth,parent_bound,child_disjunction_bound,other_open_leaf_min_at_decline,parent_noncontrolling_after_lp,finite_next_leaf_target_available,next_leaf_target,terminal_mip_launched,terminal_status,terminal_runtime,terminal_work,terminal_nodes,deadline_remaining_at_launch,deadline_blocking,c6_nonblocking_opportunity
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.1,2,0.308483,0.308483,0.32131546474261,False,False,nan,True,OPTIMAL,4.948,7.43183,911.0,279.163,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.0.0,5,0.321315,0.304551,0.32131546474261,False,False,nan,True,INFEASIBLE,0.774,1.0644,1.0,273.873,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.0.1,5,0.321315,0.305371,0.3217047837403488,False,False,nan,True,INFEASIBLE,2.354,2.40108,1.0,272.763,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.1.0,5,0.321705,0.30649,0.3217047837403488,False,False,nan,True,INFEASIBLE,3.765,4.39789,3.0,270.061,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.1.1,5,0.321705,0.307627,0.3226902292362217,False,False,nan,True,INFEASIBLE,3.607,4.46835,13.0,265.96,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.1.0,6,0.32269,0.304175,0.3226902292362217,False,False,nan,True,INFEASIBLE,0.525,0.720675,1.0,262.015,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.1.1,6,0.32269,0.304449,0.32304981383080583,False,False,nan,True,INFEASIBLE,0.697,0.915192,1.0,261.155,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.1,1,0.32305,0.32305,0.3245316089753111,False,False,nan,True,INFEASIBLE,16.252,29.2455,1303.0,260.128,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.0.0,6,0.324532,0.303639,0.3245316089753111,False,False,nan,True,INFEASIBLE,0.406,0.697395,1.0,243.535,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.0.1,6,0.324532,0.303907,0.35403537724225576,False,False,nan,True,INFEASIBLE,0.471,0.696092,1.0,242.795,False,False
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L3.0.0.0.0,4,0.354035,0.354035,nan,False,False,nan,True,INFEASIBLE,0.208,0.401421,1.0,241.069,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.1.0,7,0.651641,0.648648,0.651640755881254,False,False,nan,True,INFEASIBLE,8.921,14.7404,7.0,250.575,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.0.1.1,7,0.651641,0.648968,0.6516718023297533,False,False,nan,True,INFEASIBLE,6.022,10.8884,3.0,241.116,False,False
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.1.0.1.0.0,7,0.652294,0.64929,0.652293538058638,False,False,nan,True,INFEASIBLE,7.536,12.6421,5.0,207.669,False,False
