run_id,stage,instance,family,V,arm,trace_complete,trace_reason,bound_observations,auc_status,observed_start_process_seconds,observed_end_process_seconds,observed_duration_seconds,raw_lower_bound_time_integral,mean_observed_lower_bound,normalized_proof_progress_auc,normalized_gap_auc,common_verified_upper_bound,initial_valid_lower_bound,final_observed_lower_bound
stage1__high_imbalance_seed3202__c5_candidate__300s,1,high_imbalance_seed3202,high_imbalance,20,C5-CANDIDATE,True,complete_observed_trace,416,observed,15.828099,212.1418434,196.3137444,323.6510744575183,1.6486419503978362,0.9424508503408634,0.05754914965913607,1.7493134520506337,0.0,1.749313452050631
stage1__high_imbalance_seed3202__c6_candidate__300s,1,high_imbalance_seed3202,high_imbalance,20,C6-CANDIDATE,True,complete_observed_trace,658,observed,16.1634456,232.1141631,215.95071750000002,364.74843486965494,1.6890355313112349,0.9655419555204735,0.034458044479527494,1.7493134520506337,0.0,1.7493134520506324
stage1__high_imbalance_seed6202__c5_candidate__300s,1,high_imbalance_seed6202,high_imbalance,50,C5-CANDIDATE,True,complete_observed_trace,123,observed,21.713464,295.1240708,273.41060680000004,1826.7307863846715,6.681272565701614,0.6866948199588725,0.31330518004112756,9.729609677413569,0.0,7.461555638889693
stage1__high_imbalance_seed6202__c6_candidate__300s,1,high_imbalance_seed6202,high_imbalance,50,C6-CANDIDATE,True,complete_observed_trace,105,observed,22.0792136,295.0850237,273.0058101,2037.103174944662,7.461757587497813,0.7669123258684903,0.23308767413150977,9.729609677413569,0.0,8.191699928419316
stage1__moderate_seed3302__c5_candidate__300s,1,moderate_seed3302,moderate,20,C5-CANDIDATE,True,complete_observed_trace,534,observed,20.3857535,295.0230951,274.63734159999996,37.9807907710131,0.13829434318633496,0.706895444487615,0.293104555512385,0.19563620654901237,0.0,0.13984710960974936
stage1__moderate_seed3302__c6_candidate__300s,1,moderate_seed3302,moderate,20,C6-CANDIDATE,True,complete_observed_trace,156,observed,20.2836506,295.0425033,274.75885270000003,40.766561944846075,0.14837215086699213,0.758408443325754,0.24159155667424598,0.19563620654901237,0.0,0.14946819954967203
stage1__moderate_seed6301__c5_candidate__300s,1,moderate_seed6301,moderate,50,C5-CANDIDATE,True,complete_observed_trace,55,observed,51.9793906,295.0811835,243.10179290000002,96.20577664354147,0.3957427688865945,0.6747534327828442,0.3252465672171553,0.5864998229863859,0.0,0.4949981501640891
stage1__moderate_seed6301__c6_candidate__300s,1,moderate_seed6301,moderate,50,C6-CANDIDATE,True,complete_observed_trace,34,observed,52.0295275,295.0803683,243.05084079999997,102.36467872275044,0.4211657050262319,0.7181003105537308,0.2818996894462689,0.5864998229863859,0.0,0.5251195810410858
stage1__tight_T_seed3101__c5_candidate__300s,1,tight_T_seed3101,tight_T,20,C5-CANDIDATE,True,complete_observed_trace,153,observed,15.0553518,295.0270677,279.9717159,14.523901507770347,0.051876317081108216,0.483682933586784,0.5163170664132158,0.10725273413394144,0.0,0.05362636706697072
stage1__tight_T_seed3101__c6_candidate__300s,1,tight_T_seed3101,tight_T,20,C6-CANDIDATE,True,complete_observed_trace,112,observed,15.0441778,295.0278778,279.9837,14.794887796830112,0.05284196114570281,0.4926863783231082,0.5073136216768918,0.10725273413394144,0.0,0.05474819668481515
stage1__tight_T_seed4101__c5_candidate__300s,1,tight_T_seed4101,tight_T,20,C5-CANDIDATE,True,complete_observed_trace,240,observed,9.9832038,295.0240785,285.04087469999996,85.87940764018113,0.30128804414653704,0.5351651828059939,0.4648348171940061,0.562981400559009,0.0,0.3022442685314236
stage1__tight_T_seed4101__c6_candidate__300s,1,tight_T_seed4101,tight_T,20,C6-CANDIDATE,True,complete_observed_trace,244,observed,9.8846846,295.0251871,285.14050249999997,144.3140177760918,0.5061154641687279,0.8989914474371322,0.10100855256286763,0.562981400559009,0.0,0.5355409882200493
stage1__tight_T_seed5102__c5_candidate__300s,1,tight_T_seed5102,tight_T,20,C5-CANDIDATE,True,complete_observed_trace,196,observed,17.912329,295.0209799,277.1086509,57.60473883330401,0.20787780766213537,0.5736860292197103,0.4263139707802897,0.3623546627845846,0.0,0.20843292656852036
stage1__tight_T_seed5102__c6_candidate__300s,1,tight_T_seed5102,tight_T,20,C6-CANDIDATE,True,complete_observed_trace,108,observed,17.7793093,295.0228105,277.24350119999997,79.8567110468199,0.28803817114260244,0.7949067604901706,0.2050932395098292,0.3623546627845846,0.0,0.28917631309429254
stage1__V12_M1__c5_candidate__300s,1,V12_M1,v12,12,C5-CANDIDATE,True,complete_observed_trace,585,observed,6.2493158,54.808401,48.559085200000005,15.371678520236719,0.3165561801035889,0.8862140628669923,0.11378593713300758,0.3572005832084155,0.0,0.3572005832084146
stage1__V12_M1__c6_candidate__300s,1,V12_M1,v12,12,C6-CANDIDATE,True,complete_observed_trace,570,observed,6.1214675,29.3292682,23.2078007,7.687622285212912,0.3312516504510017,0.9273547301509499,0.07264526984905044,0.3572005832084155,0.0,0.3572005832084145
