instance,critical_instance,run_id,leaf_id,depth,gamma_L,gamma_U,interval_width,split_reason,native_status,runtime,work,nodes,deadline_remaining_at_launch,deadline_blocking,safe_requeue_available_after_parent_lp,next_leaf_target_available,no_gain_parent,root_work,root_work_share,reported_cut_count,model_rows,model_columns,model_nonzeros,expensive_work_threshold,expensive_leaf,classification
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.1,2,0.20092532805473373,0.2232503645052597,0.02232503645052597,no_strict_child_disjunction_gain,OPTIMAL,4.948,7.43183,911.0,279.163,False,False,False,True,0.12,0.016146763314015527,325,6225,648,59365,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.0.0,5,0.18976280982947075,0.1925534393857865,0.00279062955631576,no_strict_child_disjunction_gain,INFEASIBLE,0.774,1.0644,1.0,273.873,False,False,False,True,0.19,0.1785043216835776,190,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.0.1,5,0.1925534393857865,0.19534406894210224,0.0027906295563157324,no_strict_child_disjunction_gain,INFEASIBLE,2.354,2.40108,1.0,272.763,False,False,False,True,0.19,0.07913105769070586,194,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.1.0,5,0.19534406894210224,0.19813469849841797,0.0027906295563157324,no_strict_child_disjunction_gain,INFEASIBLE,3.765,4.39789,3.0,270.061,False,False,False,True,0.13,0.029559629731530347,191,6225,648,59365,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.1.1.1,5,0.19813469849841797,0.20092532805473373,0.00279062955631576,no_strict_child_disjunction_gain,INFEASIBLE,3.607,4.46835,13.0,265.96,False,False,False,True,0.15,0.033569438383295847,201,6225,648,59365,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.1.0,6,0.186972180273155,0.18836749505131287,0.00139531477815788,no_strict_child_disjunction_gain,INFEASIBLE,0.525,0.720675,1.0,262.015,False,False,False,True,0.12,0.1665105630138412,305,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.1.1,6,0.18836749505131287,0.18976280982947075,0.00139531477815788,no_strict_child_disjunction_gain,INFEASIBLE,0.697,0.915192,1.0,261.155,False,False,False,True,0.15,0.1639000340912071,236,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.1,1,0.2232503645052597,0.26790043740631164,0.04465007290105194,no_strict_child_disjunction_gain,INFEASIBLE,16.252,29.2455,1303.0,260.128,False,False,False,True,0.15,0.005128994204236549,114,6225,648,59365,30.57855,False,no-gain parent blocking;expensive branch-and-bound continuation
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.0.0,6,0.18418155071683925,0.18557686549499713,0.00139531477815788,no_strict_child_disjunction_gain,INFEASIBLE,0.406,0.697395,1.0,243.535,False,False,False,True,0.2,0.2867815226664946,246,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L2.0.0.0.1.0.1,6,0.18557686549499713,0.186972180273155,0.0013953147781578523,no_strict_child_disjunction_gain,INFEASIBLE,0.471,0.696092,1.0,242.795,False,False,False,True,0.14,0.20112284008435669,288,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M1,True,stage1__V12_M1__c5_candidate__300s,L3.0.0.0.0,4,0.26790043740631164,0.27348169651894316,0.00558125911263152,no_strict_child_disjunction_gain,INFEASIBLE,0.208,0.401421,1.0,241.069,False,False,False,True,0.0,0.0,0,6225,648,59365,30.57855,False,no-gain parent blocking
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.0.1.0.1.1,8,0.4118768452472342,0.4125785093788309,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.471,1.03466,1.0,268.096,False,False,False,False,0.0,0.0,0,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.0.1.1.1.0,8,0.41398183764202423,0.4146835017736209,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.438,0.944453,1.0,258.201,False,False,False,False,0.0,0.0,0,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.0.1.1.1.1,8,0.4146835017736209,0.4153851659052175,0.0007016641315966132,structurally_terminal,INFEASIBLE,0.89,1.6371,1.0,257.75,False,False,False,False,0.48,0.2932013927066153,318,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.0.0.0,8,0.4153851659052175,0.4160868300368141,0.0007016641315966132,structurally_terminal,INFEASIBLE,0.908,1.60941,1.0,256.843,False,False,False,False,0.4,0.24853828421595492,290,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.0.0.1,8,0.4160868300368141,0.4167884941684108,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.903,1.5808,1.0,255.92,False,False,False,False,0.41,0.25936234817813764,275,11351,1034,113600,30.57855,False,interval geometry mismatch
V12_M2,True,stage1__V12_M2__c5_candidate__300s,L2.0.1.0.1.0.0.1.0,8,0.4167884941684108,0.41749015830000746,0.0007016641315966687,structurally_terminal,INFEASIBLE,0.935,1.67992,1.0,255.0,False,False,False,False,0.48,0.28572789180437164,288,11351,1034,113600,30.57855,False,interval geometry mismatch
