interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_merge_applied,oracle_merge_reason
0,0,0.0163841842216,0,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,59.5797889,gamma_floor,gamma_floor,fixed,,,,0,0,0,,false,no_oracle_result_for_exact_leaf
1,0.0163841842216,0.0327683684432,0.0163841842216,0.0491525526647,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,58.4521383,gamma_floor,gamma_floor,fixed,,,,0,0,0,,false,oracle_not_mergeable:basis=interval_exact_cutoff_mip_timeout;status=interval_unresolved_timeout;solver=time limit exceeded
2,0.0327683684432,0.0491525526647,0.0491525526647,0.0491525526647,bound_fathomed,merged_exact_interval_cutoff_mip_infeasible,interval_exact_cutoff_mip_infeasible,false,false,true,0,1,0,0,0,0,0,57.9828509,gamma_floor,gamma_floor,fixed,,,,0,0,0,,true,exact matching leaf closed by proven infeasible cutoff oracle
3,0,0.00819209211079,0.0491525526647,0.0491525526647,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,14.7909319,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,,false,no_oracle_result_for_exact_leaf
4,0.00819209211079,0.0163841842216,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.7746585,gamma_floor,gamma_floor,fixed,,,,0,0,0,,false,no_oracle_result_for_exact_leaf
5,0.00819209211079,0.0122881381662,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.558162,gamma_floor,gamma_floor,fixed,,,,0,0,0,,false,no_oracle_result_for_exact_leaf
6,0.0122881381662,0.0163841842216,0.0491525526647,0.0491525526647,bound_fathomed,merged_exact_interval_cutoff_mip_infeasible,interval_exact_cutoff_mip_infeasible,false,false,true,0,1,0,0,0,0,0,58.4655384,gamma_floor,gamma_floor,fixed,,,,0,0,0,,true,exact matching leaf closed by proven infeasible cutoff oracle
7,0.00819209211079,0.0102401151385,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.6428949,gamma_floor,gamma_floor,fixed,,,,0,0,0,,false,no_oracle_result_for_exact_leaf
8,0.0102401151385,0.0122881381662,0.0491525526647,0.0491525526647,bound_fathomed,merged_exact_interval_cutoff_mip_infeasible,interval_exact_cutoff_mip_infeasible,false,false,true,0,1,0,0,0,0,0,58.6760423,gamma_floor,gamma_floor,fixed,,,,0,0,0,,true,exact matching leaf closed by proven infeasible cutoff oracle
9,0.00819209211079,0.00921610362464,0.00819209211079,0.0491525526647,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,58.5694022,gamma_floor,gamma_floor,fixed,,,,0,0,0,,false,no_oracle_result_for_exact_leaf
