row,status,gap,runtime_seconds,algorithm_preset,frontier_intervals,large_compact_flow_relaxation,relaxation_certificate_mode,relaxation_portfolio_mode,route_mask_all_subset_enumeration_enabled,route_mask_all_subset_enumeration_certifying,incumbent_source_category,instance_hash,T,lambda,frontier_scheduling_mode,large_compact_flow_connectivity_enabled,station_residual_cover_cuts_enabled,v20_cover_cuts_added
previous_v20_certificate_round_full,optimal,0,409.8310783,paper-bpc-core,,mip-light,bound,fixed,False,False,primal_heuristic,979308f70f2d4f3c,,,best_bound_lower_bound_then_incumbent_gini,True,True,0
previous_exhaustive_300s,gcap_frontier_not_closed,0.0755243654678,349.387123,paper-bpc-core,,mip-light,both,exhaustive,False,False,primal_heuristic,979308f70f2d4f3c,,,best_bound_lower_bound_then_incumbent_gini,False,True,0
current_rep1,optimal,0,301.0306305,paper-bpc-core,,mip-light,bound,fixed,False,False,primal_heuristic,979308f70f2d4f3c,,,best_bound_lower_bound_then_incumbent_gini,True,True,0
