interval_id,gamma_L,gamma_U,previous_interval_lower_bound,incumbent_upper_bound,oracle_status,oracle_certificate_basis,oracle_solver_status,oracle_proven_infeasible,oracle_feasible_improving,oracle_timeout,oracle_best_bound,oracle_objective,oracle_gap,runtime_seconds,nodes,lp_path,solution_path,log_path,raw_result,command,oracle_summary_file
12,0.514583333333,0.554166666667,1.78169136333,2.44340319194,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,2.1719423138,0,0.111099502135,30.0973776,2040,results\v20_replication_round\oracle\cplex\interval_oracle_12_0p514583333333_0p554166666667.lp,results\v20_replication_round\oracle\cplex\interval_oracle_12_0p514583333333_0p554166666667.sol,results\v20_replication_round\oracle\logs\interval_oracle_12_0p514583333333_0p554166666667.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_12_0p514583333333_0p554166666667.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\high_imbalance_seed3201.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.514583333333 --interval-exact-cutoff-gamma-U 0.554166666667 --interval-exact-cutoff-UB 2.44340319194 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_12_0p514583333333_0p554166666667.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_12_0p514583333333_0p554166666667.sol --log results\v20_replication_round\oracle\logs\interval_oracle_12_0p514583333333_0p554166666667.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_12_0p514583333333_0p554166666667.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\high_imbalance_seed3201.oracle_results.csv
13,0.554166666667,0.59375,1.58377469667,2.44340319194,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,2.1583518861,0,0.116661591824,30.0844352,1886,results\v20_replication_round\oracle\cplex\interval_oracle_13_0p554166666667_0p59375.lp,results\v20_replication_round\oracle\cplex\interval_oracle_13_0p554166666667_0p59375.sol,results\v20_replication_round\oracle\logs\interval_oracle_13_0p554166666667_0p59375.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_13_0p554166666667_0p59375.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\high_imbalance_seed3201.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.554166666667 --interval-exact-cutoff-gamma-U 0.59375 --interval-exact-cutoff-UB 2.44340319194 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_13_0p554166666667_0p59375.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_13_0p554166666667_0p59375.sol --log results\v20_replication_round\oracle\logs\interval_oracle_13_0p554166666667_0p59375.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_13_0p554166666667_0p59375.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\high_imbalance_seed3201.oracle_results.csv
17,0.435416666667,0.455208333333,1.58377469667,2.44340319194,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,2.0308913146,0,0.168826773535,30.0916759,1723,results\v20_replication_round\oracle\cplex\interval_oracle_17_0p435416666667_0p455208333333.lp,results\v20_replication_round\oracle\cplex\interval_oracle_17_0p435416666667_0p455208333333.sol,results\v20_replication_round\oracle\logs\interval_oracle_17_0p435416666667_0p455208333333.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_17_0p435416666667_0p455208333333.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\high_imbalance_seed3201.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.435416666667 --interval-exact-cutoff-gamma-U 0.455208333333 --interval-exact-cutoff-UB 2.44340319194 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_17_0p435416666667_0p455208333333.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_17_0p435416666667_0p455208333333.sol --log results\v20_replication_round\oracle\logs\interval_oracle_17_0p435416666667_0p455208333333.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_17_0p435416666667_0p455208333333.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\high_imbalance_seed3201.oracle_results.csv
18,0.455208333333,0.475,1.58377469667,2.44340319194,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,2.1540737158,0,0.11841249823,30.0884167,2157,results\v20_replication_round\oracle\cplex\interval_oracle_18_0p455208333333_0p475.lp,results\v20_replication_round\oracle\cplex\interval_oracle_18_0p455208333333_0p475.sol,results\v20_replication_round\oracle\logs\interval_oracle_18_0p455208333333_0p475.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_18_0p455208333333_0p475.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\high_imbalance_seed3201.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.455208333333 --interval-exact-cutoff-gamma-U 0.475 --interval-exact-cutoff-UB 2.44340319194 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_18_0p455208333333_0p475.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_18_0p455208333333_0p475.sol --log results\v20_replication_round\oracle\logs\interval_oracle_18_0p455208333333_0p475.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_18_0p455208333333_0p475.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\high_imbalance_seed3201.oracle_results.csv
19,0.475,0.494791666667,1.58377469667,2.44340319194,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,2.1387749604,0,0.124673747069,30.087313,1223,results\v20_replication_round\oracle\cplex\interval_oracle_19_0p475_0p494791666667.lp,results\v20_replication_round\oracle\cplex\interval_oracle_19_0p475_0p494791666667.sol,results\v20_replication_round\oracle\logs\interval_oracle_19_0p475_0p494791666667.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_19_0p475_0p494791666667.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\high_imbalance_seed3201.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.475 --interval-exact-cutoff-gamma-U 0.494791666667 --interval-exact-cutoff-UB 2.44340319194 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_19_0p475_0p494791666667.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_19_0p475_0p494791666667.sol --log results\v20_replication_round\oracle\logs\interval_oracle_19_0p475_0p494791666667.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_19_0p475_0p494791666667.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\high_imbalance_seed3201.oracle_results.csv
1,0.0163841842216,0.0327683684432,0.0163841842216,0.0491525526647,interval_unresolved_timeout,interval_exact_cutoff_mip_timeout,time limit exceeded,False,False,True,0.047419734917,0,0.0352538709336,600.0879642,8419,results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.lp,results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.sol,results\v20_replication_round\oracle\logs\interval_oracle_1_0p0163841842216_0p0327683684432.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_1_0p0163841842216_0p0327683684432.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 600.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0163841842216 --interval-exact-cutoff-gamma-U 0.0327683684432 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 600.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_1_0p0163841842216_0p0327683684432.sol --log results\v20_replication_round\oracle\logs\interval_oracle_1_0p0163841842216_0p0327683684432.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_1_0p0163841842216_0p0327683684432.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\moderate_seed3301.oracle_combined.csv
2,0.0327683684432,0.0491525526647,0.0327683684432,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.4018849,0,results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.lp,results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.sol,results\v20_replication_round\oracle\logs\interval_oracle_2_0p0327683684432_0p0491525526647.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_2_0p0327683684432_0p0491525526647.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0327683684432 --interval-exact-cutoff-gamma-U 0.0491525526647 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_2_0p0327683684432_0p0491525526647.sol --log results\v20_replication_round\oracle\logs\interval_oracle_2_0p0327683684432_0p0491525526647.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_2_0p0327683684432_0p0491525526647.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\moderate_seed3301.oracle_combined.csv
6,0.0122881381662,0.0163841842216,0.0122881381662,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,1.9993956,117,results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.lp,results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.sol,results\v20_replication_round\oracle\logs\interval_oracle_6_0p0122881381662_0p0163841842216.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_6_0p0122881381662_0p0163841842216.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0122881381662 --interval-exact-cutoff-gamma-U 0.0163841842216 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_6_0p0122881381662_0p0163841842216.sol --log results\v20_replication_round\oracle\logs\interval_oracle_6_0p0122881381662_0p0163841842216.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_6_0p0122881381662_0p0163841842216.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\moderate_seed3301.oracle_combined.csv
8,0.0102401151385,0.0122881381662,0.0102401151385,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.9842292,11,results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.lp,results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.sol,results\v20_replication_round\oracle\logs\interval_oracle_8_0p0102401151385_0p0122881381662.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_8_0p0102401151385_0p0122881381662.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.0102401151385 --interval-exact-cutoff-gamma-U 0.0122881381662 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_8_0p0102401151385_0p0122881381662.sol --log results\v20_replication_round\oracle\logs\interval_oracle_8_0p0102401151385_0p0122881381662.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_8_0p0102401151385_0p0122881381662.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\moderate_seed3301.oracle_combined.csv
10,0.00921610362464,0.0102401151385,0.00921610362464,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.729478,7,results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.lp,results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.sol,results\v20_replication_round\oracle\logs\interval_oracle_10_0p00921610362464_0p0102401151385.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_10_0p00921610362464_0p0102401151385.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00921610362464 --interval-exact-cutoff-gamma-U 0.0102401151385 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_10_0p00921610362464_0p0102401151385.sol --log results\v20_replication_round\oracle\logs\interval_oracle_10_0p00921610362464_0p0102401151385.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_10_0p00921610362464_0p0102401151385.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\moderate_seed3301.oracle_combined.csv
12,0.00870409786772,0.00921610362464,0.00870409786772,0.0491525526647,interval_closed,interval_exact_cutoff_mip_infeasible,infeasible,True,False,False,0,0,0,0.6092651,3,results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.lp,results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.sol,results\v20_replication_round\oracle\logs\interval_oracle_12_0p00870409786772_0p00921610362464.cplex.log,results\v20_replication_round\oracle\raw\interval_oracle_12_0p00870409786772_0p00921610362464.json,build\ExactEBRP.exe --method interval-cutoff-oracle --input reference\hard_stress\V20_M3\moderate_seed3301.txt --lambda 0.15 --T 3600.0 --threads 1 --time-limit 30.0 --interval-exact-cutoff-oracle compact-mip --interval-exact-cutoff-gamma-L 0.00870409786772 --interval-exact-cutoff-gamma-U 0.00921610362464 --interval-exact-cutoff-UB 0.0491525526647 --interval-exact-cutoff-epsilon 1e-08 --interval-exact-cutoff-time-limit 30.0 --interval-exact-cutoff-export-lp results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.lp --interval-exact-cutoff-result results\v20_replication_round\oracle\cplex\interval_oracle_12_0p00870409786772_0p00921610362464.sol --log results\v20_replication_round\oracle\logs\interval_oracle_12_0p00870409786772_0p00921610362464.cplex.log --out results\v20_replication_round\oracle\raw\interval_oracle_12_0p00870409786772_0p00921610362464.json,E:\codes\ExactEBRP\results\v20_replication_round\oracle\moderate_seed3301.oracle_combined.csv
