instance,interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,certificate_basis,open_nodes,notes
high_imbalance_seed3201,1,0.316666666667,0.633333333333,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,3,0.316666666667,0.475,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,4,0.475,0.633333333333,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,6,0.395833333333,0.475,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,7,0.475,0.554166666667,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,8,0.554166666667,0.633333333333,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,9,0.395833333333,0.435416666667,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,10,0.435416666667,0.475,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,11,0.475,0.514583333333,1.58377469667,2.44340319194,replaced_by_children,unresolved,1,
high_imbalance_seed3201,12,0.514583333333,0.554166666667,1.78169136333,2.44340319194,unresolved,unresolved,1,
high_imbalance_seed3201,13,0.554166666667,0.59375,1.58377469667,2.44340319194,unresolved,unresolved,1,
high_imbalance_seed3201,17,0.435416666667,0.455208333333,1.58377469667,2.44340319194,unresolved,unresolved,1,
high_imbalance_seed3201,18,0.455208333333,0.475,1.58377469667,2.44340319194,unresolved,unresolved,1,
high_imbalance_seed3201,19,0.475,0.494791666667,1.58377469667,2.44340319194,unresolved,unresolved,1,
tight_T_seed3101,2,0.071501822756,0.107252734134,0.071501822756,0.107252734134,replaced_by_children,unresolved,1,
tight_T_seed3102,0,0,0.200234812228,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,1,0.200234812228,0.400469624457,0.500234812228,0.600704436685,unresolved,unresolved,1,
tight_T_seed3102,4,0.100117406114,0.200234812228,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,5,0.100117406114,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,6,0.150176109171,0.200234812228,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,8,0.125146757643,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,9,0.150176109171,0.1752054607,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,10,0.1752054607,0.200234812228,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,12,0.137661433407,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,13,0.150176109171,0.162690784936,0.31574776659,0.600704436685,replaced_by_children,unresolved,1,
tight_T_seed3102,14,0.162690784936,0.1752054607,0.462690784936,0.600704436685,unresolved,unresolved,1,
tight_T_seed3102,15,0.1752054607,0.187720136464,0.31574776659,0.600704436685,unresolved,unresolved,1,
tight_T_seed3102,16,0.187720136464,0.200234812228,0.31574776659,0.600704436685,unresolved,unresolved,1,
tight_T_seed3102,17,0.137661433407,0.143918771289,0.31574776659,0.600704436685,unresolved,unresolved,1,
tight_T_seed3102,18,0.143918771289,0.150176109171,0.31574776659,0.600704436685,unresolved,unresolved,1,
tight_T_seed3102,19,0.150176109171,0.156433447053,0.31574776659,0.600704436685,unresolved,unresolved,1,
moderate_seed3301,0,0,0.0163841842216,0,0.0491525526647,replaced_by_children,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,1,0.0163841842216,0.0327683684432,0.0163841842216,0.0491525526647,unresolved,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,2,0.0327683684432,0.0491525526647,0.0327683684432,0.0491525526647,unresolved,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,4,0.00819209211079,0.0163841842216,0.00819209211079,0.0491525526647,replaced_by_children,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,5,0.00819209211079,0.0122881381662,0.00819209211079,0.0491525526647,replaced_by_children,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,6,0.0122881381662,0.0163841842216,0.0122881381662,0.0491525526647,unresolved,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,7,0.00819209211079,0.0102401151385,0.00819209211079,0.0491525526647,replaced_by_children,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,8,0.0102401151385,0.0122881381662,0.0102401151385,0.0491525526647,unresolved,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,9,0.00819209211079,0.00921610362464,0.00819209211079,0.0491525526647,replaced_by_children,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,10,0.00921610362464,0.0102401151385,0.00921610362464,0.0491525526647,unresolved,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,11,0.00819209211079,0.00870409786772,0.00819209211079,0.0491525526647,replaced_by_children,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
moderate_seed3301,12,0.00870409786772,0.00921610362464,0.00870409786772,0.0491525526647,unresolved,unresolved,1,oracle closed 9 final leaves; interval 1 remains open after 600s oracle and BPC fallback
