interval_id,gamma_L,gamma_U,original_status,merged_status,oracle_available,oracle_merge_applied,merge_reason,coverage_exact,gap_or_overlap
0,0,0.0163841842216,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
1,0.0163841842216,0.0327683684432,unresolved,unresolved,true,false,oracle_not_mergeable:basis=interval_exact_cutoff_mip_timeout;status=interval_unresolved_timeout;solver=time limit exceeded,true,false
2,0.0327683684432,0.0491525526647,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
3,0,0.00819209211079,bound_fathomed,bound_fathomed,false,false,no_oracle_result_for_exact_leaf,true,false
4,0.00819209211079,0.0163841842216,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
5,0.00819209211079,0.0122881381662,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
6,0.0122881381662,0.0163841842216,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
7,0.00819209211079,0.0102401151385,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
8,0.0102401151385,0.0122881381662,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
9,0.00819209211079,0.00921610362464,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
10,0.00921610362464,0.0102401151385,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
11,0.00819209211079,0.00870409786772,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
12,0.00870409786772,0.00921610362464,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
13,0.00819209211079,0.00844809498925,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
14,0.00844809498925,0.00870409786772,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
15,0.00819209211079,0.00832009355002,replaced_by_children,replaced_by_children,false,false,no_oracle_result_for_exact_leaf,true,false
16,0.00832009355002,0.00844809498925,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
17,0.00819209211079,0.00825609283041,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
18,0.00825609283041,0.00832009355002,unresolved,bound_fathomed,true,true,exact matching leaf closed by proven infeasible cutoff oracle,true,false
__summary__,,,,certificate_incomplete,,,final_open_leaf_count=1,true,false
