station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,5,8,8
2,20,16,16
3,18,13,13
4,6,10,10
5,18,13,13
6,11,18,18
7,6,9,9
8,9,13,13
9,11,19,19
10,14,11,11
11,13,10,10
12,12,9,9
13,15,11,11
14,6,10,10
15,16,12,12
16,8,13,13
17,23,17,17
18,6,9,9
19,7,10,10
20,27,20,20
