number,id,arm,sequence,available_seconds,earliest_possible_seconds,latest_known_seconds,objective,G,P,source,call,time_precision
1,D6,P-GRB,4,0.3429999998770654,,,1.0756498987534937,0.3419719796551694,4.891186127322162,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,11,1.1869999999180436,,,1.020838702817036,0.3384185039840737,4.549467992219748,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,15,1.4679999998770654,,,0.7048798691272262,0.2666083226657011,2.9218103097435013,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,18,1.7340000001713634,,,0.641280872318828,0.2523920558573028,2.5925921097435016,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,23,2.3119999999180436,,,0.6363946026279903,0.2510037244017592,2.5692725215082075,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,24,2.375,,,0.6273773831234636,0.24918813617551297,2.5212616463196706,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,25,2.390000000130385,,,0.6176475464088618,0.24521959740208776,2.482852993378494,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,26,2.421000000089407,,,0.6126814935153547,0.24436877200858062,2.455418143378494,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,27,2.4679999998770654,,,0.4922764515830313,0.2177908797004402,1.8299038125506073,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,28,2.530999999959022,,,0.48735897022955965,0.2169886258469685,1.8024689625506074,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,29,2.5929999998770654,,,0.4824448300564812,0.21618971317389013,1.7750341125506073,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,30,2.7030000002123415,,,0.45018554454511084,0.20059712573944286,1.6639227920377868,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,33,3.6869999999180436,,,0.3852925537653937,0.1854983477219634,1.3319613736228684,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,39,4.75,,,0.36956717484399926,0.17820918913549724,1.275719904723347,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,41,5.796000000089407,,,0.33889918575301015,0.1475412157462625,1.2757198000449843,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,42,5.796000000089407,,,0.33249122941999054,0.1466888149687985,1.238682763007947,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,43,5.811999999918044,,,0.2963131331539746,0.12944078519850902,1.112482319703104,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,44,5.8280000002123415,,,0.2902454054326439,0.13366110709256288,1.0438953222672065,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,45,5.875,,,0.2901962974050821,0.1352580890650012,1.032921388933873,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,46,5.875,,,0.29011881251012117,0.13374026897773256,1.0425236235492576,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,47,5.875,,,0.2901085439285963,0.13208391039620768,1.053497556882591,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,51,7.280999999959022,,,0.2894060148817268,0.12500276772942862,1.0960216476819877,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,52,7.280999999959022,,,0.2849413510647473,0.12403604214774323,1.0727020594466936,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,53,10.046000000089407,,,0.28164090882724796,0.12361625029485931,1.0534977235492577,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,55,12.796000000089407,,,0.28131760882838747,0.12185261510369115,1.0630999581646423,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,57,19.265000000130385,,,0.27946124455386234,0.11773287563685828,1.0781891261133603,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,58,19.265000000130385,,,0.27918598455456495,0.11560577082986863,1.0905347581646423,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,59,26.765000000130385,,,0.2752095008358918,0.11327537006574084,1.0795608718010061,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,60,27.984000000171363,,,0.2752058588104195,0.11244867304026859,1.0850479051343394,native_MIPSOL_verified_original_routes,1,observed_committed_witness
1,D6,P-GRB,61,31.311999999918044,,,0.271304658674737,0.11183964714409662,1.063100076870936,native_MIPSOL_verified_original_routes,1,observed_committed_witness
