number,id,arm,seconds,U,L,gap,relative_gap,certificate,source
1,D6,P-GRB,300,0.1577748142426671,0.14376677030141793,0.01400804394124916,0.08878504473916826,False,committed_same_run_evidence
1,D6,P-GRB,600,0.1572411758522922,0.14498588325431813,0.01225529259797406,0.07793946166801963,False,committed_same_run_evidence
1,D6,P-GRB,1200,0.1572411758522922,0.14687417192272575,0.010367003929566437,0.06593059275583707,False,committed_same_run_evidence
1,D6,P-GRB,1800,0.1572411758522922,0.14883595169268538,0.008405224159606817,0.053454345619384336,False,committed_same_run_evidence
1,D6,P-GRB,3600,0.1572411758522922,0.15081896932485236,0.006422206527439828,0.04084303295640998,False,committed_same_run_evidence
1,D6,P-GRB,7200,0.1572411758522922,0.15259355931375426,0.00464761653853793,0.029557248687225323,False,committed_same_run_evidence
1,D6,P-GRB,10800,0.1572411758522922,0.15361154589988044,0.003629629952411756,0.023083202810829432,False,committed_same_run_evidence
1,D6,P-GRB,14400,0.1572411758522922,0.15427250950280608,0.0029686663494861154,0.018879700774272985,False,committed_same_run_evidence
1,D6,P-GRB,18000,0.1572411758522922,0.1550063647784053,0.0022348110738869,0.014212632675719854,False,committed_same_run_evidence
1,D6,P-GRB,21600,0.1572411758522922,0.15608770539976952,0.0011534704525226758,0.0073356768433620245,False,committed_same_run_evidence
1,D6,P-GRB,25200,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,28800,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,32400,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,36000,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,39600,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,43200,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,46800,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,50400,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,54000,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,57600,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,61200,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,64800,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,68400,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,72000,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,75600,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,79200,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,82800,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
1,D6,P-GRB,86400,0.15708313110317415,0.15708313110317404,1.1102230246251565e-16,7.067741881818922e-16,True,normal_endpoint_carry_forward
2,D6,ENS-C,300,0.15750980361456174,0.14719736208175102,0.010312441532810718,0.06547174395598913,False,committed_same_run_evidence
2,D6,ENS-C,600,0.1572411758522922,0.15063987405801993,0.006601301794272263,0.04198201748677671,False,committed_same_run_evidence
2,D6,ENS-C,1200,0.1572411758522922,0.15294220298420627,0.004298972868085921,0.02733999440530928,False,committed_same_run_evidence
2,D6,ENS-C,1800,0.1572411758522922,0.15383349325715445,0.00340768259513774,0.021671693668449912,False,committed_same_run_evidence
2,D6,ENS-C,3600,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,7200,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,10800,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,14400,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,18000,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,21600,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,25200,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,28800,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,32400,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,36000,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,39600,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,43200,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,46800,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,50400,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,54000,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,57600,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,61200,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,64800,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,68400,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,72000,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,75600,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,79200,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,82800,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
2,D6,ENS-C,86400,0.15708313110317415,0.15708313110316996,4.191091917959966e-15,2.6680725603866433e-14,True,normal_endpoint_carry_forward
3,D7,ENS-C,300,0.29144897350424526,0.20331434328611858,0.08813463021812667,0.3024015804840119,False,committed_same_run_evidence
3,D7,ENS-C,600,0.242302747140752,0.20332547840985937,0.038977268730892634,0.16086185233488504,False,committed_same_run_evidence
3,D7,ENS-C,1200,0.2365950806643804,0.20335723151531615,0.03323784914906425,0.14048410920349383,False,committed_same_run_evidence
3,D7,ENS-C,1800,0.23025829530655637,0.20392422789969403,0.026334067406862338,0.11436750789717369,False,committed_same_run_evidence
3,D7,ENS-C,3600,0.22515085005563812,0.20474019924091835,0.020410650814719766,0.09065322564705393,False,committed_same_run_evidence
3,D7,ENS-C,7200,0.22515085005563812,0.20541759689549297,0.019733253160145153,0.08764458653062501,False,committed_same_run_evidence
3,D7,ENS-C,10800,0.22515085005563812,0.20616432257814588,0.018986527477492243,0.08432802928703308,False,committed_same_run_evidence
3,D7,ENS-C,14400,0.22463323580969388,0.20637790943133186,0.018255326378362025,0.08126725465428312,False,committed_same_run_evidence
3,D7,ENS-C,18000,0.2243056695915449,0.20637790943133186,0.017927760160213052,0.07992557741790059,False,committed_same_run_evidence
3,D7,ENS-C,21600,0.2243056695915449,0.20637790943133186,0.017927760160213052,0.07992557741790059,False,committed_same_run_evidence
3,D7,ENS-C,25200,0.2240328584500076,0.20651541498445633,0.017517443465551258,0.07819140275559282,False,committed_same_run_evidence
3,D7,ENS-C,28800,0.22373880596610918,0.2067297331989287,0.017009072767180472,0.07602200563167803,False,committed_same_run_evidence
3,D7,ENS-C,32400,0.22373880596610918,0.20694781123112493,0.016790994734984244,0.07504730644503242,False,committed_same_run_evidence
3,D7,ENS-C,36000,0.22373880596610918,0.20715278613481442,0.016586019831294763,0.07413117165650347,False,committed_same_run_evidence
3,D7,ENS-C,39600,0.22373880596610918,0.2073386803762366,0.016400125589872583,0.07330031783738397,False,committed_same_run_evidence
3,D7,ENS-C,43200,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,46800,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,50400,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,54000,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,57600,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,61200,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,64800,0.2235315457737183,0.207390761896961,0.016140783876757298,0.07220808061291119,False,committed_same_run_evidence
3,D7,ENS-C,68400,0.2235315457737183,0.20745882913231148,0.01607271664140683,0.0719035722039756,False,committed_same_run_evidence
3,D7,ENS-C,72000,0.2235315457737183,0.20745882913231148,0.01607271664140683,0.0719035722039756,False,committed_same_run_evidence
3,D7,ENS-C,75600,0.2235315457737183,0.2074806722283867,0.016050873545331606,0.07180585402285884,False,committed_same_run_evidence
3,D7,ENS-C,79200,0.2235315457737183,0.2074806722283867,0.016050873545331606,0.07180585402285884,False,committed_same_run_evidence
3,D7,ENS-C,82800,0.2235315457737183,0.2082190823632304,0.01531246341048792,0.06850247179871773,False,committed_same_run_evidence
3,D7,ENS-C,86400,0.2235315457737183,0.2082190823632304,0.01531246341048792,0.06850247179871773,False,normal_endpoint_carry_forward
4,D7,P-GRB,300,0.3337885830549433,0.19433346213470226,0.13945512092024104,0.4177947599162971,False,committed_same_run_evidence
4,D7,P-GRB,600,0.29018624629581247,0.19695492691463842,0.09323131938117404,0.3212809723798389,False,committed_same_run_evidence
4,D7,P-GRB,1200,0.27732086593398886,0.1972864787145512,0.08003438721943765,0.2885985046595389,False,committed_same_run_evidence
4,D7,P-GRB,1800,0.2526983833397027,0.19818702040905123,0.05451136293065145,0.21571710198625124,False,committed_same_run_evidence
4,D7,P-GRB,3600,0.23728499154872854,0.19858649317712468,0.03869849837160386,0.163088689760881,False,committed_same_run_evidence
4,D7,P-GRB,7200,0.2252189679945485,0.19858649317712468,0.026632474817423812,0.11825147346411986,False,committed_same_run_evidence
4,D7,P-GRB,10800,0.21959755175403478,0.19920237359855533,0.02039517815547945,0.09287525290046736,False,committed_same_run_evidence
4,D7,P-GRB,14400,0.21812485668361822,0.19973936706678871,0.01838548961682951,0.08428883299392585,False,committed_same_run_evidence
4,D7,P-GRB,18000,0.21812485668361822,0.19999562828595505,0.018129228397663177,0.0831139956871533,False,committed_same_run_evidence
4,D7,P-GRB,21600,0.21812485668361822,0.200232004769895,0.017892851913723223,0.0820303205501981,False,committed_same_run_evidence
4,D7,P-GRB,25200,0.21646672611586948,0.20042932726278018,0.016037398853089302,0.07408713173083638,False,committed_same_run_evidence
4,D7,P-GRB,28800,0.21646672611586948,0.20061013709243575,0.01585658902343373,0.0732518540283465,False,committed_same_run_evidence
4,D7,P-GRB,32400,0.21646672611586948,0.20076390333769364,0.015702822778175834,0.07254150815664154,False,committed_same_run_evidence
4,D7,P-GRB,36000,0.21646672611586948,0.2009131080235865,0.015553618092282978,0.07185223508188274,False,committed_same_run_evidence
4,D7,P-GRB,39600,0.21646672611586948,0.2010132158909908,0.015453510224878675,0.07138977200868636,False,committed_same_run_evidence
4,D7,P-GRB,43200,0.21646672611586948,0.2010968118441986,0.015369914271670893,0.07100358816090628,False,committed_same_run_evidence
4,D7,P-GRB,46800,0.21646672611586948,0.20117896254751252,0.015287763568356955,0.07062408085838458,False,committed_same_run_evidence
4,D7,P-GRB,50400,0.21646672611586948,0.20124769630507353,0.015219029810795953,0.07030655511761918,False,committed_same_run_evidence
4,D7,P-GRB,54000,0.21646672611586948,0.20132380368277242,0.015142922433097061,0.06995496585000051,False,committed_same_run_evidence
4,D7,P-GRB,57600,0.21646672611586948,0.20140703799955204,0.015059688116317443,0.0695704526350916,False,committed_same_run_evidence
4,D7,P-GRB,61200,0.21646672611586948,0.2014747005024025,0.014992025613466992,0.06925787571361945,False,committed_same_run_evidence
4,D7,P-GRB,64800,0.21646672611586948,0.20154389359373157,0.014922832522137913,0.06893822801269732,False,committed_same_run_evidence
4,D7,P-GRB,68400,0.21646672611586948,0.20160929672144828,0.014857429394421195,0.06863608860822502,False,committed_same_run_evidence
4,D7,P-GRB,72000,0.21646672611586948,0.20166065759210872,0.014806068523760763,0.06839881948339453,False,committed_same_run_evidence
4,D7,P-GRB,75600,0.21646672611586948,0.20170612580294137,0.014760600312928113,0.06818877237061882,False,committed_same_run_evidence
4,D7,P-GRB,79200,0.21646672611586948,0.2017549595586255,0.014711766557243988,0.06796317762651952,False,committed_same_run_evidence
4,D7,P-GRB,82800,0.21646672611586948,0.2018082487935851,0.014658477322284369,0.06771700013810915,False,committed_same_run_evidence
4,D7,P-GRB,86400,0.21646672611586948,0.20185000609183068,0.014616720024038798,0.06752409613390105,False,committed_same_run_evidence
5,U6,P-GRB,300,0.2292121197939096,0.12421665234073327,0.10499546745317632,0.4580711855358277,False,committed_same_run_evidence
5,U6,P-GRB,600,0.21560089800056104,0.12500983192936935,0.09059106607119169,0.4201794468915243,False,committed_same_run_evidence
5,U6,P-GRB,1200,0.21407703935595196,0.12514525983992003,0.08893177951603193,0.41541951338444355,False,committed_same_run_evidence
5,U6,P-GRB,1800,0.21407703935595196,0.12563400845408343,0.08844303090186853,0.41313646324682113,False,committed_same_run_evidence
5,U6,P-GRB,3600,0.14819747529511856,0.12651916793596993,0.021678307359148635,0.14627986958602857,False,committed_same_run_evidence
5,U6,P-GRB,7200,0.14528773805499373,0.12745996951940033,0.017827768535593397,0.12270662875104643,False,committed_same_run_evidence
5,U6,P-GRB,10800,0.14528773805499373,0.12883778012948818,0.01644995792550555,0.11322330532311664,False,committed_same_run_evidence
5,U6,P-GRB,14400,0.14528773805499373,0.12943979864041177,0.015847939414581957,0.10907967614296024,False,committed_same_run_evidence
5,U6,P-GRB,18000,0.14528773805499373,0.13000279954444563,0.015284938510548102,0.10520460098816121,False,committed_same_run_evidence
5,U6,P-GRB,21600,0.14528773805499373,0.13033575761169236,0.014951980443301371,0.10291288613524843,False,committed_same_run_evidence
5,U6,P-GRB,25200,0.14527298125514043,0.13057106463032137,0.014701916624819067,0.10120200258710424,False,committed_same_run_evidence
5,U6,P-GRB,28800,0.14527298125514043,0.13082223526674475,0.014450745988395686,0.09947304628529713,False,committed_same_run_evidence
5,U6,P-GRB,32400,0.14527298125514043,0.1309983677080894,0.014274613547051035,0.09826062233816746,False,committed_same_run_evidence
5,U6,P-GRB,36000,0.14527298125514043,0.1311486794919238,0.014124301763216635,0.09722593727467027,False,committed_same_run_evidence
5,U6,P-GRB,39600,0.14527298125514043,0.13125548923344554,0.014017492021694888,0.09649070254210733,False,committed_same_run_evidence
5,U6,P-GRB,43200,0.14527298125514043,0.13132063300662208,0.013952348248518348,0.09604227935554017,False,committed_same_run_evidence
5,U6,P-GRB,46800,0.14527298125514043,0.13141567574106808,0.013857305514072354,0.09538804390428945,False,committed_same_run_evidence
5,U6,P-GRB,50400,0.14527298125514043,0.1315034304969339,0.013769550758206545,0.09478397592752172,False,committed_same_run_evidence
5,U6,P-GRB,54000,0.14527298125514043,0.13159960275221413,0.013673378502926298,0.09412196531516055,False,committed_same_run_evidence
5,U6,P-GRB,57600,0.14527298125514043,0.13166751249313952,0.013605468762000916,0.0936545023338226,False,committed_same_run_evidence
5,U6,P-GRB,61200,0.14527298125514043,0.13174771707360386,0.013525264181536573,0.09310240668760272,False,committed_same_run_evidence
5,U6,P-GRB,64800,0.14527298125514043,0.13181041752096925,0.013462563734171179,0.09267080236019326,False,committed_same_run_evidence
5,U6,P-GRB,68400,0.14527298125514043,0.13186731431583787,0.013405666939302563,0.0922791480114146,False,committed_same_run_evidence
5,U6,P-GRB,72000,0.14527298125514043,0.13194484552711952,0.013328135728020912,0.09174545474917278,False,committed_same_run_evidence
5,U6,P-GRB,75600,0.14527298125514043,0.1320038237241357,0.013269157531004744,0.09133947287624222,False,committed_same_run_evidence
5,U6,P-GRB,79200,0.14527298125514043,0.1320722532329967,0.013200728022143726,0.09086843202425587,False,committed_same_run_evidence
5,U6,P-GRB,82800,0.14527298125514043,0.1321244121368504,0.013148569118290043,0.09050939138639578,False,committed_same_run_evidence
5,U6,P-GRB,86400,0.14527298125514043,0.13216404500616435,0.013108936248976077,0.09023657486558412,False,normal_endpoint_carry_forward
6,U6,ENS-C,300,0.16585553987466944,0.1287433619022264,0.03711217797244304,0.22376206426681475,False,committed_same_run_evidence
6,U6,ENS-C,600,0.16585553987466944,0.1289644221823082,0.03689111769236125,0.22242921593236156,False,committed_same_run_evidence
6,U6,ENS-C,1200,0.15081425834575163,0.12905844168500294,0.02175581666074869,0.14425570167823287,False,committed_same_run_evidence
6,U6,ENS-C,1800,0.1500906194991696,0.12944701675788095,0.020643602741288652,0.1375409256765901,False,committed_same_run_evidence
6,U6,ENS-C,3600,0.14990547589906003,0.13117221090547532,0.018733264993584714,0.12496718269450609,False,committed_same_run_evidence
6,U6,ENS-C,7200,0.14990547589906003,0.13117292308915912,0.01873255280990091,0.1249624318094598,False,committed_same_run_evidence
6,U6,ENS-C,10800,0.14545669603372954,0.13155552937199905,0.013901166661730496,0.09556910778797693,False,committed_same_run_evidence
6,U6,ENS-C,14400,0.14545669603372954,0.13227248625816992,0.013184209775559619,0.09064010207204466,False,committed_same_run_evidence
6,U6,ENS-C,18000,0.14545669603372954,0.13284770857610345,0.012608987457626092,0.08668550710585526,False,committed_same_run_evidence
6,U6,ENS-C,21600,0.14545669603372954,0.13347018095292737,0.011986515080802174,0.08240607278761958,False,committed_same_run_evidence
6,U6,ENS-C,25200,0.14545669603372954,0.13411779279730401,0.01133890323642553,0.07795380718530952,False,committed_same_run_evidence
6,U6,ENS-C,28800,0.14545647755195104,0.13442723090558523,0.011029246646365815,0.07582506349658182,False,committed_same_run_evidence
6,U6,ENS-C,32400,0.14545647755195104,0.1345204972967935,0.010935980255157546,0.07518386557416576,False,committed_same_run_evidence
6,U6,ENS-C,36000,0.14545647755195104,0.13469489285875128,0.010761584693199766,0.07398491201160962,False,committed_same_run_evidence
6,U6,ENS-C,39600,0.14528773805499373,0.13485287222533374,0.010434865829659995,0.07182206818933495,False,committed_same_run_evidence
6,U6,ENS-C,43200,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,46800,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,50400,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,54000,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,57600,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,61200,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,64800,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,68400,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,72000,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,75600,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,79200,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,82800,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
6,U6,ENS-C,86400,0.1452877380549937,0.13488129830664097,0.01040643974835273,0.0716264145045312,False,committed_same_run_evidence
7,F2,ENS-C,300,0.8659435203229894,0.8333067564839546,0.0326367638390348,0.037689252327751784,False,committed_same_run_evidence
7,F2,ENS-C,600,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,1200,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,1800,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,3600,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,7200,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,10800,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,14400,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,18000,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,21600,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
7,F2,ENS-C,25200,0.8659435203229894,0.865943520322989,3.3306690738754696e-16,3.8462890427693936e-16,True,normal_endpoint_carry_forward
