number,id,arm,path,bytes,sha256
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\launch.json,2855,7857658a96355349e33ec41ba512ec42f6ad852115cd61cf190bc87e2a3f4ea7
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\completion.json,270,69e80445edccd34b411c2f62e370e68cd88f0e507aa61e5428f79cbc0084916f
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\observations.json,47773173,69da93093bca6952a2f4731d9411ae6dca15da6f5eaa14ec2983c102c293c3a8
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\audit.json,26256,b27209c6915cbbec2fd991a2002841ff52be8e6bd95faa6d2b62e02df86297b5
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\result.json,88469,d0e9a9d5b06455132b010c55f5b2cc57fba31a905036b67c7be58ade2d6e3747
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\native.log,356680,0c65f9726652fe2b21aba5bab31e9269e0c21b3829ca3045a565c2ece371f340
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\phases.csv,986,d9815fd9074e1b075ae6016a421141bc445cfe2ffa40c98f4320f4bb28588d8a
1,D6,P-GRB,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\01_D6_P-GRB\compact.lp,879640,f3623b3c9991f707fa9739f498e0f01e379edfda287a135e0f5b62a57bb35941
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\launch.json,2584,c39e186d50bacaf7f6f812ca4736fef9595d22d23eca6fdbabdb8d0fcfe6776b
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\completion.json,267,6c012b2b1643bde77cf1c305abd58946b88c6dbdeda148ab3487a9fc40bac295
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\observations.json,2011334,321c844a6dd687ae164469ff5735df8b5f58c54be6150feeeca7e912265ccaad
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\audit.json,11912,ffe8ff91459d9ee2abacdf2ee236837a0d319c823c3e5f89ee33f2402bc8d304
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\result.json,97527,3b403861fa08e0da6ad042faf9e4d016bb40562bfe6f48e25d53fbc6aada251c
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\native.log,2246,c15b3ac85795080e994954f7bfb8c91e6b8cd3d0a0269aa3b3523ba15623c65e
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\progress.csv,710,7c2ee36e1371c7c042194596a44b3f8c733d1ac0531732e1465614c8bef6efb2
2,D6,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\02_D6_ENS-C\phases.csv,3238,c4ab30fa1f4e5bcd4f3409f85eb2a8cb2b2ee015ecda3f041188cad94efdbd0f
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\launch.json,2599,ca7c581fff37666e0fedbe8ab1d8ca672712df202b69d563e76fe42e9fbbaa88
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\completion.json,267,de993ce04f3cd94bc3caafe59d3efc4d6e55fcbd4f0a28d585a6a077aef06ba4
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\observations.json,658238,c073bb37e50d7abddb5811758a44ca88f8e6dc28babedebaea141149bc0abf73
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\audit.json,38245,2b4ae8f4a55feb2ef7f6736b138383d03a6a93fa2aa996595910cc5f27e9b74c
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\result.json,99650,2c916fd8982848785f944832562bde98be270105343d1fa21a390b9fcb6b2ba5
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\native.log,1495,8bca9b91e70f96443417e65b7b56de2f52c9d56af397a76086b700a4a8efce9f
3,D7,ENS-C,E:\codes\ExactEBRP-round87-runtime\campaign\local_raw\03_D7_ENS-C\progress.csv,710,e434e4145c1b8da6ab95d9fe16e991d254d36f9abd30b20fd0252f5c7d01936e
