artifact_role,requested_path,retained_path,exists,gzip_appended,multipart,part_index,part_count,size_bytes,sha256,complete_retained_sha256,reconstruction
root_model,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/global_root.lp,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/global_root.lp.gz,True,True,False,1,1,240695,6b98e04df6c093bd6b7bdb4687883734cb46e4891c0a2e090f27a3beae3bd676,6b98e04df6c093bd6b7bdb4687883734cb46e4891c0a2e090f27a3beae3bd676,none
node_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/global_node_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/global_node_trace.csv.gz,True,True,False,1,1,10106215,cdc30af58c3dc03544ab725efcb1f5d93d5d5a6b23dc7a1b9e446a4dd1e125a0,cdc30af58c3dc03544ab725efcb1f5d93d5d5a6b23dc7a1b9e446a4dd1e125a0,none
bound_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/global_bound_trajectory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/global_bound_trajectory.csv,True,False,False,1,1,693,7d68aa827000b32ff4507ffd2f1096474666c288ed96477a895666d3438ed5e5,7d68aa827000b32ff4507ffd2f1096474666c288ed96477a895666d3438ed5e5,none
row_delta_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/row_delta.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/row_delta.csv,True,False,False,1,1,352478,63c1e6d71dff36a02ed82115e9e788f9da7dc8c4bdc5b2755df5c3cdc0793d2a,63c1e6d71dff36a02ed82115e9e788f9da7dc8c4bdc5b2755df5c3cdc0793d2a,none
post_row_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/post_local_row_trace.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/post_local_row_trace.csv,True,False,False,1,1,117704,5a8923c083e9d14032443fca9ba62f8fbebbb249263fbcef8bc0ee4598445b18,5a8923c083e9d14032443fca9ba62f8fbebbb249263fbcef8bc0ee4598445b18,none
topology_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/gini_topology.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/gini_topology.csv,True,False,False,1,1,86249,bba887b5ed39d59047e0ea9f701acf862a09da826003253887e92e45798f42be,bba887b5ed39d59047e0ea9f701acf862a09da826003253887e92e45798f42be,none
sibling_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/sibling_delay.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/sibling_delay.csv,True,False,False,1,1,56742,2817c4b3caa91a89903d29a5e8205906e716fbc1895a4cb671533826844edb11,2817c4b3caa91a89903d29a5e8205906e716fbc1895a4cb671533826844edb11,none
tree_memory_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/tree_memory.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/tree_memory.csv,True,False,False,1,1,598,a2f12383d5fcaaaea518c1183d34030a196524827b2e06d71e24cb0680b080d7,a2f12383d5fcaaaea518c1183d34030a196524827b2e06d71e24cb0680b080d7,none
mip_start_audit,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/mip_start_audit.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/mip_start_audit.csv,True,False,False,1,1,151,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,54b22a6fab8d11013380329fd655f6237da1ee912d7f53a56a08246328cebfa8,none
progress_trace,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/progress.csv,results/gf_global_gini_tree_strict_flow_round/runs/stage3__tight_T_seed3101__f0__1800s/progress.csv,True,False,False,1,1,691,6cb8fdc49e310647bec6d5e68270c92efddb95e691b792e0ef4ba5c351becc54,6cb8fdc49e310647bec6d5e68270c92efddb95e691b792e0ef4ba5c351becc54,none
