"run","instance","completion_lb_pruning","lower_bound","upper_bound","gap","runtime_seconds","unresolved_intervals","open_nodes","pricing_calls","columns","completion_lb_pruned_labels","pricing_time_seconds","master_time_seconds","bound_time_seconds","frontier_lower_bound_source","result_file"
"v12_m1_average_core_300s_split_before_tree","regen_candidate_V12_M1_average.txt","False","0.331296710948","0.357200583208","0.0725191208467","298.3304346","3","3","9","1128192","0","66.750391","7.3961968","210.2058157","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_split_before_tree.json"
"v12_m1_average_core_300s_split_completion_lb","regen_candidate_V12_M1_average.txt","True","0.331296710948","0.357200583208","0.0725191208467","298.1064368","3","3","9","1109378","23867430","58.9066437","7.3464532","211.2660991","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_split_completion_lb.json"
"v12_m2_average_core_300s_split_before_tree","regen_candidate_V12_M2_average.txt","False","0.69696684314","0.719065249476","0.0307321294594","273.9229962","2","2","17","1909797","0","70.2706739","33.1595589","160.3665865","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_split_before_tree.json"
"v12_m2_average_core_300s_split_completion_lb","regen_candidate_V12_M2_average.txt","True","0.69696684314","0.719065249476","0.0307321294594","289.8445419","2","2","16","1883844","20756309","90.9342476","28.3496167","160.407179","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_split_completion_lb.json"
