"instance","method","algorithm_preset","status","objective","lower_bound","upper_bound","gap","runtime_seconds","wall_time_seconds","verifier_passed","certified_original_problem","unresolved_intervals","invalid_bound_intervals","open_nodes","pricing_calls","pricing_closed_nodes","columns_generated","cuts_generated","completion_lb_pruned_labels","required_closure_pruned_labels","label_dominance_comparisons","label_dominance_pruned_labels","label_dominance_cross_pickup_pruned_labels","label_dominance_inactive_entries_skipped","label_dominance_bucket_compactions","label_dominance_compacted_entries","operation_dp_dominance_pruned_states","controlling_interval","frontier_min_interval_lower_bound","frontier_lower_bound_source","node_trace_count","pricing_trace_count","bpc_trace_json","bpc_interval_trace_csv","result_file","progress_log","log_file","plateau_reason"
"gcap_smoke_V4_M1.txt","option-consistency-test","paper-bpc-core","diagnostic_complete","0.49","0","0.49","1","6.82e-05","6.82e-05","True","False","0","0","0","0","0","0","0","0","","","","","","","","","","0","","","","","","results\paper_bpc_core\raw\option_consistency_paper_core.json","","results\paper_bpc_core\logs\option_consistency_paper_core.log","not_certified"
"gcap_smoke_V4_M1.txt","option-consistency-test","paper-bpc-core","diagnostic_complete","0.49","0","0.49","1","5.89e-05","5.89e-05","True","False","0","0","0","0","0","0","0","0","","","","","","","","","","0","","","","","","results\paper_bpc_core\raw\option_consistency_paper_core_completion_lb.json","","results\paper_bpc_core\logs\option_consistency_paper_core_completion_lb.log","not_certified"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.332675660948","0.357200583208","0.0686586848205","1201.5321723","1201.5321723","True","False","2","0","2","48","1","1155676","0","0","","","","","","","","","9:[0.238133722139,0.297667152674]:lb=0.332675660948","0.332675660948","focused_child_inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_1200s.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_1200s.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_1200s.json","results\paper_bpc_core\progress\v12_m1_average_core_1200s.csv","results\paper_bpc_core\logs\v12_m1_average_core_1200s.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.34028208837","0.357200583208","0.0473641299419","1200.0186893","1200.0186893","True","False","3","0","29","42","0","1125150","0","0","","","","","","","","","14:[0.230692043322,0.238133722139]:lb=0.34028208837","0.34028208837","focused_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth5_default.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth5_default.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth5_default.json","results\paper_bpc_core\progress\v12_m1_average_core_1200s_depth5_default.csv","results\paper_bpc_core\logs\v12_m1_average_core_1200s_depth5_default.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.34488166893","0.357200583208","0.0344873856805","1203.1158699","1203.1158699","True","False","3","0","4","37","1","1087336","0","0","","15537734664","8475629222","0","85242376143","0","0","0","13:[0.223250364505,0.230692043322]:lb=0.34488166893","0.34488166893","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth6_default.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth6_default.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth6_default.json","results\paper_bpc_core\progress\v12_m1_average_core_1200s_depth6_default.csv","","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.26841487614","0.357200583208","0.248559804329","318.4835931","318.4835931","True","False","2","0","5","13","0","1115740","0","","","","","","","","","","4:[0.178600291604,0.238133722139]:lb=0.26841487614","0.26841487614","adaptive_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s.json","results\paper_bpc_core\progress\v12_m1_average_core_300s.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.34028208837","0.357200583208","0.0473641299419","300.3468767","300.3468767","True","False","3","0","3","2","0","586","0","0","0","773481588","425343533","0","1972607123","3189779","45172889","0","14:[0.230692043322,0.238133722139]:lb=0.34028208837","0.34028208837","focused_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_adaptive_focus_reserve_probe.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_adaptive_focus_reserve_probe.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_adaptive_focus_reserve_probe.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_adaptive_focus_reserve_probe.csv","","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.34488166893","0.357200583208","0.0344873856805","303.1142794","303.1142794","True","False","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","17:[0.223250364505,0.226971203914]:lb=0.34488166893","0.34488166893","adaptive_split_inherited_inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_archive_skip.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_archive_skip.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_archive_skip.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_archive_skip.csv","","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.26841487614","0.357200583208","0.248559804329","307.2266257","307.2266257","True","False","2","0","5","13","0","1141755","0","0","","","","","","","","","4:[0.178600291604,0.238133722139]:lb=0.26841487614","0.26841487614","adaptive_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_compat_order.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_compat_order.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_compat_order.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_compat_order.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_compat_order.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.26841487614","0.357200583208","0.248559804329","318.7107485","318.7107485","True","False","2","0","4","12","0","1115785","0","51756831","","","","","","","","","4:[0.178600291604,0.238133722139]:lb=0.26841487614","0.26841487614","adaptive_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_completion_lb.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_completion_lb.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_completion_lb.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_completion_lb.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_completion_lb.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.34028208837","0.357200583208","0.0473641299419","300.5033557","300.5033557","True","False","3","0","3","8","0","1117818","0","0","","","","","","","","","14:[0.230692043322,0.238133722139]:lb=0.34028208837","0.34028208837","focused_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth5_default.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth5_default.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth5_default.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth5_default.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth5_default.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.341121462223","0.357200583208","0.0450142629691","301.1159164","301.1159164","True","False","3","0","3","6","0","1085395","0","0","","0","0","0","0","0","0","0","16:[0.253017079773,0.267900437406]:lb=0.341121462223","0.341121462223","focused_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_default.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_default.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_default.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth6_default.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth6_default.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.341121462223","0.357200583208","0.0450142629691","300.4574219","300.4574219","True","False","2","0","2","7","0","1181960","0","0","","301095286","167384840","0","751381522","1239056","17581023","0","11:[0.238133722139,0.267900437406]:lb=0.341121462223","0.341121462223","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_no_focused_intensification.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_no_focused_intensification.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_no_focused_intensification.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth6_no_focused_intensification.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth6_no_focused_intensification.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.341121462223","0.357200583208","0.0450142629691","300.3263177","300.3263177","True","False","2","0","2","7","0","1118853","0","0","","231507126","130057660","0","575743102","961583","13736726","0","11:[0.238133722139,0.267900437406]:lb=0.341121462223","0.341121462223","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_no_focused_required_closure_pruning.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_no_focused_required_closure_pruning.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_no_focused_required_closure_pruning.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth6_no_focused_required_closure_pruning.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth6_no_focused_required_closure_pruning.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.3446132409","0.357200583208","0.035238862701","307.7114412","307.7114412","True","False","3","0","3","6","0","1121141","0","0","","0","0","0","0","0","0","0","15:[0.238133722139,0.253017079773]:lb=0.3446132409","0.3446132409","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth7_default.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth7_default.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth7_default.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth7_default.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth7_default.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.3446132409","0.357200583208","0.035238862701","306.843207","306.843207","True","False","3","0","3","6","0","1124332","0","0","","0","0","0","0","0","0","0","15:[0.238133722139,0.253017079773]:lb=0.3446132409","0.3446132409","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth8_default.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth8_default.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth8_default.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth8_default.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth8_default.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.3446132409","0.357200583208","0.035238862701","307.3132764","307.3132764","True","False","3","0","3","6","0","1110768","0","0","","0","0","0","0","0","0","0","15:[0.238133722139,0.253017079773]:lb=0.3446132409","0.3446132409","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth9.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth9.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth9.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_depth9.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_depth9.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.3446132409","0.357200583208","0.035238862701","306.3550811","306.3550811","True","False","3","0","3","6","0","1094640","0","0","","0","0","0","0","0","0","0","15:[0.238133722139,0.253017079773]:lb=0.3446132409","0.3446132409","inventory_route_gini_relaxation","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_gated_precheck.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_gated_precheck.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_gated_precheck.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_gated_precheck.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_gated_precheck.log","unresolved_intervals"
"regen_candidate_V12_M1_average.txt","gcap-frontier","paper-bpc-core","gcap_frontier_not_closed","0.357200583208","0.34028208837","0.357200583208","0.0473641299419","300.4579139","300.4579139","True","False","3","0","3","8","0","1100376","0","0","","303234193","170381933","0","","","","","14:[0.230692043322,0.238133722139]:lb=0.34028208837","0.34028208837","focused_split_inherited_parent_lb","","","results\paper_bpc_core\raw\v12_m1_average_core_300s_label_dominance_trace.trace.json","results\paper_bpc_core\raw\v12_m1_average_core_300s_label_dominance_trace.intervals.csv","results\paper_bpc_core\raw\v12_m1_average_core_300s_label_dominance_trace.json","results\paper_bpc_core\progress\v12_m1_average_core_300s_label_dominance_trace.csv","results\paper_bpc_core\logs\v12_m1_average_core_300s_label_dominance_trace.log","unresolved_intervals"
