"run","instance","requested_depth","lower_bound","upper_bound","gap","runtime_seconds","unresolved_intervals","open_nodes","pricing_calls","pricing_closed_nodes","bound_time_seconds","master_time_seconds","pricing_time_seconds","frontier_lower_bound_source","result_file"
"v12_m1_average_core_1200s","regen_candidate_V12_M1_average.txt","default","0.332675660948","0.357200583208","0.0686586848205","1201.5321723","2","2","48","1","211.0970326","79.5333302","896.6435636","focused_child_inventory_route_gini_relaxation","results\paper_bpc_core\raw\v12_m1_average_core_1200s.json"
"v12_m1_average_core_1200s_depth5_default","regen_candidate_V12_M1_average.txt","5","0.34028208837","0.357200583208","0.0473641299419","1200.0186893","3","29","42","0","269.381414","120.9521829","804.5765858","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_1200s_depth5_default.json"
"v12_m1_average_core_300s_depth5_default","regen_candidate_V12_M1_average.txt","5","0.34028208837","0.357200583208","0.0473641299419","300.5033557","3","3","8","0","268.3230465","12.1769487","15.8856785","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth5_default.json"
"v12_m1_average_core_300s_depth6_default","regen_candidate_V12_M1_average.txt","6","0.341121462223","0.357200583208","0.0450142629691","301.1159164","3","3","6","0","289.9507937","0","0","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_depth6_default.json"
"v12_m1_average_core_300s_label_dominance_trace","regen_candidate_V12_M1_average.txt","default","0.34028208837","0.357200583208","0.0473641299419","300.4579139","3","3","8","0","268.6978542","12.0863611","15.4506252","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_label_dominance_trace.json"
"v12_m1_average_core_300s_split_before_tree","regen_candidate_V12_M1_average.txt","3","0.331296710948","0.357200583208","0.0725191208467","298.3304346","3","3","9","0","210.2058157","7.3961968","66.750391","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_split_before_tree.json"
"v12_m1_average_core_300s_split_completion_lb","regen_candidate_V12_M1_average.txt","3","0.331296710948","0.357200583208","0.0725191208467","298.1064368","3","3","9","0","211.2660991","7.3464532","58.9066437","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_split_completion_lb.json"
"v12_m1_average_core_300s_split_depth5","regen_candidate_V12_M1_average.txt","5","0.34028208837","0.357200583208","0.0473641299419","300.5099577","3","3","8","0","268.2791278","12.1130208","15.9286551","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m1_average_core_300s_split_depth5.json"
"v12_m2_average_core_1200s","regen_candidate_V12_M2_average.txt","default","0.469117173935","0.719065249476","0.347601383495","1201.4843674","2","12","53","0","66.3427594","233.3733701","873.2299947","adaptive_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_1200s.json"
"v12_m2_average_core_1200s_depth5_default","regen_candidate_V12_M2_average.txt","5","0.710439004053","0.719065249476","0.0119964710145","1195.0402102","2","2","56","0","216.7553962","173.6668023","795.3111719","branch_price_tree","results\paper_bpc_core\raw\v12_m2_average_core_1200s_depth5_default.json"
"v12_m2_average_core_1200s_split_before_tree","regen_candidate_V12_M2_average.txt","3","0.703291904615","0.719065249476","0.0219359020237","1185.5268927","1","1","55","1","160.8085539","191.4461219","821.1792326","focused_child_inventory_route_gini_relaxation","results\paper_bpc_core\raw\v12_m2_average_core_1200s_split_before_tree.json"
"v12_m2_average_core_300s_depth5_default","regen_candidate_V12_M2_average.txt","5","0.706200471341","0.719065249476","0.0178909746296","297.1804171","2","2","15","0","215.774227","27.5379829","45.4596471","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_depth5_default.json"
"v12_m2_average_core_300s_depth6_default","regen_candidate_V12_M2_average.txt","6","0.713690734357","0.719065249476","0.00747430796209","295.1727516","3","3","13","0","251.6613127","16.11788","11.728054","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_depth6_default.json"
"v12_m2_average_core_300s_split_before_tree","regen_candidate_V12_M2_average.txt","3","0.69696684314","0.719065249476","0.0307321294594","273.9229962","2","2","17","0","160.3665865","33.1595589","70.2706739","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_split_before_tree.json"
"v12_m2_average_core_300s_split_completion_lb","regen_candidate_V12_M2_average.txt","3","0.69696684314","0.719065249476","0.0307321294594","289.8445419","2","2","16","0","160.407179","28.3496167","90.9342476","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_split_completion_lb.json"
"v12_m2_average_core_300s_split_depth4","regen_candidate_V12_M2_average.txt","4","0.703291904615","0.719065249476","0.0219359020237","290.2616184","2","2","15","0","190.0761874","26.3121011","67.5711695","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_split_depth4.json"
"v12_m2_average_core_300s_split_depth5","regen_candidate_V12_M2_average.txt","5","0.706200471341","0.719065249476","0.0178909746296","298.0865947","2","2","15","0","216.5309273","27.4775317","45.7709968","focused_split_inherited_parent_lb","results\paper_bpc_core\raw\v12_m2_average_core_300s_split_depth5.json"
