variable,type,value,readback
G,C,0.13333333333333333,0.13333333333333333
e_1,C,0,0
e_2,C,0.5,0.5
e_3,C,0,0
h_1_2,C,0.5,0.5
h_1_3,C,0,0
h_2_3,C,0.5,0.5
r_1,C,1,1
r_2,C,0.5,0.5
r_3,C,1,1
W_SP,C,1.25,1.25
x_0_0_1,B,1,1
x_0_0_2,B,0,0
x_0_0_3,B,0,0
x_0_1_0,B,1,1
x_0_2_0,B,0,0
x_0_3_0,B,0,0
x_0_2_1,B,0,0
x_0_3_1,B,0,0
z_0_1,B,1,1
x_0_1_2,B,0,0
x_0_1_3,B,0,0
x_0_3_2,B,0,0
z_0_2,B,0,0
x_0_2_3,B,0,0
z_0_3,B,0,0
x_1_0_1,B,0,0
x_1_0_2,B,0,0
x_1_0_3,B,0,0
x_1_1_0,B,0,0
x_1_2_0,B,0,0
x_1_3_0,B,0,0
x_1_2_1,B,0,0
x_1_3_1,B,0,0
z_1_1,B,0,0
x_1_1_2,B,0,0
x_1_1_3,B,0,0
x_1_3_2,B,0,0
z_1_2,B,0,0
x_1_2_3,B,0,0
z_1_3,B,0,0
conn_0_0_1,C,1,1
conn_0_0_2,C,0,0
conn_0_0_3,C,0,0
conn_0_1_0,C,0,0
conn_0_1_2,C,0,0
conn_0_1_3,C,0,0
conn_0_2_0,C,0,0
conn_0_2_1,C,0,0
conn_0_2_3,C,0,0
conn_0_3_0,C,0,0
conn_0_3_1,C,0,0
conn_0_3_2,C,0,0
conn_1_0_1,C,0,0
conn_1_0_2,C,0,0
conn_1_0_3,C,0,0
conn_1_1_0,C,0,0
conn_1_1_2,C,0,0
conn_1_1_3,C,0,0
conn_1_2_0,C,0,0
conn_1_2_1,C,0,0
conn_1_2_3,C,0,0
conn_1_3_0,C,0,0
conn_1_3_1,C,0,0
conn_1_3_2,C,0,0
Y_1,I,2,2
Y_2,I,1,1
Y_3,I,2,2
d_0_1,I,0,0
d_0_2,I,0,0
d_0_3,I,0,0
d_1_1,I,0,0
d_1_2,I,0,0
d_1_3,I,0,0
ord_0_1,C,1,1
ord_0_2,C,0,0
ord_0_3,C,0,0
ord_1_1,C,0,0
ord_1_2,C,0,0
ord_1_3,C,0,0
p_0_1,I,1,1
mode_0_1,B,1,1
load_0_1,I,1,1
p_0_2,I,0,0
mode_0_2,B,0,0
load_0_2,I,0,0
p_0_3,I,0,0
mode_0_3,B,0,0
load_0_3,I,0,0
p_1_1,I,0,0
mode_1_1,B,0,0
load_1_1,I,0,0
p_1_2,I,0,0
mode_1_2,B,0,0
load_1_2,I,0,0
p_1_3,I,0,0
mode_1_3,B,0,0
load_1_3,I,0,0
state_g_1_0,C,0,0
state_1_0,B,0,0
state_g_1_1,C,0,0
state_1_1,B,0,0
state_g_1_2,C,0.13333333333333333,0.13333333333333333
state_1_2,B,1,1
state_g_1_3,C,0,0
state_1_3,B,0,0
state_g_1_4,C,0,0
state_1_4,B,0,0
zprod_1,C,0.26666666666666666,0.26666666666666666
state_g_2_1,C,0.13333333333333333,0.13333333333333333
state_2_1,B,1,1
zprod_2,C,0.13333333333333333,0.13333333333333333
state_g_3_2,C,0.13333333333333333,0.13333333333333333
state_3_2,B,1,1
zprod_3,C,0.26666666666666666,0.26666666666666666
r_max,C,1,1
r_min,C,0.5,0.5
