instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
high_imbalance_seed3202.txt,20260626,1,greedy,deterministic_tgbc_greedy_mode_0,1.78967,0.578654,8.07341,3,8,72,59,13,"3501.68|3543.12|3596.09",true,0.0002506,true,
high_imbalance_seed3202.txt,20260626,2,greedy,deterministic_tgbc_greedy_mode_1,1.75768,0.556091,8.01062,3,9,71,71,0,"3549.01|3543.12|3555.36",true,0.0004411,true,
high_imbalance_seed3202.txt,20260626,3,greedy,deterministic_tgbc_greedy_mode_2,1.77367,0.568972,8.03133,3,9,72,59,13,"3588.88|3511.48|3596.09",true,0.0006662,false,
