state_id,arm,variant,cap_seconds,executable_sha256,engineering_valid,closure_valid,closure_converged,fallback_required,certificate,false_certificate,native_status,lower_bound,verified_upper_bound,gap,normalized_gap_integral,total_work,closure_work,terminal_work,process_time_seconds,closure_solver_time_seconds,terminal_solver_time_seconds,nodes,simplex_iterations,first_incumbent_work,first_incumbent_time_seconds,peak_memory_gb,root_lp_objective,root_closure_bound,root_bound_gain,closure_rounds,cuts_generated,cuts_added,model_rows,model_columns,model_nonzeros,subset_duration_rows,artifact_dir
D1,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.045001550055628343,0.04500155005562836,3.0838466209851717e-16,0.05813772710409575,431.31657427130114,0.06078865937692022,431.25578561192424,283.510621,0.02499985694885254,283.396999835968,34270,5396712.0,29.023288373237232,18.9405134,0.075242397,0.020977495607439202,0.020977495607439202,0,1,0,0,3764,1404,16888,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D1
D2,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.5045438314681878,0.5045438521642074,4.101926814885713e-08,0.004040011401638112,5.925226332818792,0.03808940610846679,5.887136926710325,4.3105087,0.01900005340576172,4.236999988555908,1036,63853.0,0.7979271725129139,0.6054964,0.019458882,0.1585879001582244,0.1585879001582244,0,1,0,0,2650,1037,10431,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D2
D3,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.5063433075652058,0.506343307565206,2.1926290088907398e-16,0.07987385293960475,237.663150437687,0.08301701828652057,237.58013341940048,148.0302506,0.03600001335144043,147.89199995994568,30167,1404169.0,8.35277558671614,5.6364569,0.092616774,0.09394825539359326,0.09394825539359326,0,1,0,0,3757,1402,16319,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D3
D4,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.5063433075652061,0.506343307565206,0,0.02581646388150168,76.73946780513269,0.11082275261107458,76.62864505252162,48.8989981,0.04699993133544922,48.77199983596802,11847,434789.0,23.11334332648588,15.1632556,0.055245077,0.09394825539359326,0.09394825539359326,0,1,0,0,3757,1402,16319,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D4
D5,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,INFEASIBLE,1e+100,0.506422789224163,0,0.000791812908559242,2.5649393030684013,0.15456764778926801,2.410371655279133,1.7300499,0.06199979782104492,1.5970001220703125,39,10180.0,-1,-1,0.030931795,0.32496933294190866,0.32496933294190866,0,1,0,0,3757,1402,16465,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D5
D6,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.7062530985290787,0.7062530985290749,0,0.0023316311256269674,6.733077069207921,0.07037685205593434,6.662700217151986,4.6083504,0.032000064849853516,4.519000053405762,1661,67406.0,2.7153613084450035,1.9892046,0.022348672,0.2092648777189227,0.2092648777189227,0,1,0,0,2731,1014,11129,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D6
D7,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,OPTIMAL,0.7062530985290773,0.7062530985290749,0,0.001524253907834988,3.6254441332459493,0.06704417358015831,3.558399959665791,2.7047369,0.029999971389770508,2.615000009536743,609,27849.0,2.1471316735625283,1.5908275,0.020490339,0.20926487771892258,0.20926487771892258,0,1,0,0,2731,1014,11129,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D7
D8,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,INFEASIBLE,1e+100,0.7062530985290749,0,0.0002568474692788865,0.3056851200605815,0.05362456548463694,0.25206055457594456,0.2763943,0.026000022888183594,0.18799996376037598,1,1838.0,-1,-1,0.012213243,0.5280661958710967,0.5280661958710967,0,1,0,0,2731,1014,11271,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D8
D9,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,0,False,TIME_LIMIT,0.5449584418030904,0.6007044366851081,0.09280103737812077,0.11518098543948618,640.8874565191816,0.733208589092512,640.154247930089,298.0483682,0.25999999046325684,297.6229999065399,1573,1365651.0,-1,-1,0.161635469,0.407329005858862,0.407329005858862,0,1,0,0,10870,3372,53465,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D9
D10,F0-CLEAN,F0-CLEAN,300,55ac7778f8e4a1c009b6d1cc8c4cc5d3b40a54ac241cce5a633363a0a571f441,True,1,1,0,1,False,INFEASIBLE,1e+100,0.6007044366851081,0,0.015571429313399608,200.1200308314165,0.8144403878217251,199.30559044359478,100.6730417,0.32000017166137695,100.19000005722046,802,268470.0,-1,-1,0.146988206,0.436990114912075,0.436990114912075,0,1,0,0,10870,3372,53465,0,results/gf_k1_am_sf_inventory_route_round54/local_raw/fixed_interval_300s/F0-CLEAN/D10
