stage,cap_seconds,state_id,f0_certificate,ir1_certificate,certificate_gain,certificate_loss,f0_work,ir1_work,shifted_work_ratio,f0_gi,ir1_gi,gi_delta,f0_gap,ir1_gap,severe_regression,severe_reason,material_hard_state_improvement,material_reason
fixed_interval_300s,300,D1,1,0,0,1,431.31657427130114,459.6508028211179,1.0655404632532908,0.05813772710409575,0.1296398304779672,0.07150210337387145,3.0838466209851717e-16,0.10416438590429374,True,lost_baseline_certificate,False,none
fixed_interval_300s,300,D2,1,1,0,0,5.925226332818792,8.581773129056884,1.3836043283738846,0.004040011401638112,0.0057929294880829695,0.0017529180864448574,4.101926814885713e-08,0,False,none,False,not_predeclared_hard_state
fixed_interval_300s,300,D3,1,1,0,0,237.663150437687,241.2976723061349,1.015228667943847,0.07987385293960475,0.07401143754011909,-0.005862415399485663,2.1926290088907398e-16,0,False,none,False,none
fixed_interval_300s,300,D4,1,1,0,0,76.73946780513269,59.10790912739958,0.7731968178386603,0.02581646388150168,0.02265354982363662,-0.0031629140578650593,0,2.1926290088907398e-16,False,none,True,exact_work_reduction
fixed_interval_300s,300,D5,1,1,0,0,2.5649393030684013,3.337295162128172,1.2166532985274086,0.000791812908559242,0.0009656867387702634,0.0001738738302110214,0,0,False,none,False,not_predeclared_hard_state
fixed_interval_300s,300,D6,1,1,0,0,6.733077069207921,7.33146763372842,1.077380654449082,0.0023316311256269674,0.002807659864682551,0.0004760287390555835,0,1.5719903062194508e-16,False,none,False,none
fixed_interval_300s,300,D7,1,1,0,0,3.6254441332459493,5.143469399351202,1.3281901634470643,0.001524253907834988,0.002158923207262936,0.0006346692994279482,0,0,False,none,False,not_predeclared_hard_state
fixed_interval_300s,300,D8,1,1,0,0,0.3056851200605815,0.7359141454551568,1.329504425519235,0.0002568474692788865,0.00045823942496743016,0.00020139195568854364,0,0,False,none,False,not_predeclared_hard_state
fixed_interval_300s,300,D9,0,0,0,0,640.8874565191816,625.1063705475397,0.9754145593415715,0.11518098543948618,0.13518695522983498,0.0200059697903488,0.09280103737812077,0.11442740236291057,False,none,False,none
fixed_interval_300s,300,D10,1,1,0,0,200.1200308314165,190.54043367247385,0.9523687565115158,0.015571429313399608,0.02198106513749483,0.006409635824095221,0,0,False,none,False,not_predeclared_hard_state
fixed_interval_300s,300,D11,0,0,0,0,627.2007715123038,620.8958978086636,0.9899636008270697,0.04316074252159056,0.058219233595303996,0.015058491073713438,0.015901444654828244,0.03569475040473106,False,none,False,not_predeclared_hard_state
fixed_interval_300s,300,D12,1,1,0,0,115.94703441534723,130.2806475067114,1.1225649984458532,0.05063133775542828,0.06200851795813919,0.011377180202710911,1.3725171758618295e-15,1.094874970619854e-07,False,none,False,none
fixed_interval_300s,300,D13,1,0,0,1,470.5120101353637,604.9965440861225,1.2852197421485625,0.018536759225193673,0.024121796860806278,0.005585037635612605,0,0.012630231067107981,True,lost_baseline_certificate,False,none
fixed_interval_300s,300,D14,0,0,0,0,641.5341129189554,598.7562578941067,0.9334232157254437,0.08249536738612254,0.08341677259915646,0.000921405213033924,0.015551376060316213,0.030170182791906287,False,none,False,none
