mechanism,stable_active,representative_D1_rows,preset_source,audit_pass
exhaustive_subset_duration_block,False,0,src/PaperK1AmSf.cpp,True
gini_spread_cuts,False,0,src/PaperK1AmSf.cpp,True
required_movement_cuts,False,0,src/PaperK1AmSf.cpp,True
transfer_cutset_cuts,False,0,src/PaperK1AmSf.cpp,True
subset_inventory_cuts,False,0,src/PaperK1AmSf.cpp,True
dynamic_support_duration_callback,False,0,src/PaperK1AmSf.cpp,True
tailored_dynamic_user_cuts,False,0,src/PaperK1AmSf.cpp,True
inventory_route_root_closure,False,0,src/PaperK1AmSf.cpp,True
custom_branching_priorities,False,0,src/PaperK1AmSf.cpp,True
symmetry_research,False,0,src/PaperK1AmSf.cpp,True
