state_id,variant,round,lp_valid,lp_infeasible,lp_objective,lp_work,lp_time,lp_simplex_iterations,max_in_violation,in_subset,max_out_violation,out_subset,max_proj_in_violation,proj_in_subset,max_proj_out_violation,proj_out_subset,cuts_generated,cuts_added,duplicates,dominated,nonviolated,status
D1,IR1-mixed-full-closure,0,1,0,0.020977495607439202,0.060788659376920219,0.025000095367431641,647,0,,8.4547419610033039,6;9;11;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,1,1,0,0.020977495607439202,0.062978612249371638,0.024999856948852539,694,3.5113483425017309,7;10,2.8536821935383236,1;12,0,,0,,2,2,0,0,0,cuts_added_reoptimize
D1,IR1-mixed-full-closure,2,1,0,0.020977495607439202,0.053880745819434674,0.023000001907348633,528,0,,2.1724137931034484,1;6;9;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,3,1,0,0.020977495607439202,0.067994859519302231,0.026999950408935547,779,0,,2.4999999999999982,3;6;9;11;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,4,1,0,0.020977495607439202,0.051871842859057084,0.02200007438659668,553,0,,2.9230769230769234,3;6;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,5,1,0,0.020977495607439202,0.058722094681318324,0.023999929428100586,665,0,,6.8625052352366307,1;6;11;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,6,1,0,0.020977495607439202,0.070705830464120531,0.029000043869018555,720,7.3337816773949793,5;8,5.4045092838196309,1;3;6;9;11;12,0,,0,,2,2,0,0,0,cuts_added_reoptimize
D1,IR1-mixed-full-closure,7,1,0,0.020977495607439202,0.05800834091586423,0.023999929428100586,613,0,,3.277477215058104,11;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,8,1,0,0.020977495607439202,0.058904645547665543,0.023999929428100586,639,0,,1,3;9;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,9,1,0,0.020977495607439202,0.067688042867896384,0.0279998779296875,764,0,,2.9170670228052469,3;6;9;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,10,1,0,0.020977495607439202,0.074413033533165404,0.029999971389770508,800,0,,1.5000000000000007,6;12,0,,0,,2,1,0,0,1,cuts_added_reoptimize
D1,IR1-mixed-full-closure,11,1,0,0.020977495607439202,0.061264032092337703,0.024999856948852539,665,0,,0,,0,,0,,2,0,0,0,2,mathematical_closure_complete
D2,IR1-mixed-full-closure,0,1,0,0.15858790015822441,0.03808940610846679,0.018999814987182617,686,5.5542001309646407,3;5;10,9.856325121738724,1;2;7;8,0,,0,,2,2,0,0,0,cuts_added_reoptimize
D2,IR1-mixed-full-closure,1,1,0,0.15858790015822441,0.037376834395514584,0.019999980926513672,592,3.3542454150753356,3;5;9,2.1316886879417094,1;7;8,0,,0,,2,2,0,0,0,cuts_added_reoptimize
