role,instance,canonical_preset,legacy_alias_requested,legacy_alias_canonicalized_to,audit_cap_seconds,deterministic_settings_match,controller_actions_match,interval_endpoints_match,model_file_count,model_fingerprints_match,objective_match,bounds_match,certificate_class_match,semantic_equivalence,bitwise_runtime_equivalence_required,canonical_result,legacy_result
major,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,paper-k1-am-sf,k1-am-f0,paper-k1-am-sf,20,True,True,True,3,True,True,True,True,True,False,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/major/canonical/result.json,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/major/legacy_alias/result.json
strong_control,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,paper-k1-am-sf,k1-am-f0,paper-k1-am-sf,20,True,True,True,3,True,True,True,True,True,False,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/strong_control/canonical/result.json,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/strong_control/legacy_alias/result.json
v10_easy_negative,round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,paper-k1-am-sf,k1-am-f0,paper-k1-am-sf,20,True,True,True,3,True,True,True,True,True,False,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/v10_easy_negative/canonical/result.json,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/v10_easy_negative/legacy_alias/result.json
numerical_endpoint,round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,paper-k1-am-sf,k1-am-f0,paper-k1-am-sf,120,True,True,True,3,True,True,True,True,True,False,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/numerical_endpoint/canonical/result.json,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/numerical_endpoint/legacy_alias/result.json
v20_sentinel,round52_validation_moderate_3600_V20_M3_seed1783533980.txt,paper-k1-am-sf,k1-am-f0,paper-k1-am-sf,20,True,True,True,0,True,True,True,True,True,False,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/v20_sentinel/canonical/result.json,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/v20_sentinel/legacy_alias/result.json
v50_sentinel,round52_validation_moderate_3600_V50_M3_seed664120090.txt,paper-k1-am-sf,k1-am-f0,paper-k1-am-sf,20,True,True,True,0,True,True,True,True,True,False,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/v50_sentinel/canonical/result.json,results/gf_k1_am_sf_inventory_route_round54/local_raw/paper_preset_semantic/v50_sentinel/legacy_alias/result.json
