state_id,baseline,candidate,reason,f0_certificate,ir1_certificate,gate_effect
D1,F0-CLEAN,IR1,lost_baseline_certificate,1,0,reject Stage B
D13,F0-CLEAN,IR1,lost_baseline_certificate,1,0,reject Stage B
