instance,status,previous_best_gap,notes
high_imbalance_seed3201,not rerun this round,0.0682096293371,secondary target deferred because priority target did not close
tight_T_seed3102,not rerun this round,0.168318012854,secondary target deferred because priority target did not close
moderate_seed3302,not rerun this round,0.329231102492,secondary target deferred because priority target did not close
