interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,focused_update_available,focused_safe_to_merge,focused_merge_reason
0,0,0.316666666667,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,19.0440964,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
1,0.316666666667,0.633333333333,1.61719766358,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,90.5727029,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
2,0.633333333333,0.95,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,16.9005891,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
3,0.316666666667,0.475,1.74931345205,1.74931345205,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,19.0438561,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
4,0.475,0.633333333333,1.65415045452,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,88.585428,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
5,0.475,0.554166666667,1.65415045452,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,89.1697934,adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
6,0.554166666667,0.633333333333,1.65415045452,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,88.0626837,adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
7,0.475,0.514583333333,1.65415045452,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,89.5149298,adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
8,0.514583333333,0.554166666667,1.69375051373,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,88.1734902,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,false,false,no_safe_full_coverage_merge_performed
9,0.554166666667,0.59375,1.65415045452,1.74931345205,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,88.0209527,adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb,false,false,no_safe_full_coverage_merge_performed
