leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.258,0.437063,1,425,0,0.258,0.437063,1,425,0,0
L1,0,30,0.578,1.27926,1,4643,0,0.578,1.27926,1,4643,0,0
L2,0,30,30.001,61.1633,84,97934,0,30.001,61.1633,84,97934,0,0
L3,0,30,0.354,0.637957,1,1444,0,0.354,0.637957,1,1444,0,0
L2,1,60,60.002,111.093,572,272105,0,90.003,172.256,656,370039,0,0
L2.0,0,30,30.001,61.8332,471,156996,0,30.001,61.8332,471,156996,0,0
L2.1,0,30,2.183,4.24638,1,12989,0,2.183,4.24638,1,12989,0,0
L2.0,1,60,60.004,112.277,771,340301,0,90.005,174.11,1242,497297,0,0
L2.0.0,0,30,30,64.5473,206,140890,0,30,64.5473,206,140890,0,0
L2.0.1,0,30,30,63.2196,738,211494,0,30,63.2196,738,211494,0,0
L2.0.0,1,29.3385,29.343,58.4394,554,274011,0,59.343,122.987,760,414901,0,0
