instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
round32_multi_m_moderate_V20_M2_seed479269984.txt,20260626,1,greedy,deterministic_tgbc_greedy_mode_0,0.621754,0.169071,3.01789,2,9,41,29,12,"3434.1|3599.72",true,0.0003594,true,
round32_multi_m_moderate_V20_M2_seed479269984.txt,20260626,2,greedy,deterministic_tgbc_greedy_mode_1,0.634958,0.180069,3.03259,2,9,44,27,17,"3543.69|3593.51",true,0.0006559,false,
round32_multi_m_moderate_V20_M2_seed479269984.txt,20260626,3,greedy,deterministic_tgbc_greedy_mode_2,0.805138,0.228263,3.84583,2,7,51,28,23,"3534.67|3539.93",true,0.0009078,false,
