number,id,arm,stage,path,actual_rows,actual_columns,actual_nonzeros,native_root_relaxation_objective,native_root_relaxation_iterations,native_root_relaxation_seconds,native_reported_user_cuts,user_cut_count_scope
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_0.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_1.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_10.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_11.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_12.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_13.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_14.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_15.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_16.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_17.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_18.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_19.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_2.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_20.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_21.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_22.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_23.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_3.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_4.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_5.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_6.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_7.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_8.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
1,micro,explicit-flow-projection,micro_v1,results\gf_cumulative_time_resource_round63\local_raw\micro_v1\lp_9.log,4,16,28,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
2,D3,F0-explicit-simple-closure,strength_v1,results\gf_cumulative_time_resource_round63\local_raw\strength_v1\D3\lp_0.log,4143,1406,20074,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
2,D3,F0-explicit-simple-closure,strength_v1,results\gf_cumulative_time_resource_round63\local_raw\strength_v1\D3\lp_1.log,4611,1838,22234,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
2,D3,F0-explicit-simple-closure,strength_v1,results\gf_cumulative_time_resource_round63\local_raw\strength_v1\D3\lp_10.log,4167,1406,22290,,,,,aggregate native log summary; no per-submission adoption identity; omitted is unavailable
