id,stage,scope,baseline,candidate,baseline_number,candidate_number,cap,baseline_certified,candidate_certified,baseline_wall,candidate_wall,baseline_UB,candidate_UB,baseline_LB,candidate_LB,baseline_absolute_gap,candidate_absolute_gap,baseline_relative_gap,candidate_relative_gap,baseline_Work,candidate_Work,exe_sha256,certification_seconds_saved,certification_fraction_saved,decision,absolute_gap_saved,gap_fraction_saved,link_reason
D4,screen_v1,fixed_F0_improving_domain,off,simple,6,8,120,True,True,90.125,115.82800000021234,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433059214577,3.1921121301792255e-10,1.643748248625343e-09,6.304244733733646e-10,3.246311788990445e-09,140.87267731766892,185.4314603312125,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,-25.70300000021234,-0.2851927877970856,time_loss,,,
D4,screen_v1,fixed_F0_improving_domain,off,precrush,6,9,120,True,True,90.125,89.59299999987707,0.506343307565206,0.506343307565206,0.5063433072459947,0.506343307565206,3.1921121301792255e-10,0,6.304244733733646e-10,0,140.87267731766892,140.62474354253803,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,0.5320000001229346,0.0059029126227232685,below_time_threshold,,,
D4,screen_v1,fixed_F0_improving_domain,off,dry,6,10,120,True,True,90.125,89.76599999982864,0.506343307565206,0.506343307565206,0.5063433072459947,0.506343307565206,3.1921121301792255e-10,0,6.304244733733646e-10,0,140.87267731766892,140.62474354253803,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,0.35900000017136335,0.003983356451277263,below_time_threshold,,,
D4,screen_v1,fixed_F0_improving_domain,off,cuts,6,11,120,True,True,90.125,95.89000000013039,0.506343307565206,0.506343307565206,0.5063433072459947,0.5063433075652047,3.1921121301792255e-10,1.2212453270876722e-15,6.304244733733646e-10,2.411891909779814e-15,140.87267731766892,149.8871699486331,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,-5.765000000130385,-0.06396671290019845,below_time_threshold,,,
D4,screen_v1,fixed_F0_improving_domain,precrush,dry,9,10,120,True,True,89.59299999987707,89.76599999982864,0.506343307565206,0.506343307565206,0.506343307565206,0.506343307565206,0,0,0,0,140.62474354253803,140.62474354253803,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,-0.17299999995157123,-0.0019309544267053075,below_time_threshold,,,
D4,screen_v1,fixed_F0_improving_domain,dry,cuts,10,11,120,True,True,89.76599999982864,95.89000000013039,0.506343307565206,0.506343307565206,0.506343307565206,0.5063433075652047,0,1.2212453270876722e-15,0,2.411891909779814e-15,140.62474354253803,149.8871699486331,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,-6.1240000003017485,-0.0682218211830029,below_time_threshold,,,
D7,screen_v1,fixed_F0_improving_domain,off,explicit,12,13,120,False,False,118.43699999991804,118.5,0.6712367708118434,0.3650270765535112,0.1950760955582813,0.19550134131574382,0.4761606752535621,0.16952573523776737,0.7093781150839787,0.46441961741135585,285.72782825290034,268.23645275254694,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_gain,0.3066349400157947,0.643973675172792,
D7,screen_v1,fixed_F0_improving_domain,off,simple,12,14,120,False,False,118.43699999991804,118.45300000021234,0.6712367708118434,0.7097967772864036,0.1950760955582813,0.19450636751996944,0.4761606752535621,0.5152904097664341,0.7093781150839787,0.7259689340044919,285.72782825290034,289.4820709759513,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_loss,-0.03912973451287205,-0.08217758531200614,
D7,screen_v1,fixed_F0_improving_domain,off,precrush,12,15,120,False,False,118.43699999991804,118.43800000008196,0.6712367708118434,0.5063391537494674,0.1950760955582813,0.19521824512405528,0.4761606752535621,0.3111209086254121,0.7093781150839787,0.6144516107860627,285.72782825290034,287.36774033169047,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_gain,0.16503976662815,0.3466052011545558,
D7,screen_v1,fixed_F0_improving_domain,off,dry,12,16,120,False,False,118.43699999991804,118.43800000008196,0.6712367708118434,0.5063391537494674,0.1950760955582813,0.19521824512405528,0.4761606752535621,0.3111209086254121,0.7093781150839787,0.6144516107860627,285.72782825290034,286.80440253285843,04038c73384bfc40c40318df80f65534c7392f278da34f34a2167a21b1b3e3ae,,,gap_gain,0.16503976662815,0.3466052011545558,
