id,query,arm,vehicle,maximum_violation,all_violation,max_singleton_violation,support_size,seconds
D3,0,F0,0,0.849901622216789,0.8208194217401259,0.12159874089261224,7,0.063575800000000002
D3,0,F0,1,0.14535860201588582,0.14535860201588582,0,4,0.063966599999999998
D3,0,F0,2,0.38288542447557689,0.38288542447557689,0.18882760256370598,3,0.064240199999999997
D3,1,explicit,0,0,-2.7929386776405496e-16,2.8297676701871666e-17,0,0.14286760000000001
D3,1,explicit,1,0,2.2497195079074217e-17,0,0,0.1430196
D3,1,explicit,2,0,-0.093645744129153399,2.2509900573283032e-19,0,0.1431656
D3,2,simple,0,0.021416803513661681,1.2056328158038809e-16,3.7161029461940664e-17,6,0.20454610000000001
D3,2,simple,1,0,-0.014660080604058328,0,0,0.20484910000000001
D3,2,simple,2,0.20847589368746247,1.3691461735242192e-16,2.5505856107721492e-17,3,0.20501140000000001
D3,24,closure,0,0,-1.2666530693240807e-17,2.1684043449710089e-18,0,1.2963750000000001
D3,24,closure,1,0,4.9683564554148241e-17,0,0,1.2965335
D3,24,closure,2,0,1.4157774548529366e-16,3.8087683506236869e-17,0,1.2966882
D4,0,F0,0,0.87861562599200316,0.87861562599200316,0.16096938197787017,8,0.0738925
D4,0,F0,1,0.87861562599200316,0.87861562599200316,0.20806003511637577,7,0.074314099999999994
D4,0,F0,2,0.87947503074883071,0.87861562599200294,0.12535175819173064,8,0.074707499999999996
D4,1,explicit,0,0,-2.1625835345574773e-15,0,0,0.20316429999999999
D4,1,explicit,1,0,4.889751797909625e-17,3.5724461583397371e-17,0,0.20331399999999999
D4,1,explicit,2,0,1.6520530603247874e-17,1.3606737264693081e-17,0,0.20345840000000001
D4,2,simple,0,0.28097255441616525,2.300202671563778e-17,9.6765043894331271e-18,3,0.288634
D4,2,simple,1,0.27432391619427909,3.1699361018044936e-17,4.6295432765131039e-17,2,0.28891660000000002
D4,2,simple,2,0.25218147203220909,2.0513274510015195e-16,3.3528952184114225e-17,4,0.28916789999999998
D4,22,closure,0,0,-1.4517738140124026e-15,8.8091426514447235e-18,0,2.4211573999999998
D4,22,closure,1,0,-2.1846504368993463e-15,5.3602955407683339e-16,0,2.4213094000000002
D4,22,closure,2,0,5.9910640359296663e-17,6.4726869697384615e-17,0,2.4214563
D6,0,F0,0,0.2359958333449117,2.2113489153968019e-17,0,27,0.41906320000000002
D6,0,F0,1,0,-0.020390471022032806,0,0,0.42142560000000001
D6,0,F0,2,0.0062889187280218009,-0.20375244349740634,0,3,0.42237910000000001
D6,1,explicit,0,0,1.0549880061347036e-16,0,0,1.0944079
D6,1,explicit,1,0,-0.69631410318764086,0,0,1.0956311000000001
D6,1,explicit,2,0,-0.61382595876672663,0,0,1.0965423999999999
D6,2,simple,0,0.003479116633801817,-2.385435361881242e-16,0,16,1.580074
D6,2,simple,1,0,-0.74096460138337139,0,0,1.5818956
D6,2,simple,2,0.12907308341954971,1.3879016005587975e-15,0,18,1.5830831999999999
D6,13,closure,0,0,-0.45278871949961147,0,0,6.5812501000000001
D6,13,closure,1,0,-0.7367136682307539,0,0,6.5821395000000003
D6,13,closure,2,0,-0.37614808099197727,0,0,6.5831811
D7,0,F0,0,0.77798299534272863,0.77798299534272863,0,34,2.9761082000000001
D7,0,F0,1,0.018152128457542126,0.018152128457542126,0,17,2.9822263000000002
D7,0,F0,2,0,-0.28450515721531278,0,0,2.9865946000000001
D7,0,F0,3,0.09527596846574439,-0.52439434780782568,0,6,2.9894153000000001
D7,1,explicit,0,0,-2.6481680414605809e-15,0,0,8.4653282000000001
D7,1,explicit,1,0,-0.29412140299159056,0,0,8.4678251000000007
D7,1,explicit,2,0,-0.48152369558687735,0,0,8.4702973000000004
D7,1,explicit,3,0,-2.0532338045284337e-16,0,0,8.4727917000000001
D7,2,simple,0,0.79817741061456249,-5.5933329392828315e-15,0,31,11.753471899999999
D7,2,simple,1,0.22396662746690835,-0.46534272980116437,0,8,11.759231099999999
D7,2,simple,2,0.44225256727335044,8.3338627238614422e-15,0,16,11.7633262
D7,2,simple,3,0,-0.51394504531801422,1.1206318472429396e-13,0,11.767632499999999
D7,35,closure,0,0.082830786558522829,-0.097131455760302104,0,5,117.39178320000001
D7,35,closure,1,0.058744892208389764,-1.8116933598938054e-16,0,22,117.3955873
D7,35,closure,2,0.075280786348862969,-0.47655397776343217,0,7,117.4006485
D7,35,closure,3,0.12657754948651906,-0.35944981479671517,0,15,117.4045048
