id,optimizer_calls,query_limit,maxflow_calls,generated_rows,closed,F0,explicit,simple,closure,projection_objective_agrees,separation_seconds,process_seconds,parameter_roundtrip
D3,25,67,78,61,1,0.02055001075057826,0.02055001075057826,0.02055001075057826,0.02055001075057826,1,0.024049000000000004,1.3000145,1
D4,23,67,72,56,1,0.09394825539359326,0.2629435542957363,0.2568758512579428,0.26294355429573657,1,0.024884299999999998,2.4248009,1
D6,14,67,45,18,1,0.1256918309462151,0.1256918309462151,0.1256918309462151,0.1256918309462151,1,0.06133829999999999,6.5930674,1
D7,36,67,148,106,0,0.1751431846058231,0.1751431846058232,0.1751431846058231,0.1751431846058231,0,0.6152677999999998,117.4095866,1
