id,optimizer_calls,query_limit,maxflow_calls,explicit,coupled,explicit_point_maximum_carried_violation,pinned_explicit_feasible,pinned_coupled_feasible,pinned_coupled_infeasible,original_variables_pinned,carried_rows,process_seconds,parameter_roundtrip
D6,4,4,0,0.1256918309462151,0.1256918309462151,0,1,1,0,6991,90,1.6066211,1
D7,4,4,0,0.1751431846058232,0.1751431846058231,0,1,1,0,23563,200,12.386581,1
