attempt_start_seconds,attempt_end_seconds,leaf_id,parent_id,depth,gamma_L,gamma_U,attempt,new_leaf,selected_while_controlling,controlling_leaves_before,controlling_leaves_after,open_leaves_before,closed_leaves_before,open_leaves_after,closed_leaves_after,allocated_time_seconds,solver_runtime_seconds,native_status,native_status_code,optimize_return_code,leaf_lb_before,native_bound,native_bound_available,leaf_lb_after,global_lb_before,global_lb_after,verified_ub_before,verified_ub_after,incumbent,incumbent_available,first_incumbent_time_seconds,last_incumbent_improvement_time_seconds,last_native_lb_improvement_time_seconds,last_global_lb_improvement_time_seconds,stagnation_seconds,work,nodes,open_nodes,open_nodes_available,simplex_iterations,barrier_iterations,memory_gb,model_rows,model_columns,model_nonzeros,interval_row_count,cutoff_row_count,artifact_generation_seconds,model_read_seconds,presolve_rerun,presolve_time_available,presolve_time_seconds,presolve_time_status,root_rerun,root_time_available,root_time_seconds,root_time_status,fresh_restart,child_restart,same_leaf_retained,retained_state_classification,warm_candidate,warm_mapping_complete,warm_submitted,warm_status,warm_mapping_seconds,split_count,cutoff,canonical_sha256,row_signature,native_cut_count_available,native_cut_count,model_path,native_log_path
0.1210099,0.48927850000000001,L0,,0,0,0.090588665696146153,0,1,1,L0,L1,4,0,3,1,30,0.33499979972839355,INFEASIBLE,3,0,0,1e+100,1,1e+100,0,0.090588665696146153,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,0.48927850000000001,0.48927850000000001,0,0.63493588434022374,1,0,0,1222,0,0.038386985999999998,11916,3378,67132,2,1,0.1124764,0.021985899999999999,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,0,0.36235466278458461,b4ebb658574c231bff6ce5568de09b80b13684a12b322bf4e8a093a584f7c573,b4ebb658574c231bff6ce5568de09b80b13684a12b322bf4e8a093a584f7c573,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L0.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L0_attempt_0.gurobi.log
0.60336319999999999,30.649125399999999,L1,,0,0.090588665696146153,0.18117733139229231,0,1,1,L1,L2,3,1,3,1,30,30.007000207901001,TIME_LIMIT,9,0,0.090588665696146153,0.31392081662954807,1,0.31392081662954807,0.090588665696146153,0.18117733139229231,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,30.649125399999999,30.649125399999999,0,54.857083849382299,526,0,0,98807,0,0.13402177900000001,11916,3378,67376,2,1,0.1138855,0.021525099999999998,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,0,0.36235466278458461,e683752efbd51a122c6c691d9a61f1c27a277b29925dfe50df1d4a87f46e1ef0,e683752efbd51a122c6c691d9a61f1c27a277b29925dfe50df1d4a87f46e1ef0,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1_attempt_0.gurobi.log
30.7694717,60.8060002,L2,,0,0.18117733139229231,0.27176599708843846,0,1,1,L2,L3,3,1,3,1,30,30.000999927520752,TIME_LIMIT,9,0,0.18117733139229231,0.33709921667778753,1,0.33709921667778753,0.18117733139229231,0.27176599708843846,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,60.8060002,60.8060002,0,54.233233363904617,554,0,0,89036,0,0.18888788400000001,11917,3378,67382,2,1,0.11988989999999999,0.0229327,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,0,0.36235466278458461,8c76eb2b6ff3cc88711580998d2271d888cb6bb7af335a42dbdd2d46cf9a7a53,8c76eb2b6ff3cc88711580998d2271d888cb6bb7af335a42dbdd2d46cf9a7a53,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L2.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L2_attempt_0.gurobi.log
60.922789000000002,61.452363900000002,L3,,0,0.27176599708843846,0.36235466278458461,0,1,1,L3,L1,3,1,2,2,30,0.49300003051757812,INFEASIBLE,3,0,0.27176599708843846,1e+100,1,1e+100,0.27176599708843846,0.31392081662954807,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,61.452363900000002,61.452363900000002,0,0.99443525012706291,1,0,0,3797,0,0.18888788400000001,11920,3378,67400,2,1,0.11641459999999999,0.022758199999999999,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,0,0.36235466278458461,85bce6159863541f1ba015fd20b852f359b37a39b63ccb5be2a10e5ffb6171b3,85bce6159863541f1ba015fd20b852f359b37a39b63ccb5be2a10e5ffb6171b3,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L3.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L3_attempt_0.gurobi.log
61.458188999999997,121.4728933,L1,,0,0.090588665696146153,0.18117733139229231,1,0,1,L1,L1,2,2,2,2,60,60.001000165939331,TIME_LIMIT,9,0,0.31392081662954807,0.31392081662954807,1,0.31392081662954807,0.31392081662954807,0.31392081662954807,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,61.452363900000002,61.452363900000002,60.020529399999994,124.99622872509023,1169,0,0,369743,0,0.18888788400000001,11916,3378,67376,2,1,0,0,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,0,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,0,0,1,fresh_restart,0,0,0,not_requested,0,0,0.36235466278458461,e683752efbd51a122c6c691d9a61f1c27a277b29925dfe50df1d4a87f46e1ef0,e683752efbd51a122c6c691d9a61f1c27a277b29925dfe50df1d4a87f46e1ef0,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1_attempt_1.gurobi.log
121.58569,123.0606349,L1.0,L1,1,0.090588665696146153,0.13588299854421923,0,1,1,L1.0;L1.1,L1.1,3,2,2,3,30,1.442000150680542,INFEASIBLE,3,0,0.31392081662954807,1e+100,1,1e+100,0.31392081662954807,0.31392081662954807,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,123.0606349,61.452363900000002,61.608270999999995,2.5164504561879641,1,0,0,5516,0,0.18888788400000001,11916,3378,67376,2,1,0.1125468,0.0210849,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,1,0.36235466278458461,8081fb7e5f2b38d0bf1bce9112154754e55b98703261a16664e47783eca01c83,8081fb7e5f2b38d0bf1bce9112154754e55b98703261a16664e47783eca01c83,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.0.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1.0_attempt_0.gurobi.log
123.1730495,153.21003379999999,L1.1,L1,1,0.13588299854421923,0.18117733139229231,0,1,1,L1.1,L1.1,2,3,2,3,30,30.003000020980835,TIME_LIMIT,9,0,0.31392081662954807,0.31785819835837703,1,0.31785819835837703,0.31392081662954807,0.31785819835837703,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,153.21003379999999,153.21003379999999,0,63.681000163340869,290,0,0,119621,0,0.229547007,11916,3378,67376,2,1,0.1122982,0.0209768,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,1,0.36235466278458461,eb6f28440d9781395d31cc9ba17d5f2cebd6d38bdeb5e47b94dc4435e63e73c2,eb6f28440d9781395d31cc9ba17d5f2cebd6d38bdeb5e47b94dc4435e63e73c2,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.1.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1.1_attempt_0.gurobi.log
153.2156148,213.23127550000001,L1.1,L1,1,0.13588299854421923,0.18117733139229231,1,0,1,L1.1,L1.1,2,3,2,3,60,60.004000186920166,TIME_LIMIT,9,0,0.31785819835837703,0.31883366670365526,1,0.31883366670365526,0.31785819835837703,0.31883366670365526,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,213.23127550000001,213.23127550000001,0,110.74732378318357,574,0,0,244378,0,0.30035537600000001,11916,3378,67376,2,1,0,0,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,0,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,0,0,1,fresh_restart,0,0,0,not_requested,0,1,0.36235466278458461,eb6f28440d9781395d31cc9ba17d5f2cebd6d38bdeb5e47b94dc4435e63e73c2,eb6f28440d9781395d31cc9ba17d5f2cebd6d38bdeb5e47b94dc4435e63e73c2,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.1.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1.1_attempt_1.gurobi.log
213.34681810000001,243.38246280000001,L1.1.0,L1.1,2,0.13588299854421923,0.15853016496825578,0,1,1,L1.1.0;L1.1.1,L1.1.1,3,3,3,3,30,30.002000093460083,TIME_LIMIT,9,0,0.31883366670365526,0.3200073450902019,1,0.3200073450902019,0.31883366670365526,0.31883366670365526,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,243.38246280000001,213.23127550000001,30.151187300000004,59.614299629107997,536,0,0,104454,0,0.30035537600000001,11916,3378,67376,2,1,0.1153556,0.021926899999999999,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,2,0.36235466278458461,e0da94c8271578ab56d1fb5b048124db615885f41edbc392010bc4cd846c7191,e0da94c8271578ab56d1fb5b048124db615885f41edbc392010bc4cd846c7191,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.1.0.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1.1.0_attempt_0.gurobi.log
243.49614769999999,271.98805229999999,L1.1.1,L1.1,2,0.15853016496825578,0.18117733139229231,0,1,1,L1.1.1,L1.1.1,3,3,3,3,28.445308910000008,28.458000183105469,TIME_LIMIT,9,0,0.31883366670365526,0.31911843824995739,1,0.31911843824995739,0.31883366670365526,0.31911843824995739,0.36235466278458461,0.36235466278458461,0,0,17.6207046,17.6207046,271.98805229999999,271.98805229999999,0,54.840442419471522,536,0,0,93913,0,0.35650596400000001,11917,3378,67382,2,1,0.1134469,0.0216008,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,0,0,unavailable_gurobi_c_api_has_no_phase_timer_attribute,1,1,0,fresh_model_restart,0,0,0,not_requested,0,2,0.36235466278458461,8e21b59d288fbef77ab04b903907cb4ef65e8a8c8e0cf19f1e86e2a9a823e2ae,8e21b59d288fbef77ab04b903907cb4ef65e8a8c8e0cf19f1e86e2a9a823e2ae,0,0,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\models\L1.1.1.lp,E:\codes\ExactEBRP\results\gf_c0_mechanism_transfer_c5_round30\runs\stage1__tight_T_seed5102__c0_diag__300s\external\native_logs\L1.1.1_attempt_0.gurobi.log
