leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.335,0.634936,1,1222,0,0.335,0.634936,1,1222,0,0
L1,0,30,30.007,54.8571,526,98807,0,30.007,54.8571,526,98807,0,0
L2,0,30,30.001,54.2332,554,89036,0,30.001,54.2332,554,89036,0,0
L3,0,30,0.493,0.994435,1,3797,0,0.493,0.994435,1,3797,0,0
L1,1,60,60.001,124.996,1169,369743,0,90.008,179.853,1695,468550,0,0
L1.0,0,30,1.442,2.51645,1,5516,0,1.442,2.51645,1,5516,0,0
L1.1,0,30,30.003,63.681,290,119621,0,30.003,63.681,290,119621,0,0
L1.1,1,60,60.004,110.747,574,244378,0,90.007,174.428,864,363999,0,0
L1.1.0,0,30,30.002,59.6143,536,104454,0,30.002,59.6143,536,104454,0,0
L1.1.1,0,28.4453,28.458,54.8404,536,93913,0,28.458,54.8404,536,93913,0,0
