run_id,node_uid,parent_uid,native_depth,gini_generation,relaxation_pass,gamma_L,gamma_U,pre_local_row_relaxation,post_local_row_relaxation,delta_rows_attached,duplicates_omitted,row_factory_seconds,row_api_seconds,status
stage2__tight_T_seed3101__s0_safe__300s,725,721,10,10,1,0.026813183533485361,0.026917922531663037,0.034791524095664807,,1442,0,0.0145799,0.00053620000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,725,721,10,10,2,0.026813183533485361,0.026917922531663037,0.034791524095664807,0.034799632995359216,,,0.0145799,0.00053620000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,726,721,10,10,1,0.026917922531663037,0.027022661529840716,0.034818484294053084,,1442,0,0.015859100000000001,0.00054219999999999995,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,726,721,10,10,2,0.026917922531663037,0.027022661529840716,0.034818484294053084,0.034852368972358633,,,0.015859100000000001,0.00054219999999999995,passed
stage2__tight_T_seed3101__s0_safe__300s,718,451,7,7,1,0.027651095518906779,0.028489007504328194,0.035250122991849216,,1442,0,0.014535299999999999,0.00056139999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,718,451,7,7,2,0.027651095518906779,0.028489007504328194,0.035250122991849216,0.035251226779819136,,,0.014535299999999999,0.00056139999999999998,passed
stage2__tight_T_seed3101__s0_safe__300s,743,718,8,8,1,0.027651095518906779,0.028070051511617487,0.035251226779819136,,1442,0,0.0143546,0.00059230000000000003,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,743,718,8,8,1,0.027651095518906779,0.028070051511617487,0.035251226779819136,0.035251226779819171,,,0.0143546,0.00059230000000000003,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,744,718,8,8,1,0.028070051511617487,0.028489007504328194,0.035669065232211611,,1442,0,0.014603100000000001,0.00059100000000000005,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,744,718,8,8,2,0.028070051511617487,0.028489007504328194,0.035669065232211611,0.035669065232211611,,,0.014603100000000001,0.00059100000000000005,passed
stage2__tight_T_seed3101__s0_safe__300s,745,743,9,9,1,0.027651095518906779,0.027860573515262131,0.035251226779819171,,1442,0,0.0146949,0.00056119999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,745,743,9,9,1,0.027651095518906779,0.027860573515262131,0.035251226779819171,0.035251226779819171,,,0.0146949,0.00056119999999999998,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,746,743,9,9,1,0.027860573515262131,0.028070051511617487,0.035459600988204554,,1442,0,0.0146106,0.00054839999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,746,743,9,9,2,0.027860573515262131,0.028070051511617487,0.035459600988204554,0.035459600988204554,,,0.0146106,0.00054839999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,751,746,10,10,1,0.027860573515262131,0.027965312513439811,0.035459600988204554,,1442,0,0.014508999999999999,0.00052360000000000004,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,751,746,10,10,1,0.027860573515262131,0.027965312513439811,0.035459600988204554,0.035459600988204554,,,0.014508999999999999,0.00052360000000000004,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,752,746,10,10,1,0.027965312513439811,0.028070051511617487,0.035564339986382233,,1442,0,0.0148661,0.00054100000000000003,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,752,746,10,10,2,0.027965312513439811,0.028070051511617487,0.035564339986382233,0.035564339986382233,,,0.0148661,0.00054100000000000003,passed
stage2__tight_T_seed3101__s0_safe__300s,27,25,10,10,1,0.02429944757722111,0.024404186575398785,0.035016929996278437,,1442,0,0.014736300000000001,0.00055909999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,27,25,10,10,2,0.02429944757722111,0.024404186575398785,0.035016929996278437,0.035675556816744045,,,0.014736300000000001,0.00055909999999999998,passed
stage2__tight_T_seed3101__s0_safe__300s,28,25,10,10,1,0.024404186575398785,0.024508925573576465,0.034951423362728072,,1442,0,0.0154296,0.00052470000000000001,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,28,25,10,10,2,0.024404186575398785,0.024508925573576465,0.034951423362728072,0.034953908110131146,,,0.0154296,0.00052470000000000001,passed
stage2__tight_T_seed3101__s0_safe__300s,728,722,10,10,1,0.027127400528018392,0.027232139526196068,0.034925009014159854,,1442,0,0.0150078,0.00052159999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,728,722,10,10,2,0.027127400528018392,0.027232139526196068,0.034925009014159854,0.034958459756383245,,,0.0150078,0.00052159999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,727,722,10,10,1,0.027022661529840716,0.027127400528018392,0.034896954289185891,,1442,0,0.0145801,0.00052030000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,727,722,10,10,2,0.027022661529840716,0.027127400528018392,0.034896954289185891,0.034905060233411223,,,0.0145801,0.00052030000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,724,720,9,9,1,0.027441617522551424,0.027651095518906779,0.035057421766614402,,1442,0,0.014645200000000001,0.00054710000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,724,720,9,9,2,0.027441617522551424,0.027651095518906779,0.035057421766614402,0.035123039555472371,,,0.014645200000000001,0.00054710000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,827,724,10,10,1,0.027441617522551424,0.0275463565207291,0.035123039555472371,,1442,0,0.0148092,0.00047390000000000003,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,827,724,10,10,2,0.027441617522551424,0.0275463565207291,0.035123039555472371,0.035128602352937952,,,0.0148092,0.00047390000000000003,passed
stage2__tight_T_seed3101__s0_safe__300s,828,724,10,10,1,0.0275463565207291,0.027651095518906779,0.03515332312904168,,1442,0,0.0148912,0.00053180000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,828,724,10,10,2,0.0275463565207291,0.027651095518906779,0.03515332312904168,0.03518578695792067,,,0.0148912,0.00053180000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,723,720,9,9,1,0.027232139526196068,0.027441617522551424,0.034997544616376879,,1442,0,0.014527399999999999,0.00061680000000000003,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,723,720,9,9,2,0.027232139526196068,0.027441617522551424,0.034997544616376879,0.035008798851366804,,,0.014527399999999999,0.00061680000000000003,passed
stage2__tight_T_seed3101__s0_safe__300s,845,723,10,10,1,0.027232139526196068,0.027336878524373748,0.035008798851366804,,1442,0,0.014564199999999999,0.00067599999999999995,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,845,723,10,10,2,0.027232139526196068,0.027336878524373748,0.035008798851366804,0.035014455653311613,,,0.014564199999999999,0.00067599999999999995,passed
stage2__tight_T_seed3101__s0_safe__300s,846,723,10,10,1,0.027336878524373748,0.027441617522551424,0.035038660571124924,,1442,0,0.0151025,0.00055389999999999997,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,846,723,10,10,2,0.027336878524373748,0.027441617522551424,0.035038660571124924,0.035071492042020778,,,0.0151025,0.00055389999999999997,passed
stage2__tight_T_seed3101__s0_safe__300s,750,745,10,10,1,0.027755834517084455,0.027860573515262131,0.035354856266938989,,1442,0,0.015375700000000001,0.00078220000000000004,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,750,745,10,10,2,0.027755834517084455,0.027860573515262131,0.035354856266938989,0.035354856266938989,,,0.015375700000000001,0.00078220000000000004,passed
stage2__tight_T_seed3101__s0_safe__300s,749,745,10,10,1,0.027651095518906779,0.027755834517084455,0.035251216830364959,,1442,0,0.0149462,0.00057169999999999996,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,749,745,10,10,1,0.027651095518906779,0.027755834517084455,0.035251216830364959,0.035251216830364959,,,0.0149462,0.00057169999999999996,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,748,744,9,9,1,0.028279529507972842,0.028489007504328194,0.03587854322856697,,1442,0,0.014841999999999999,0.00051679999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,748,744,9,9,2,0.028279529507972842,0.028489007504328194,0.03587854322856697,0.035878543228566998,,,0.014841999999999999,0.00051679999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,935,748,10,10,1,0.028279529507972842,0.028384268506150518,0.035878543228566998,,1442,0,0.0146754,0.00053030000000000004,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,935,748,10,10,1,0.028279529507972842,0.028384268506150518,0.035878543228566998,0.035878543228566998,,,0.0146754,0.00053030000000000004,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,747,744,9,9,1,0.028070051511617487,0.028279529507972842,0.035669065232211611,,1442,0,0.014619399999999999,0.00056769999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,747,744,9,9,1,0.028070051511617487,0.028279529507972842,0.035669065232211611,0.035669065232211639,,,0.014619399999999999,0.00056769999999999998,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,955,747,10,10,1,0.028070051511617487,0.028174790509795163,0.035669065232211639,,1442,0,0.0143521,0.00055309999999999995,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,955,747,10,10,1,0.028070051511617487,0.028174790509795163,0.035669065232211639,0.035669065232211639,,,0.0143521,0.00055309999999999995,passed_at_branching_context
stage2__tight_T_seed3101__s0_safe__300s,956,747,10,10,1,0.028174790509795163,0.028279529507972842,0.035773804230389318,,1442,0,0.0147873,0.00060300000000000002,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,956,747,10,10,2,0.028174790509795163,0.028279529507972842,0.035773804230389318,0.035773804230389318,,,0.0147873,0.00060300000000000002,passed
stage2__tight_T_seed3101__s0_safe__300s,936,748,10,10,1,0.028384268506150518,0.028489007504328194,0.03598328222674467,,1442,0,0.0146325,0.00055049999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,936,748,10,10,2,0.028384268506150518,0.028489007504328194,0.03598328222674467,0.03598328222674467,,,0.0146325,0.00055049999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,692,689,9,9,1,0.028698485500683549,0.028907963497038905,0.036297511069334584,,1442,0,0.015294200000000001,0.00058690000000000001,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,692,689,9,9,2,0.028698485500683549,0.028907963497038905,0.036297511069334584,0.036297511069334584,,,0.015294200000000001,0.00058690000000000001,passed
stage2__tight_T_seed3101__s0_safe__300s,1021,692,10,10,1,0.028698485500683549,0.028803224498861225,0.036297511069334584,,1442,0,0.0144472,0.00052820000000000005,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,1021,692,10,10,2,0.028698485500683549,0.028803224498861225,0.036297511069334584,0.036297511069334584,,,0.0144472,0.00052820000000000005,passed
stage2__tight_T_seed3101__s0_safe__300s,694,691,10,10,1,0.028593746502505873,0.028698485500683549,0.036192772071156905,,1442,0,0.016263799999999998,0.0005419,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,694,691,10,10,2,0.028593746502505873,0.028698485500683549,0.036192772071156905,0.036192772071156905,,,0.016263799999999998,0.0005419,passed
stage2__tight_T_seed3101__s0_safe__300s,688,452,7,7,1,0.029326919489749612,0.030164831475171031,0.036925945058400647,,1442,0,0.0153031,0.00060369999999999998,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,688,452,7,7,2,0.029326919489749612,0.030164831475171031,0.036925945058400647,0.036925945058400647,,,0.0153031,0.00060369999999999998,passed
stage2__tight_T_seed3101__s0_safe__300s,1123,688,8,8,1,0.029326919489749612,0.02974587548246032,0.036925945058400647,,1442,0,0.0145138,0.00061289999999999999,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,1123,688,8,8,2,0.029326919489749612,0.02974587548246032,0.036925945058400647,0.036925945058400647,,,0.0145138,0.00061289999999999999,passed
stage2__tight_T_seed3101__s0_safe__300s,1125,1123,9,9,1,0.029326919489749612,0.029536397486104968,0.036925945058400647,,1442,0,0.0145329,0.00059920000000000004,awaiting_reoptimization
stage2__tight_T_seed3101__s0_safe__300s,1125,1123,9,9,2,0.029326919489749612,0.029536397486104968,0.036925945058400647,0.036925945058400647,,,0.0145329,0.00059920000000000004,passed
