instance,instance_sha256,interval_id,parent_id,depth,gamma_L,gamma_U,incumbent,parent_bound,left_bound,right_bound,parent_model_sha256_r015,parent_model_sha256_am,parent_model_fingerprint_equal,inherited_canonical_rows_bounds_identity,active_coverage_identity,frontier_target_state,r015_action,am_action,exact_common_state,action_divergence,first_common_divergence,later_common_divergence,r015_source_sha256,am_source_sha256
tight_T_seed3102,40689df814199ae10f66c5bbfe492fcafdbbabc1a221c6724e939d02758a9f14,L0,,0,0,0.60070443668510809,0.60070443668510809,0.39445294772720085,0.407329005858862,,76f031f0eaada9216a1b336eff3c82cfc3cd456874fbce8df65c6de6f4e189d8,76f031f0eaada9216a1b336eff3c82cfc3cd456874fbce8df65c6de6f4e189d8,True,76f031f0eaada9216a1b336eff3c82cfc3cd456874fbce8df65c6de6f4e189d8,"L0[0,0.60070443668510809]",pre-decision complete midpoint-child LP evidence,split,split,True,False,False,False,259309160ee25a2ce5eabbe376ab9f0a38b0829bfee634e00e9b1c171ff1b04f,4a5198c6a0bf4fde698dccca311ed2855de22486655b035f6df9244aa84bd298
tight_T_seed3102,40689df814199ae10f66c5bbfe492fcafdbbabc1a221c6724e939d02758a9f14,L0.0,L0,1,0,0.30035221834255404,0.60070443668510809,0.407329005858862,0.43699011491207468,0.50832936531373507,de6043550459538877b79bf9de73bb88a9ff035e95933eb6343da4175045a28b,de6043550459538877b79bf9de73bb88a9ff035e95933eb6343da4175045a28b,True,de6043550459538877b79bf9de73bb88a9ff035e95933eb6343da4175045a28b,"L0.0[0,0.30035221834255404]",pre-decision complete midpoint-child LP evidence,split,native-target,True,True,True,False,259309160ee25a2ce5eabbe376ab9f0a38b0829bfee634e00e9b1c171ff1b04f,4a5198c6a0bf4fde698dccca311ed2855de22486655b035f6df9244aa84bd298
