instance,algorithm,evidence_timing,process_cap_seconds,certificate,work,time_seconds,lower_bound,verified_upper_bound,gap,gi_300,split_count,source_path,artifact_sha256,executable_sha256
high_imbalance_seed3201,K1-AMF,contemporaneous_300s,300,False,496.39875876404045,280.1753366,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07381236380519535,4,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__high_imbalance_seed3201__K1-AMF/result.json,5bf34d9da2642029a2022eccd635c2314e0a1f6c4baad8fda335e41a868ce44c,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
high_imbalance_seed3201,K1-AM,historical_same_machine_solver,1800,True,970.6039194826874,522.3557284,2.443403191943199,2.4434031919432,3.635005563669461e-16,,4,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3201__K1-AM/result.json,0ffa0155ab920b34d07df34ee74d1d1810faf47e8b4f4bd388c360af6bfd48ba,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K1-r015,historical_same_machine_solver_context,1800.0,True,970.6039194826874,539.8320984,2.443403191943199,2.4434031919432,3.635005563669461e-16,0.0757419473252554,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K1-r015/result.json,fb216b8fe539b5635ef636f149426705b8693d498fd1e49799b57c25f1f89fdc,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,K4-AMC,historical_same_machine_solver,1800,True,710.8503886196801,380.8227237,2.4434031905083478,2.4434031919432,5.872351488108015e-10,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3201__K4-AMC/result.json,91f2a24058fcc16eab3ed8f4ecc03416daf39a116b03db1b2f3da48ff9f36a45,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K4-r001,historical_same_machine_solver_context,1800.0,True,710.8503886196801,390.3545002,2.4434031905083478,2.4434031919432,5.872351488108015e-10,0.10199468378173344,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K4-r001/result.json,8b5453cbbed54d6bfa85fae76945645a272549da09302d3c9c2aa1b7aa4c3e1d,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,P-GRB,historical_same_machine_solver_context,1800.0,False,3581.442796133532,1780.0888304,2.1626879532523016,2.4434031919432,0.1148869902505325,0.16842320217850698,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__P-GRB/result.json,ede9a8fa1e7c00d307b3ec38d68d706ab50df85e13a898afb7aefc4d564d829a,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
high_imbalance_seed3201,K1-AM,historical_exact_common_horizon_300s,300.0,False,502.64096437477366,280.0372721,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07520018302548359,4,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__high_imbalance_seed3201__K1-AM/result.json,883a5384ef66ae8d7deac246ec0989401fdc96f999d7ddd171d972de713cc3fb,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
high_imbalance_seed3201,K4-AMC,historical_exact_common_horizon_300s,300.0,False,501.89931598601044,280.0409792,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10286339664051085,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__high_imbalance_seed3201__K4-AMC/result.json,557c7f178a17f833b81575864d41e48f0ef36745d3709972290c0bb226845242,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
moderate_seed3301,K1-AMF,contemporaneous_300s,300,False,452.5965038170597,280.1338084,0.04681148403522328,0.04915255266474515,0.04762862766232296,0.2144466732900576,1,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__moderate_seed3301__K1-AMF/result.json,bcfa22f5b047fbd6a317970251f4f2b60f3c2044423b630f7964448e42900b72,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
moderate_seed3301,K1-AM,historical_same_machine_solver,1800,False,3348.952552261385,1780.0458299,0.04796472692368177,0.04915255266474515,0.024166104844344193,,1,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__moderate_seed3301__K1-AM/result.json,7c311f0ffc8500a20e10b90a262cdafccd66e06cb6657f40f21b9d52d6403fbc,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
