instance,algorithm,evidence_timing,process_cap_seconds,certificate,work,time_seconds,lower_bound,verified_upper_bound,gap,gi_300,split_count,source_path,artifact_sha256,executable_sha256
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-AMF,contemporaneous_300s,300,False,608.1906833850892,280.1459382,0.04224579640184012,0.04500155005562836,0.061236860738835275,0.19760149137693786,0,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMF/result.json,5c14c73803a45037c2051fc8ee7a782875a7d0a027dff664475dd2a857efdd6f,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-AM,historical_same_machine_solver,1800,True,843.4563311103416,384.6042946,0.04500155005562829,0.04500155005562836,1.5419233104925857e-15,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM/result.json,83620962077ec508ebd00643ccf308ab68f323aab836cb5dc816236dbed711be,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-r015,historical_same_machine_solver_context,1800.0,True,843.4563311103416,385.4760476,0.04500155005562829,0.04500155005562836,1.5419233104925857e-15,0.2032792638378745,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-r015/result.json,2a5461524ec0a96efc7c3530a26b609be27890d2f5f877d4d5d817c75ba702b7,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K4-AMC,historical_same_machine_solver,1800,True,1571.4256243238797,694.616193,0.04500155005562773,0.04500155005562836,1.3877309794433272e-14,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC/result.json,c27ef19e7588a5f0232b830e79be0072e0c78b0361b79f765df065c4222139b8,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K4-r001,historical_same_machine_solver_context,1800.0,True,3898.1509266770327,1780.0433176,0.04500155005562773,0.04500155005562836,1.3877309794433272e-14,0.26022138147536894,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-r001/result.json,f8ec570f19d06af4982614a1d33be5bab106c43e9c90f37d5ebf9fb21a1e1863,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,P-GRB,historical_same_machine_solver_context,1800.0,True,1568.0170733870093,1009.0487443,0.045001550055628364,0.04500155005562836,0.0,0.12217803475016592,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__P-GRB/result.json,5ce8e1eb19cb06bbc253369eacf558a42582ae401347299917c102589838a322,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K1-AM,historical_exact_common_horizon_300s,300.0,False,608.0716571725522,280.0422174,0.04224579640184012,0.04500155005562836,0.061236860738835275,0.19773781449217553,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM/result.json,54d4e2a26e017856b4a9aba0e75548e6e5d1b0db5c6856e2efb94be776662594,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K4-AMC,historical_exact_common_horizon_300s,300.0,False,599.1156114610512,280.0350646,0.037101511960814584,0.04500155005562836,0.17555035515550454,0.2554536700237098,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC/result.json,a6c30bc337b8f6bbec24137ef4a505979b8047c23a67ce57729f67251417694b,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-AMF,contemporaneous_300s,300,False,501.2736815547833,280.1429555,0.4252011336837254,0.506343307565206,0.16025130118073339,0.21099855378069396,0,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF/result.json,1a55d43584047b4d173620b02d828bce14f0c7dcf5e15bf3859e72c4180432b6,bff4943b82d10c4fc082e5ae9add1970d46a1277ab1b398dc77410d94b4cbe34
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-AM,historical_same_machine_solver,1800,True,740.6340681077912,408.9598331,0.5063432868918758,0.506343307565206,4.0828682536125e-08,,0,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM/result.json,f175fb499d8e0048a96e24596957eb6175235bddda6020671b2c4d7bf2ee9025,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K1-r015,historical_same_machine_solver_context,1800.0,True,740.6340681077912,417.0651251,0.5063432868918758,0.506343307565206,4.0828682536125e-08,0.21129863314544492,,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-r015/result.json,9dc4dec0331fa1e0db84175c9de5c9ac7fb3a440259ea91ede697329612969e5,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b
