instance,interval_id,gamma_L,gamma_U,objective_lb,source_lp,copied_directory,lp_sha256,status
tight_T_seed3101,0,0,0.0268132,0.107253,results/bound_work/tight_T_seed3101_1784143281042653700_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/tight_T_seed3101/interval_0,d54ee09943942461d52509c0834d7e7f5e0838cd0726a8afa807036e2f6197af,copied
tight_T_seed3101,1,0.0268132,0.0536264,0.107253,results/bound_work/tight_T_seed3101_1784143293735859600_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/tight_T_seed3101/interval_1,0af1746e5f040661ae7e5b463b29da14acca3a8d0fd7f1c8b755810622a39555,copied
tight_T_seed3101,2,0.0536264,0.0804396,0.107253,results/bound_work/tight_T_seed3101_1784143309946577000_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/tight_T_seed3101/interval_2,b63c2b11ead8fc212295dba7c1a120286f4c411557e0586103c3341ee25d31e0,copied
tight_T_seed3101,3,0.0804396,0.107253,0.107253,results/bound_work/tight_T_seed3101_1784143325773045700_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/tight_T_seed3101/interval_3,cd08745e8ad13b56ab13f788c557761507aaabfbb46de2fe4846289df726ecc2,copied
high_imbalance_seed3202,0,0,0.2375,1.74931,results/bound_work/high_imbalance_seed3202_1784143361607124500_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/high_imbalance_seed3202/interval_0,33654ac9b7505ae289dcdeb056535ba8005bcea1cfdd5dd92ffdb9c5f7e69b31,copied
high_imbalance_seed3202,1,0.2375,0.475,1.74931,results/bound_work/high_imbalance_seed3202_1784143381629045400_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/high_imbalance_seed3202/interval_1,d64f8f6349d79bd91f2650d3bf81a9d0cb01b389ae1ec3cb6c5ebffda7a4236c,copied
high_imbalance_seed3202,3,0.7125,0.95,1.74931,results/bound_work/high_imbalance_seed3202_1784143449117164300_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/high_imbalance_seed3202/interval_3,ac3d5f2eb2d0a51cb659d71f1bd0138e56e57cf67790f20a0656df2fb0134dba,copied
high_imbalance_seed3202,5,0.59375,0.7125,1.74931,results/bound_work/high_imbalance_seed3202_1784143512493057000_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/high_imbalance_seed3202/interval_5,7c4b76258d7d4c3f73cb7d51b631a33df3434bd39b7c232cded2efda7a886af7,copied
high_imbalance_seed3202,7,0.534375,0.59375,1.74931,results/bound_work/high_imbalance_seed3202_1784143578148699000_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/high_imbalance_seed3202/interval_7,bc6b869dd463b3766d4ea600fdd7cd49f0406aaecebbfb52a80882978c426f34,copied
high_imbalance_seed3202,8,0.475,0.504687,1.74931,results/bound_work/high_imbalance_seed3202_1784143600977904600_15729502191765196471/inventory_gini_bound.lp,results/gf_global_gini_tree_regression_round/diagnostic_models/inventory_route_gini_relaxation/high_imbalance_seed3202/interval_8,88d827b607dbf9fe220657211522c7d30cfac1e247cc02c65ab5be21e276704d,copied
