run_id,instance,instance_class,arm,budget_seconds,status,objective,LB,UB,gap,certified,verifier_passed,nodes,open_nodes,simplex_iterations,gini_branches,ordinary_branches,rows_attached,rows_avoided,equal_siblings,discriminated_siblings,row_factory_seconds,callback_packing_seconds,row_api_seconds,native_solution_count,native_cut_counts,mip_start_accepted,root_connectivity_flow,first_gini_branch_time,callback_abort,lifecycle_valid,fresh_run
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,control,eager_only,60,global_gini_tree_time_limit,1.74931345205,1.60512170318,1.74931345205,0.0824276225072,False,True,683,554,126217,45,574,127440,0.0,45,0,1.2059245,1.4343549,0.0561908,0,cover=7|gub_cover=0|flow_cover=13|clique=1|fractional=1|mir=24|flow_path=0|disjunctive=0|implied_bound=194|zero_half=16|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,3.2509756,False,True,True
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,hard,eager_only,60,global_gini_tree_time_limit,0.195636206549,0.138773358612,0.195636206549,0.290656054625,False,True,435,366,136387,71,331,201785,0.0,71,0,2.0758918,2.4475173,0.08808,0,cover=2|gub_cover=0|flow_cover=6|clique=0|fractional=0|mir=25|flow_path=0|disjunctive=0|implied_bound=270|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,2.30174,False,True,True
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,control,eager_only,60,global_gini_tree_time_limit,0.107252734134,0.0168151680467,0.107252734134,0.843219213175,False,True,1410,1083,159174,54,1202,155739,0.0,54,0,1.6011943,1.8760429,0.0554824,0,cover=6|gub_cover=0|flow_cover=8|clique=0|fractional=8|mir=21|flow_path=0|disjunctive=0|implied_bound=200|zero_half=24|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=7|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,1.9641058,False,True,True
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,control,eager_only,60,global_gini_tree_time_limit,0.718504070755,0.673855740202,0.718504070755,0.0621406786264,False,True,2287,1395,150821,102,1748,131988,0.0,102,0,0.8454411,0.9924219,0.0428479,0,cover=13|gub_cover=0|flow_cover=11|clique=17|fractional=2|mir=26|flow_path=0|disjunctive=0|implied_bound=114|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,1.7526667,False,True,True
eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,high_imbalance_seed3202,control,eager_only,30,global_gini_tree_time_limit,1.74931345205,1.59695010409,1.74931345205,0.0870989403182,False,True,19,18,14659,17,2,48144,0.0,17,0,0.4470883,0.5367989,0.0252055,0,cover=6|gub_cover=0|flow_cover=15|clique=2|fractional=1|mir=64|flow_path=0|disjunctive=0|implied_bound=65|zero_half=21|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=4|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,4.349482,False,True,True
eager_gate__high_imbalance_seed3202__eager_only__presolve_on__30s,high_imbalance_seed3202,control,eager_only,30,global_gini_tree_time_limit,1.74931345205,1.59296021162,1.74931345205,0.0893797736727,False,True,25,26,18569,17,9,48144,0.0,17,0,0.4508388,0.536568,0.0213105,0,cover=5|gub_cover=0|flow_cover=12|clique=1|fractional=1|mir=24|flow_path=0|disjunctive=0|implied_bound=126|zero_half=16|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,3.3116302,False,True,True
eager_gate__moderate_seed3302__eager_only__presolve_off__30s,moderate_seed3302,hard,eager_only,30,global_gini_tree_time_limit,0.195636206549,0.128615892828,0.195636206549,0.342576228109,False,True,20,21,21595,18,3,51158,0.0,18,0,0.5278829,0.6224251,0.0207731,0,cover=3|gub_cover=1|flow_cover=33|clique=13|fractional=2|mir=51|flow_path=0|disjunctive=0|implied_bound=46|zero_half=36|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,4.1249322,False,True,True
eager_gate__moderate_seed3302__eager_only__presolve_on__30s,moderate_seed3302,hard,eager_only,30,global_gini_tree_time_limit,0.195636206549,0.121562054131,0.195636206549,0.378632124004,False,True,30,27,23232,18,10,51156,0.0,18,0,0.528682,0.6212927,0.0227613,0,cover=2|gub_cover=0|flow_cover=6|clique=0|fractional=0|mir=25|flow_path=0|disjunctive=0|implied_bound=177|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,2.27487,False,True,True
eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,tight_T_seed3101,control,eager_only,30,global_gini_tree_time_limit,0.107252734134,0.00839886059079,0.107252734134,0.92169094188,False,True,60,48,13598,21,34,60584,0.0,21,0,0.62096,0.7283046,0.0405881,0,cover=4|gub_cover=1|flow_cover=16|clique=38|fractional=12|mir=20|flow_path=0|disjunctive=0|implied_bound=32|zero_half=18|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=4|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,2.9880914,False,True,True
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,tight_T_seed3101,control,eager_only,30,global_gini_tree_time_limit,0.107252734134,0.0154684909981,0.107252734134,0.855775322438,False,True,142,106,22828,28,96,80755,0.0,28,0,0.8172762,0.9631198,0.028679,0,cover=1|gub_cover=0|flow_cover=8|clique=0|fractional=8|mir=19|flow_path=0|disjunctive=0|implied_bound=74|zero_half=24|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=7|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,1.951628,False,True,True
