run_id,status,detail
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,passed,residual=-1.000088900582341e-12
diagnostic_eager__moderate_seed3302__eager_only__60s,passed,residual=-5.0015547259363302e-14
diagnostic_eager__tight_T_seed3101__eager_only__60s,passed,residual=1.0000333894311098e-13
diagnostic_eager__V12_M2__eager_only__60s,passed,residual=9.999778782798785e-13
eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,passed,residual=-1.000088900582341e-12
eager_gate__high_imbalance_seed3202__eager_only__presolve_on__30s,passed,residual=-1.000088900582341e-12
eager_gate__moderate_seed3302__eager_only__presolve_off__30s,passed,residual=-5.0015547259363302e-14
eager_gate__moderate_seed3302__eager_only__presolve_on__30s,passed,residual=-5.0015547259363302e-14
eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,passed,residual=1.0000333894311098e-13
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,passed,residual=1.0000333894311098e-13
eager_gate__tight_T_seed3102__eager_only__presolve_off__30s,passed,residual=9.999778782798785e-13
eager_gate__tight_T_seed3102__eager_only__presolve_on__30s,passed,residual=9.999778782798785e-13
eager_gate__V12_M1__eager_only__presolve_off__30s,passed,residual=1.5004664177808991e-13
eager_gate__V12_M1__eager_only__presolve_on__30s,passed,residual=1.5004664177808991e-13
eager_gate__V12_M2__eager_only__presolve_off__30s,passed,residual=9.999778782798785e-13
eager_gate__V12_M2__eager_only__presolve_on__30s,passed,residual=9.999778782798785e-13
forensic__high_imbalance_seed3202__baseline__300s,passed,residual=-1.000088900582341e-12
forensic__moderate_seed3302__baseline__300s,passed,residual=-5.0015547259363302e-14
forensic__tight_T_seed3101__baseline__300s,passed,residual=1.0000333894311098e-13
forensic__tight_T_seed3102__baseline__300s,passed,residual=9.999778782798785e-13
forensic__V12_M1__baseline__300s,passed,residual=1.5004664177808991e-13
forensic__V12_M2__baseline__300s,passed,residual=9.999778782798785e-13
gate__high_imbalance_seed3202__baseline__presolve_off__30s,passed,residual=-1.000088900582341e-12
gate__high_imbalance_seed3202__baseline__presolve_on__30s,passed,residual=-1.000088900582341e-12
gate__moderate_seed3302__baseline__presolve_off__30s,passed,residual=-5.0015547259363302e-14
gate__moderate_seed3302__baseline__presolve_on__30s,passed,residual=-5.0015547259363302e-14
gate__tight_T_seed3101__baseline__presolve_off__30s,passed,residual=1.0000333894311098e-13
gate__tight_T_seed3101__baseline__presolve_on__30s,passed,residual=1.0000333894311098e-13
gate__tight_T_seed3102__baseline__presolve_off__30s,passed,residual=9.999778782798785e-13
gate__tight_T_seed3102__baseline__presolve_on__30s,passed,residual=9.999778782798785e-13
gate__V12_M1__baseline__presolve_off__30s,passed,residual=1.5004664177808991e-13
gate__V12_M1__baseline__presolve_on__30s,passed,residual=1.5004664177808991e-13
gate__V12_M2__baseline__presolve_off__30s,passed,residual=9.999778782798785e-13
gate__V12_M2__baseline__presolve_on__30s,passed,residual=9.999778782798785e-13
legacy_forensic__high_imbalance_seed3202__legacy__300s,passed,residual=-1.000088900582341e-12
legacy_forensic__moderate_seed3302__legacy__300s,passed,residual=-5.0015547259363302e-14
legacy_forensic__tight_T_seed3101__legacy__300s,passed,residual=1.0000333894311098e-13
legacy_forensic__V12_M2__legacy__300s,passed,residual=9.999778782798785e-13
mechanism_gate__tight_T_seed3101__root_flow_only__30s,passed,residual=1.0000333894311098e-13
mip_gate__high_imbalance_seed3202__mip_start_only__30s,passed,residual=-1.000088900582341e-12
mip_gate__moderate_seed3302__mip_start_only__30s,passed,residual=-5.0015547259363302e-14
mip_gate__tight_T_seed3101__mip_start_only__30s,passed,residual=1.0000333894311098e-13
mip_gate__tight_T_seed3102__mip_start_only__30s,passed,residual=9.999778782798785e-13
mip_gate__V12_M1__mip_start_only__30s,passed,residual=1.5004664177808991e-13
mip_gate__V12_M2__mip_start_only__30s,passed,residual=9.999778782798785e-13
optional__high_imbalance_seed3202__root_flow_only__300s,passed,residual=-1.000088900582341e-12
optional__moderate_seed3302__root_flow_only__300s,passed,residual=-5.0015547259363302e-14
optional__tight_T_seed3101__root_flow_only__300s,passed,residual=1.0000333894311098e-13
optional__V12_M2__root_flow_only__300s,passed,residual=9.999778782798785e-13
stage1__high_imbalance_seed3202__baseline__300s,passed,residual=-1.000088900582341e-12
stage1__high_imbalance_seed3202__factory_delta__300s,passed,residual=-1.000088900582341e-12
stage1__high_imbalance_seed3202__factory_full__300s,passed,residual=-1.000088900582341e-12
stage1__high_imbalance_seed3202__parent_delta__300s,passed,residual=-1.000088900582341e-12
stage1__moderate_seed3302__baseline__300s,passed,residual=-5.0015547259363302e-14
stage1__moderate_seed3302__factory_delta__300s,passed,residual=-5.0015547259363302e-14
stage1__moderate_seed3302__factory_full__300s,passed,residual=-5.0015547259363302e-14
stage1__moderate_seed3302__parent_delta__300s,passed,residual=-5.0015547259363302e-14
stage1__tight_T_seed3101__baseline__300s,passed,residual=1.0000333894311098e-13
stage1__tight_T_seed3101__factory_delta__300s,passed,residual=1.0000333894311098e-13
stage1__tight_T_seed3101__factory_full__300s,passed,residual=1.0000333894311098e-13
stage1__tight_T_seed3101__parent_delta__300s,passed,residual=1.0000333894311098e-13
stage1__V12_M2__baseline__300s,passed,residual=9.999778782798785e-13
stage1__V12_M2__factory_delta__300s,passed,residual=9.999778782798785e-13
stage1__V12_M2__factory_full__300s,passed,residual=9.999778782798785e-13
stage1__V12_M2__parent_delta__300s,passed,residual=9.999778782798785e-13
stage2__high_imbalance_seed3201__baseline__900s,passed,residual=-3.999911513119514e-12
stage2__high_imbalance_seed3201__plain__900s,passed,residual=-2.000177801164682e-12
stage2__high_imbalance_seed3201__root_flow_only__900s,passed,residual=-3.999911513119514e-12
stage2__high_imbalance_seed3202__baseline__900s,passed,residual=-1.000088900582341e-12
stage2__high_imbalance_seed3202__plain__900s,passed,residual=5.5000448639930255e-12
stage2__high_imbalance_seed3202__root_flow_only__900s,passed,residual=-1.000088900582341e-12
stage2__moderate_seed3301__baseline__900s,passed,residual=0
stage2__moderate_seed3301__plain__900s,passed,residual=-1.0000333894311098e-13
stage2__moderate_seed3301__root_flow_only__900s,passed,residual=0
stage2__moderate_seed3302__baseline__900s,passed,residual=-5.0015547259363302e-14
stage2__moderate_seed3302__plain__900s,passed,residual=-1.4999113062685865e-13
stage2__moderate_seed3302__root_flow_only__900s,passed,residual=-5.0015547259363302e-14
stage2__tight_T_seed3101__baseline__900s,passed,residual=1.0000333894311098e-13
stage2__tight_T_seed3101__plain__900s,passed,residual=-5.0015547259363302e-14
stage2__tight_T_seed3101__root_flow_only__900s,passed,residual=1.0000333894311098e-13
stage2__tight_T_seed3102__baseline__900s,passed,residual=9.999778782798785e-13
stage2__tight_T_seed3102__plain__900s,passed,residual=-4.9993342798870799e-13
stage2__tight_T_seed3102__root_flow_only__900s,passed,residual=9.999778782798785e-13
stage2__V12_M1__baseline__900s,passed,residual=1.5004664177808991e-13
stage2__V12_M1__plain__900s,passed,residual=1.5004664177808991e-13
stage2__V12_M1__root_flow_only__900s,passed,residual=1.5004664177808991e-13
stage2__V12_M2__baseline__900s,passed,residual=9.999778782798785e-13
stage2__V12_M2__plain__900s,passed,residual=9.999778782798785e-13
stage2__V12_M2__root_flow_only__900s,passed,residual=9.999778782798785e-13
stage3__high_imbalance_seed3202__plain__1800s,passed,residual=-1.999955756559757e-12
stage3__high_imbalance_seed3202__root_flow_only__1800s,passed,residual=-1.000088900582341e-12
stage3__moderate_seed3302__plain__1800s,passed,residual=2.4999446956996962e-13
stage3__moderate_seed3302__root_flow_only__1800s,passed,residual=-5.0015547259363302e-14
stage3__tight_T_seed3101__plain__1800s,passed,residual=4.000133557724439e-13
stage3__tight_T_seed3101__root_flow_only__1800s,passed,residual=1.0000333894311098e-13
stage3__tight_T_seed3102__plain__1800s,passed,residual=0
stage3__tight_T_seed3102__root_flow_only__1800s,passed,residual=9.999778782798785e-13
