run_id,node_uid,parent_uid,event,row_attachment_mode,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,identical_bounds_omitted,dominance_omissions,delta_rows_attached,delta_bounds_attached,row_factory_seconds,families,aggregate_signature,status,failure_reason
mechanism_gate__tight_T_seed3101__parent_delta__30s,1,0,branch_bounds_only,exact-incremental-delta,1442,42,1443,42,261,41,0,0,1,0.015056699999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,de363c217aacc6bb,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,2,0,branch_bounds_only,exact-incremental-delta,1443,42,1443,42,2,31,0,0,11,0.015817500000000002,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick|variable_s_low_gini_centering,f84cb76467193313,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,1,0,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,1443,42,261,42,0,1181,0,0.0155914,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,de363c217aacc6bb,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,3,1,branch_bounds_only,exact-incremental-delta,1442,42,2624,42,261,41,0,0,1,0.0157302,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,f5c84b9e4a9e8597,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,4,1,branch_bounds_only,exact-incremental-delta,1442,42,2624,42,806,38,0,0,4,0.015809900000000002,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,cd0d892980f8e9b5,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,2,0,deferred_first_relaxation_attach,exact-incremental-delta,1443,42,1443,42,2,41,0,1441,1,0.0150636,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|required_station_movement|sp_product_mccormick|variable_s_low_gini_centering,f84cb76467193313,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,5,2,branch_bounds_only,exact-incremental-delta,1443,42,2884,42,262,41,0,0,1,0.016074999999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,373ecb13940777b0,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,6,2,branch_bounds_only,exact-incremental-delta,1443,42,2884,42,805,29,0,0,13,0.0152371,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,7629f95ae84acbc9,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,3,1,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,2624,42,261,42,0,1181,0,0.0144957,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,f5c84b9e4a9e8597,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,7,3,branch_bounds_only,exact-incremental-delta,1442,42,3805,42,261,41,0,0,1,0.0163792,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,e458ba737254726d,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,8,3,branch_bounds_only,exact-incremental-delta,1442,42,3805,42,806,39,0,0,3,0.014965600000000001,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,0d309ba66f2c2aff,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,4,1,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,2624,42,806,42,0,636,0,0.0157231,direct_gini_floor|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|required_station_movement|sp_product_mccormick,cd0d892980f8e9b5,passed,
mechanism_gate__tight_T_seed3101__parent_delta__30s,9,4,branch_bounds_only,exact-incremental-delta,1442,42,3260,42,261,41,0,0,1,0.0155306,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,6820e4a538d07489,passed,
