event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,decoded_descent_verified_improvement,0,0.00073200000000000001,7dd6e34d17451b35ee62a57139aab54f0735b7220e024f43dd917404a698e2ae,0,1,1,0.27630898782596092,2.0999999999999998e-06,published_monotone_verified_upper_bound
1,decoded_descent_verified_improvement,0,0.001101,a99034761656cbda9723448dfc45c4574ebc9818a42982326874a449fb1f29ba,0,1,1,0.27365721831500617,1.1999999999999999e-06,published_monotone_verified_upper_bound
2,decoded_descent_verified_improvement,0,0.0021199999999999999,c6989b8a96810ccc0d277a2e0d8ea647e21c8aaead321d0c16c6cf7f1b90e875,0,1,1,0.22189654367939532,2.7e-06,published_monotone_verified_upper_bound
3,decoded_descent_verified_improvement,0,0.0056236999999999997,840a4cd821b5e7ce83f0fb577c73d8a4dcb422742add63cc0aadc17f272534db,0,1,1,0.21473909591908069,1.1000000000000001e-06,published_monotone_verified_upper_bound
4,decoded_descent_verified_improvement,0,0.021035000000000002,8c539d250ab48bfc12dd4c57a7c6a3204dda51f88c1426c74f546d7e24d458ab,0,1,1,0.20322894173165107,1.3e-06,published_monotone_verified_upper_bound
5,decoded_descent_verified_improvement,0,0.024254399999999999,90878dc60166a9e6ac8c72d314a92fa57cf8826ada158f9e9242b8cf618c5028,0,1,1,0.20120435526024794,1.7e-06,published_monotone_verified_upper_bound
6,decoded_descent_verified_improvement,0,0.046762499999999999,f7922381a28c0fba329b1f6cee5bcac0be54986814f2e8cf95796e5fc8e355d7,0,1,1,0.19467763291919588,1.9999999999999999e-06,published_monotone_verified_upper_bound
7,decoded_descent_verified_improvement,0,0.050201000000000003,a9f0e253f0bda513889b4bfe442369a759705026441bd2efef553d3c02466252,0,1,1,0.19192273908071752,1.3e-06,published_monotone_verified_upper_bound
8,decoded_descent_verified_improvement,0,0.053279199999999999,5e602324055923a33813d8148a574586f17b2222855b34ac665cdb95adb93ab6,0,1,1,0.16526873468556888,1.1000000000000001e-06,published_monotone_verified_upper_bound
9,decoded_descent_verified_improvement,0,0.177507,b7f4b0b8e10d0154c1d0ab88752db24d69acfcb831463ab6fee5962584690f4e,0,1,1,0.16055045159671916,3.0000000000000001e-06,published_monotone_verified_upper_bound
10,decoded_descent_verified_improvement,0,0.2485368,b4e2f39aa7e8eee42d644d77d98460a5a9a7efb0a13559a9727e81a1c1c1f925,0,1,1,0.14666045190192989,3.8999999999999999e-06,published_monotone_verified_upper_bound
11,decoded_descent_verified_improvement,0,0.26023469999999999,141feb8a808c19450a323c560782bfcba20346a70ed0413f061eb5eecc896bd8,0,1,1,0.13225572724175433,1.1999999999999999e-06,published_monotone_verified_upper_bound
12,decoded_descent_verified_improvement,0,0.2801631,721b2871da62d37876d6e98a432a537d53a0c50e50891aa439fa7c88df7cd83c,0,1,1,0.11708794394763493,1.7e-06,published_monotone_verified_upper_bound
13,decoded_descent_verified_improvement,0,0.28295880000000001,488f35126637c9f0be9e3b90e6a5f77542dc42b2b11103776bba0ae0f2c26ee6,0,1,1,0.10798673648880089,1.5e-06,published_monotone_verified_upper_bound
